Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.01696,$0.01855,$0.01558,$0.01671,"$16,348","$5,848,150"
"Dec 30, 2022",$0.01791,$0.01972,$0.01689,$0.01701,"$19,062","$5,954,337"
"Dec 29, 2022",$0.01549,$0.03866,$0.0147,$0.01791,"$38,102","$6,267,936"
"Dec 28, 2022",$0.01583,$0.01615,$0.01498,$0.01549,"$16,862","$5,420,796"
"Dec 27, 2022",$0.01539,$0.01637,$0.01479,$0.01583,"$14,913","$5,539,105"
"Dec 26, 2022",$0.01625,$0.01719,$0.01418,$0.01563,"$12,109","$5,471,694"
"Dec 25, 2022",$0.013,$0.02445,$0.0126,$0.01625,"$16,891","$5,687,121"
"Dec 24, 2022",$0.01332,$0.01363,$0.0116,$0.013,"$15,487","$4,549,019"
"Dec 23, 2022",$0.01283,$0.01377,$0.01214,$0.01332,"$12,328","$4,660,817"
"Dec 22, 2022",$0.01261,$0.01334,$0.01172,$0.01245,"$12,728","$4,357,550"
"Dec 21, 2022",$0.01516,$0.01517,$0.01154,$0.01284,"$5,695","$4,494,346"
"Dec 20, 2022",$0.01243,$0.01522,$0.01129,$0.01516,"$4,331","$5,306,282"
"Dec 19, 2022",$0.01251,$0.01388,$0.01221,$0.01235,"$11,878","$4,322,845"
"Dec 18, 2022",$0.01255,$0.0129,$0.0123,$0.01254,"$11,539","$4,389,681"
"Dec 17, 2022",$0.0124,$0.01277,$0.01216,$0.01248,"$11,969","$4,367,637"
"Dec 16, 2022",$0.01316,$0.01371,$0.01224,$0.01229,"$11,953","$4,303,029"
"Dec 15, 2022",$0.01308,$0.01325,$0.01245,$0.01317,"$12,160","$4,610,354"
"Dec 14, 2022",$0.01339,$0.01349,$0.01293,$0.01308,"$3,849","$4,577,442"
"Dec 13, 2022",$0.01332,$0.01365,$0.01319,$0.01342,"$12,070","$4,695,376"
"Dec 12, 2022",$0.01362,$0.01397,$0.0131,$0.01331,"$12,873","$4,659,415"
"Dec 11, 2022",$0.0136,$0.01414,$0.01321,$0.01371,"$173,749","$4,796,837"
"Dec 10, 2022",$0.01434,$0.01545,$0.01325,$0.01354,"$6,136","$4,737,394"
"Dec 09, 2022",$0.01498,$0.01537,$0.01427,$0.01434,"$4,659","$5,017,484"
"Dec 08, 2022",$0.01309,$0.0151,$0.01292,$0.01483,"$14,943","$5,191,616"
"Dec 07, 2022",$0.01345,$0.01412,$0.01292,$0.01302,"$15,526","$4,556,879"
"Dec 06, 2022",$0.01331,$0.01373,$0.01269,$0.01345,"$15,868","$4,707,919"
"Dec 05, 2022",$0.01294,$0.01376,$0.01288,$0.01331,"$11,862","$4,657,633"
"Dec 04, 2022",$0.01332,$0.01355,$0.01289,$0.01294,"$11,021","$4,529,131"
