Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.1015,$0.1018,$0.1003,$0.1017,"$308,717","$22,799,715"
"Dec 30, 2022",$0.1023,$0.1044,$0.1004,$0.1015,"$421,858","$22,750,643"
"Dec 29, 2022",$0.1066,$0.1066,$0.1012,$0.1023,"$432,017","$22,924,993"
"Dec 28, 2022",$0.1049,$0.1088,$0.1024,$0.1066,"$448,043","$23,529,911"
"Dec 27, 2022",$0.105,$0.1061,$0.103,$0.1048,"$345,797","$23,133,950"
"Dec 26, 2022",$0.1071,$0.1079,$0.1039,$0.105,"$332,544","$23,172,985"
"Dec 25, 2022",$0.1076,$0.1089,$0.1047,$0.1071,"$326,066","$23,601,973"
"Dec 24, 2022",$0.106,$0.1084,$0.1056,$0.1076,"$630,515","$23,715,863"
"Dec 23, 2022",$0.1049,$0.1077,$0.1011,$0.106,"$423,771","$23,356,000"
"Dec 22, 2022",$0.1075,$0.1081,$0.1011,$0.1049,"$427,524","$23,118,952"
"Dec 21, 2022",$0.1088,$0.1094,$0.1063,$0.1075,"$325,577","$23,311,788"
"Dec 20, 2022",$0.1073,$0.1099,$0.106,$0.1088,"$326,301","$23,604,084"
"Dec 19, 2022",$0.1082,$0.1099,$0.1069,$0.1071,"$723,956","$23,234,550"
"Dec 18, 2022",$0.1067,$0.1097,$0.1057,$0.1083,"$364,240","$23,450,723"
"Dec 17, 2022",$0.1075,$0.1084,$0.105,$0.1067,"$390,454","$23,100,202"
"Dec 16, 2022",$0.1119,$0.1158,$0.1057,$0.1075,"$536,544","$23,275,097"
"Dec 15, 2022",$0.1246,$0.1311,$0.1085,$0.1115,"$881,728","$24,146,998"
"Dec 14, 2022",$0.1162,$0.1336,$0.1153,$0.1246,"$787,884","$26,554,692"
"Dec 13, 2022",$0.1159,$0.119,$0.1128,$0.1162,"$427,840","$24,757,076"
"Dec 12, 2022",$0.1145,$0.1165,$0.1122,$0.1159,"$433,691","$24,683,425"
"Dec 11, 2022",$0.1148,$0.1179,$0.1131,$0.1145,"$1,482,415","$24,377,201"
"Dec 10, 2022",$0.1175,$0.1179,$0.112,$0.1149,"$432,106","$24,444,782"
"Dec 09, 2022",$0.1182,$0.1208,$0.1157,$0.1175,"$408,517","$25,006,649"
"Dec 08, 2022",$0.1176,$0.1258,$0.1139,$0.1183,"$539,473","$25,171,529"
"Dec 07, 2022",$0.12,$0.1214,$0.1165,$0.1176,"$389,441","$24,315,021"
"Dec 06, 2022",$0.1222,$0.1231,$0.1169,$0.1201,"$589,163","$24,795,717"
"Dec 05, 2022",$0.124,$0.1278,$0.12,$0.1222,"$965,620","$25,234,981"
"Dec 04, 2022",$0.1219,$0.1249,$0.1178,$0.124,"$395,866","$25,612,005"
"Dec 03, 2022",$0.1238,$0.1249,$0.1199,$0.1219,"$361,155","$25,175,334"
"Dec 02, 2022",$0.1254,$0.1272,$0.1178,$0.1238,"$436,860","$25,562,523"
"Dec 01, 2022",$0.1309,$0.133,$0.1222,$0.1254,"$527,828","$25,891,726"
"Nov 30, 2022",$0.1288,$0.1385,$0.1277,$0.131,"$502,088","$26,323,855"
"Nov 29, 2022",$0.134,$0.1464,$0.1286,$0.1288,"$802,927","$25,887,919"
"Nov 28, 2022",$0.1344,$0.1528,$0.127,$0.134,"$1,049,203","$26,932,596"
"Nov 27, 2022",$0.1346,$0.1394,$0.1279,$0.1344,"$468,419","$26,973,595"
"Nov 26, 2022",$0.1293,$0.1525,$0.1268,$0.1345,"$726,662","$27,006,133"
"Nov 25, 2022",$0.1284,$0.1293,$0.1202,$0.1293,"$395,617","$25,958,564"
"Nov 24, 2022",$0.1253,$0.129,$0.1124,$0.1283,"$627,124","$25,760,702"
"Nov 23, 2022",$0.132,$0.1323,$0.1149,$0.1253,"$573,666","$24,701,927"
"Nov 22, 2022",$0.1068,$0.1407,$0.1037,$0.1317,"$1,380,759","$25,972,187"
"Nov 21, 2022",$0.1102,$0.1121,$0.1058,$0.1069,"$394,588","$21,073,690"
"Nov 20, 2022",$0.1149,$0.1153,$0.1098,$0.1101,"$338,707","$21,694,524"
"Nov 19, 2022",$0.1132,$0.1171,$0.1096,$0.1149,"$439,286","$22,640,090"
"Nov 18, 2022",$0.1153,$0.1207,$0.1116,$0.1131,"$522,418","$22,277,304"
"Nov 17, 2022",$0.1229,$0.1244,$0.1078,$0.1152,"$564,526","$22,698,276"
"Nov 16, 2022",$0.1273,$0.1273,$0.1191,$0.1229,"$446,632","$23,770,074"
"Nov 15, 2022",$0.1278,$0.1392,$0.123,$0.1272,"$770,438","$24,610,609"
"Nov 14, 2022",$0.1233,$0.1342,$0.1158,$0.1277,"$1,630,674","$24,706,281"
"Nov 13, 2022",$0.1382,$0.1647,$0.1154,$0.1231,"$3,250,607","$23,783,992"
"Nov 12, 2022",$0.1402,$0.165,$0.1255,$0.1381,"$2,413,895","$26,672,079"
"Nov 11, 2022",$0.1652,$0.1653,$0.1332,$0.1402,"$1,575,005","$27,084,682"
"Nov 10, 2022",$0.1438,$0.1808,$0.1357,$0.1653,"$1,751,780","$31,937,573"
"Nov 09, 2022",$0.182,$0.1831,$0.1401,$0.1438,"$2,167,453","$27,263,756"
"Nov 08, 2022",$0.2149,$0.2167,$0.1633,$0.182,"$3,289,360","$34,509,811"
"Nov 07, 2022",$0.2118,$0.2183,$0.2099,$0.215,"$1,472,015","$40,766,722"
"Nov 06, 2022",$0.213,$0.2378,$0.2098,$0.2117,"$3,073,525","$40,088,825"
"Nov 05, 2022",$0.2145,$0.2216,$0.2092,$0.213,"$1,591,738","$40,341,345"
