Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$1.83,$1.85,$1.83,$1.83,"$24,806,446","$191,617,122"
"Dec 30, 2022",$1.85,$1.86,$1.77,$1.83,"$25,724,180","$191,436,743"
"Dec 29, 2022",$1.86,$1.89,$1.82,$1.85,"$23,322,350","$193,176,242"
"Dec 28, 2022",$1.91,$1.92,$1.84,$1.86,"$24,220,866","$194,679,120"
"Dec 27, 2022",$1.97,$1.97,$1.90,$1.91,"$24,715,936","$199,698,102"
"Dec 26, 2022",$1.97,$1.98,$1.93,$1.97,"$23,549,317","$205,349,762"
"Dec 25, 2022",$2.00,$2.00,$1.95,$1.97,"$21,403,521","$205,950,907"
"Dec 24, 2022",$2.00,$2.01,$1.99,$2.00,"$19,172,048","$209,058,703"
"Dec 23, 2022",$1.99,$2.01,$1.98,$2.00,"$22,031,040","$208,909,230"
"Dec 22, 2022",$1.98,$2.00,$1.94,$1.99,"$24,763,402","$207,843,716"
"Dec 21, 2022",$2.02,$2.02,$1.97,$1.98,"$22,778,144","$206,614,128"
"Dec 20, 2022",$1.91,$2.02,$1.91,$2.02,"$24,963,407","$210,941,324"
"Dec 19, 2022",$2.03,$2.05,$1.90,$1.91,"$26,363,718","$199,419,105"
"Dec 18, 2022",$2.06,$2.06,$2.02,$2.03,"$22,755,231","$212,099,695"
"Dec 17, 2022",$2.13,$2.14,$2.02,$2.06,"$34,771,149","$215,253,224"
"Dec 16, 2022",$2.36,$2.38,$2.12,$2.13,"$37,872,867","$222,078,472"
"Dec 15, 2022",$2.36,$2.41,$2.33,$2.36,"$36,021,261","$246,501,721"
"Dec 14, 2022",$2.31,$2.38,$2.31,$2.36,"$37,670,678","$246,462,415"
"Dec 13, 2022",$2.22,$2.31,$2.18,$2.31,"$36,816,619","$240,827,157"
"Dec 12, 2022",$2.25,$2.27,$2.14,$2.22,"$32,051,891","$232,225,603"
"Dec 11, 2022",$2.22,$2.32,$2.22,$2.25,"$48,339,365","$235,080,132"
"Dec 10, 2022",$2.17,$2.32,$2.17,$2.22,"$55,570,351","$231,408,885"
"Dec 09, 2022",$2.16,$2.19,$2.16,$2.17,"$33,666,734","$227,154,550"
"Dec 08, 2022",$2.12,$2.17,$2.11,$2.16,"$34,542,807","$226,077,040"
"Dec 07, 2022",$2.22,$2.23,$2.12,$2.12,"$31,597,161","$221,861,129"
"Dec 06, 2022",$2.18,$2.22,$2.18,$2.22,"$25,997,128","$231,951,795"
"Dec 05, 2022",$2.20,$2.24,$2.17,$2.18,"$27,173,970","$228,019,234"
"Dec 04, 2022",$2.19,$2.22,$2.18,$2.20,"$29,324,384","$229,791,137"
"Dec 03, 2022",$2.24,$2.25,$2.19,$2.19,"$24,617,533","$228,936,738"
"Dec 02, 2022",$2.21,$2.24,$2.19,$2.24,"$27,890,752","$234,213,362"
"Dec 01, 2022",$2.24,$2.24,$2.20,$2.21,"$26,432,155","$230,966,910"
"Nov 30, 2022",$2.15,$2.24,$2.14,$2.24,"$32,941,311","$233,883,418"
"Nov 29, 2022",$2.12,$2.18,$2.10,$2.15,"$28,928,343","$224,026,952"
"Nov 28, 2022",$2.15,$2.17,$2.07,$2.12,"$27,523,991","$221,160,801"
"Nov 27, 2022",$2.17,$2.21,$2.15,$2.15,"$25,941,452","$224,921,716"
"Nov 26, 2022",$2.17,$2.20,$2.15,$2.17,"$26,527,240","$226,230,347"
"Nov 25, 2022",$2.16,$2.22,$2.10,$2.17,"$29,926,475","$227,011,068"
"Nov 24, 2022",$2.15,$2.19,$2.14,$2.16,"$25,307,958","$225,054,772"
"Nov 23, 2022",$2.06,$2.15,$2.05,$2.15,"$28,036,105","$224,144,582"
"Nov 22, 2022",$2.01,$2.06,$1.94,$2.06,"$25,598,046","$214,692,026"
"Nov 21, 2022",$2.01,$2.05,$1.95,$2.01,"$27,474,659","$210,295,104"
"Nov 20, 2022",$2.12,$2.16,$2.01,$2.01,"$29,575,963","$210,180,589"
"Nov 19, 2022",$2.06,$2.13,$2.04,$2.12,"$25,298,163","$221,031,152"
"Nov 18, 2022",$2.03,$2.11,$2.03,$2.06,"$25,489,837","$215,590,316"
"Nov 17, 2022",$2.05,$2.07,$2.02,$2.03,"$26,724,070","$211,992,867"
"Nov 16, 2022",$2.09,$2.12,$2.02,$2.05,"$27,719,204","$214,175,894"
"Nov 15, 2022",$2.02,$2.14,$2.01,$2.09,"$29,083,279","$218,303,113"
"Nov 14, 2022",$2.01,$2.05,$1.88,$2.02,"$32,586,606","$211,382,537"
"Nov 13, 2022",$2.07,$2.12,$1.99,$2.01,"$27,248,649","$210,230,975"
"Nov 12, 2022",$2.22,$2.23,$2.07,$2.07,"$27,944,645","$216,590,914"
"Nov 11, 2022",$2.32,$2.35,$2.14,$2.22,"$40,436,426","$232,058,840"
"Nov 10, 2022",$1.99,$2.36,$1.97,$2.32,"$51,551,289","$242,689,197"
"Nov 09, 2022",$2.46,$2.48,$1.97,$1.99,"$56,936,219","$207,762,079"
"Nov 08, 2022",$2.89,$2.92,$2.32,$2.46,"$60,095,129","$257,116,861"
