Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.0133,$0.0133,$0.01308,$0.0131,"$1,003","$5,440,955"
"Dec 30, 2022",$0.01359,$0.0136,$0.0131,$0.01329,"$1,168","$5,520,806"
"Dec 29, 2022",$0.01366,$0.01373,$0.01294,$0.01359,$684,"$5,645,847"
"Dec 28, 2022",$0.01401,$0.01404,$0.01358,$0.01366,"$1,132","$5,673,492"
"Dec 27, 2022",$0.01439,$0.01444,$0.01391,$0.01402,$798,"$5,822,596"
"Dec 26, 2022",$0.01419,$0.0144,$0.01417,$0.01439,$83,"$5,977,135"
"Dec 25, 2022",$0.01484,$0.01487,$0.01398,$0.01418,"$3,221","$5,891,122"
"Dec 24, 2022",$0.0151,$0.01512,$0.0148,$0.01484,$505,"$6,163,878"
"Dec 23, 2022",$0.01539,$0.01552,$0.01502,$0.0151,"$1,311","$6,273,684"
"Dec 22, 2022",$0.01505,$0.01767,$0.01498,$0.0154,"$26,667","$6,397,142"
"Dec 21, 2022",$0.01532,$0.01534,$0.01505,$0.01505,$32,"$6,254,109"
"Dec 20, 2022",$0.01527,$0.01623,$0.01405,$0.01533,"$23,306","$6,367,715"
"Dec 19, 2022",$0.0152,$0.01586,$0.01511,$0.01527,"$3,549","$6,342,533"
"Dec 18, 2022",$0.01519,$0.01593,$0.01505,$0.0152,"$7,023","$6,313,494"
"Dec 17, 2022",$0.01432,$0.01521,$0.01428,$0.01518,"$2,582","$6,308,235"
"Dec 16, 2022",$0.01538,$0.01597,$0.01421,$0.01433,"$4,012","$5,951,311"
"Dec 15, 2022",$0.01553,$0.01585,$0.01523,$0.01538,"$3,313","$6,388,814"
"Dec 14, 2022",$0.01564,$0.01639,$0.01547,$0.01552,"$4,949","$6,445,796"
"Dec 13, 2022",$0.01474,$0.0159,$0.01471,$0.01564,"$10,400","$6,496,196"
"Dec 12, 2022",$0.01442,$0.01476,$0.01418,$0.01474,"$4,059","$6,124,052"
"Dec 11, 2022",$0.01437,$0.01476,$0.01398,$0.01442,"$6,540","$5,989,291"
"Dec 10, 2022",$0.01411,$0.01453,$0.0141,$0.01437,"$6,359","$5,968,301"
"Dec 09, 2022",$0.01444,$0.01459,$0.01406,$0.01411,"$1,036","$5,863,086"
"Dec 08, 2022",$0.01399,$0.01453,$0.01382,$0.01444,"$1,424","$5,999,749"
"Dec 07, 2022",$0.01469,$0.01472,$0.01398,$0.01399,$31,"$5,810,106"
"Dec 06, 2022",$0.01499,$0.0151,$0.01446,$0.01469,"$1,527","$6,101,845"
"Dec 05, 2022",$0.01508,$0.01552,$0.01486,$0.01499,$671,"$6,225,688"
"Dec 04, 2022",$0.01459,$0.0151,$0.01458,$0.01509,$980,"$6,267,381"
"Dec 03, 2022",$0.01559,$0.01568,$0.01459,$0.01459,$56,"$6,059,884"
"Dec 02, 2022",$0.01593,$0.01593,$0.0153,$0.01561,"$1,955","$6,485,014"
"Dec 01, 2022",$0.01625,$0.01627,$0.01593,$0.01593,$12,"$6,619,457"
"Nov 30, 2022",$0.01678,$0.01764,$0.0158,$0.01626,"$14,420","$6,755,326"
"Nov 29, 2022",$0.01491,$0.01741,$0.0149,$0.01679,"$58,251","$6,974,612"
"Nov 28, 2022",$0.01349,$0.01596,$0.01317,$0.01491,"$49,401","$6,195,934"
"Nov 27, 2022",$0.01368,$0.01387,$0.01347,$0.01349,$38,"$5,606,084"
"Nov 26, 2022",$0.01426,$0.01457,$0.0136,$0.01369,"$10,013","$5,685,484"
"Nov 25, 2022",$0.01414,$0.01433,$0.01379,$0.01426,"$2,262","$5,924,835"
"Nov 24, 2022",$0.01403,$0.01436,$0.01396,$0.01414,$700,"$5,873,339"
"Nov 23, 2022",$0.01365,$0.01406,$0.01317,$0.01403,"$4,320","$5,827,670"
"Nov 22, 2022",$0.01316,$0.01365,$0.01273,$0.01365,"$2,669","$5,670,271"
"Nov 21, 2022",$0.01446,$0.01448,$0.01285,$0.01316,"$13,697","$5,465,350"
"Nov 20, 2022",$0.01459,$0.01476,$0.01389,$0.01447,"$9,924","$6,011,734"
"Nov 19, 2022",$0.01463,$0.01471,$0.01435,$0.01459,$172,"$6,062,830"
"Nov 18, 2022",$0.01469,$0.01488,$0.0145,$0.01464,$693,"$6,081,531"
"Nov 17, 2022",$0.01479,$0.01494,$0.01444,$0.01469,$15,"$6,102,915"
"Nov 16, 2022",$0.0161,$0.01627,$0.0144,$0.0148,"$16,889","$6,149,802"
"Nov 15, 2022",$0.01601,$0.01652,$0.01586,$0.01609,$238,"$6,684,922"
"Nov 14, 2022",$0.01557,$0.0166,$0.01516,$0.01601,$687,"$6,649,341"
"Nov 13, 2022",$0.01721,$0.01733,$0.01538,$0.01556,"$13,929","$6,464,891"
"Nov 12, 2022",$0.01763,$0.01777,$0.01713,$0.0172,$869,"$7,144,528"
"Nov 11, 2022",$0.01809,$0.0182,$0.01686,$0.01763,$96,"$7,325,378"
"Nov 10, 2022",$0.01538,$0.01881,$0.01528,$0.01811,"$9,175","$7,522,737"
"Nov 09, 2022",$0.01696,$0.01747,$0.01504,$0.01542,"$46,212","$6,405,011"
"Nov 08, 2022",$0.0177,$0.01849,$0.01503,$0.01696,"$28,657","$7,044,742"
"Nov 07, 2022",$0.01806,$0.02105,$0.01741,$0.0177,"$22,000","$7,351,277"
"Nov 06, 2022",$0.01829,$0.01846,$0.01806,$0.01806,$4,"$7,503,922"
"Nov 05, 2022",$0.01851,$0.01872,$0.01825,$0.01829,"$2,659","$7,598,090"
"Nov 04, 2022",$0.0172,$0.01873,$0.01719,$0.01853,"$3,227","$7,697,606"
"Nov 03, 2022",$0.017,$0.01764,$0.01697,$0.0172,"$7,668","$7,145,543"
"Nov 02, 2022",$0.01879,$0.0188,$0.01687,$0.017,"$8,993","$7,061,925"
"Nov 01, 2022",$0.01681,$0.01916,$0.01675,$0.01879,"$10,087","$7,806,112"
"Oct 31, 2022",$0.01494,$0.01785,$0.01493,$0.01681,"$30,968","$6,985,261"
"Oct 30, 2022",$0.0154,$0.01546,$0.01481,$0.01494,$55,"$6,207,251"
"Oct 29, 2022",$0.01507,$0.01572,$0.01501,$0.0154,"$1,533","$6,397,542"
"Oct 28, 2022",$0.01485,$0.01525,$0.01428,$0.01507,$805,"$6,260,591"
"Oct 27, 2022",$0.01544,$0.01554,$0.01482,$0.01485,$48,"$6,168,244"
"Oct 26, 2022",$0.01451,$0.01569,$0.0145,$0.01544,"$1,738","$6,416,354"
"Oct 25, 2022",$0.01338,$0.01478,$0.01337,$0.01451,$11,"$6,028,434"
"Oct 24, 2022",$0.01375,$0.01381,$0.01337,$0.01338,$0.59,"$5,559,985"
"Oct 23, 2022",$0.01293,$0.0138,$0.01293,$0.01376,$88,"$5,716,112"
"Oct 22, 2022",$0.01293,$0.01293,$0.01293,$0.01293,$0,"$5,371,026"
"Oct 21, 2022",$0.01298,$0.01307,$0.01291,$0.01293,$0,"$5,371,026"
"Oct 20, 2022",$0.013,$0.01324,$0.01278,$0.01297,"$2,323","$5,388,690"
"Oct 19, 2022",$0.01363,$0.01366,$0.01298,$0.013,"$1,315","$5,402,398"
"Oct 18, 2022",$0.01394,$0.01402,$0.01343,$0.01363,$101,"$5,663,596"
"Oct 17, 2022",$0.01361,$0.014,$0.01358,$0.01394,$51,"$5,789,680"
"Oct 16, 2022",$0.01328,$0.01368,$0.01328,$0.01361,$0,"$5,653,356"
"Oct 15, 2022",$0.01385,$0.01389,$0.01322,$0.01328,"$1,730","$5,517,419"
"Oct 14, 2022",$0.01386,$0.01435,$0.01378,$0.01385,$60,"$5,754,002"
"Oct 13, 2022",$0.01415,$0.01415,$0.013,$0.01386,"$1,380","$5,758,559"
"Oct 12, 2022",$0.01398,$0.01426,$0.01395,$0.01415,$0,"$5,876,720"
"Oct 11, 2022",$0.01431,$0.01431,$0.01395,$0.01398,$504,"$5,809,660"
"Oct 10, 2022",$0.01458,$0.01463,$0.0143,$0.01431,$7,"$5,946,057"
"Oct 09, 2022",$0.01446,$0.01465,$0.01432,$0.01458,$0,"$6,056,614"
"Oct 08, 2022",$0.01466,$0.01474,$0.01431,$0.01445,$700,"$6,005,125"
"Oct 07, 2022",$0.01493,$0.01502,$0.0144,$0.01465,$15,"$6,086,862"
"Oct 06, 2022",$0.01511,$0.01541,$0.01491,$0.01493,$361,"$6,201,957"
"Oct 05, 2022",$0.0152,$0.01521,$0.01467,$0.0151,$336,"$6,273,408"
"Oct 04, 2022",$0.01503,$0.01535,$0.01499,$0.0152,$0,"$6,316,330"
"Oct 03, 2022",$0.01481,$0.01512,$0.01448,$0.01502,"$2,525","$6,241,574"
"Oct 02, 2022",$0.01534,$0.01544,$0.01479,$0.01481,"$1,036","$6,153,201"
"Oct 01, 2022",$0.01568,$0.01574,$0.01519,$0.01534,"$1,414","$6,373,186"
"Sep 30, 2022",$0.01622,$0.01637,$0.01552,$0.01568,"$2,795","$6,516,110"
"Sep 29, 2022",$0.01258,$0.01842,$0.01252,$0.01623,"$43,987","$6,742,319"
"Sep 28, 2022",$0.01259,$0.01271,$0.01193,$0.01258,"$2,213","$5,226,132"
"Sep 27, 2022",$0.01292,$0.01339,$0.01244,$0.01259,$6,"$5,229,816"
"Sep 26, 2022",$0.01264,$0.01302,$0.01243,$0.01291,"$2,188","$5,365,338"
"Sep 25, 2022",$0.01302,$0.01314,$0.01249,$0.01264,$658,"$5,253,165"
"Sep 24, 2022",$0.0131,$0.01332,$0.01299,$0.01302,$529,"$5,407,463"
"Sep 23, 2022",$0.01325,$0.01369,$0.01277,$0.0131,"$4,200","$5,442,460"
"Sep 22, 2022",$0.01253,$0.01333,$0.01246,$0.01325,"$2,634","$5,505,850"
"Sep 21, 2022",$0.01296,$0.0138,$0.01233,$0.01254,"$11,199","$5,209,223"
"Sep 20, 2022",$0.01361,$0.01365,$0.01293,$0.01296,$201,"$5,385,515"
"Sep 19, 2022",$0.01317,$0.01368,$0.0128,$0.01362,"$2,255","$5,656,940"
"Sep 18, 2022",$0.01431,$0.01431,$0.01315,$0.01316,"$1,203","$5,467,903"
