Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.01041,$0.01043,$0.009373,$0.01013,"$104,103","$7,227,907"
"Dec 30, 2022",$0.01102,$0.01155,$0.01006,$0.01041,"$176,053","$7,427,668"
"Dec 29, 2022",$0.01121,$0.01146,$0.01095,$0.01102,"$223,653","$7,867,572"
"Dec 28, 2022",$0.0109,$0.01222,$0.01073,$0.01121,"$270,616","$8,003,111"
"Dec 27, 2022",$0.01223,$0.01228,$0.01086,$0.0109,"$202,660","$7,778,613"
"Dec 26, 2022",$0.01186,$0.01224,$0.01185,$0.01223,"$269,462","$8,732,044"
"Dec 25, 2022",$0.01172,$0.0119,$0.01166,$0.01186,"$147,771","$8,462,392"
"Dec 24, 2022",$0.01193,$0.01304,$0.0117,$0.01172,"$518,847","$8,368,203"
"Dec 23, 2022",$0.01189,$0.01207,$0.01189,$0.01194,"$227,379","$8,520,460"
"Dec 22, 2022",$0.01172,$0.01202,$0.01157,$0.0119,"$225,142","$8,493,467"
"Dec 21, 2022",$0.01225,$0.01237,$0.01165,$0.01171,"$135,771","$8,360,994"
"Dec 20, 2022",$0.01271,$0.01271,$0.01181,$0.01225,"$379,006","$8,747,528"
"Dec 19, 2022",$0.01197,$0.01461,$0.01188,$0.01271,"$646,371","$9,072,045"
"Dec 18, 2022",$0.01238,$0.01239,$0.0119,$0.01197,"$230,764","$8,542,762"
"Dec 17, 2022",$0.01192,$0.01241,$0.01191,$0.01238,"$246,562","$8,837,862"
"Dec 16, 2022",$0.01259,$0.01267,$0.01184,$0.01193,"$289,196","$8,515,813"
"Dec 15, 2022",$0.01288,$0.01296,$0.01188,$0.01259,"$236,145","$8,983,462"
"Dec 14, 2022",$0.01325,$0.01359,$0.01244,$0.01287,"$145,927","$9,188,538"
"Dec 13, 2022",$0.01348,$0.01369,$0.01304,$0.01325,"$291,621","$9,454,505"
"Dec 12, 2022",$0.01593,$0.01593,$0.01328,$0.01348,"$981,930","$9,620,261"
"Dec 11, 2022",$0.01272,$0.01824,$0.01271,$0.01593,"$2,971,246","$11,368,349"
"Dec 10, 2022",$0.01161,$0.01278,$0.01098,$0.01272,"$30,591","$9,077,547"
"Dec 09, 2022",$0.01268,$0.01274,$0.0116,$0.01161,"$32,552","$8,285,911"
"Dec 08, 2022",$0.01213,$0.01293,$0.01207,$0.01268,"$43,194","$9,049,766"
"Dec 07, 2022",$0.01236,$0.01238,$0.01168,$0.01213,"$44,450","$8,657,837"
"Dec 06, 2022",$0.0128,$0.0129,$0.01205,$0.01235,"$75,505","$8,816,469"
"Dec 05, 2022",$0.013,$0.01337,$0.01275,$0.0128,"$204,640","$9,135,389"
"Dec 04, 2022",$0.01176,$0.01358,$0.01174,$0.01301,"$236,393","$9,283,008"
"Dec 03, 2022",$0.01231,$0.01237,$0.01172,$0.01175,"$42,559","$8,385,488"
"Dec 02, 2022",$0.01223,$0.01294,$0.01215,$0.01232,"$81,305","$8,795,599"
"Dec 01, 2022",$0.01293,$0.01295,$0.01221,$0.01222,"$57,931","$8,723,230"
"Nov 30, 2022",$0.01248,$0.01308,$0.01246,$0.01293,"$82,715","$9,231,401"
"Nov 29, 2022",$0.01209,$0.01256,$0.01201,$0.01248,"$54,063","$8,905,180"
"Nov 28, 2022",$0.0124,$0.01246,$0.01191,$0.01209,"$43,246","$8,629,699"
"Nov 27, 2022",$0.01262,$0.01287,$0.01239,$0.0124,"$75,696","$8,853,056"
"Nov 26, 2022",$0.01265,$0.01495,$0.0126,$0.01263,"$1,302,448","$9,013,790"
"Nov 25, 2022",$0.01246,$0.01272,$0.01202,$0.01265,"$252,659","$9,028,644"
"Nov 24, 2022",$0.01236,$0.0129,$0.01229,$0.01246,"$91,742","$8,894,106"
"Nov 23, 2022",$0.0125,$0.01321,$0.01166,$0.01236,"$340,764","$8,821,895"
"Nov 22, 2022",$0.01255,$0.01291,$0.01222,$0.01251,"$113,224","$8,926,593"
"Nov 21, 2022",$0.01256,$0.01287,$0.01221,$0.01255,"$138,210","$8,958,766"
"Nov 20, 2022",$0.01314,$0.01563,$0.01249,$0.01256,"$546,057","$8,967,101"
"Nov 19, 2022",$0.01299,$0.01331,$0.01282,$0.01314,"$141,263","$9,375,831"
"Nov 18, 2022",$0.01357,$0.01388,$0.0128,$0.013,"$108,488","$9,282,552"
"Nov 17, 2022",$0.01401,$0.01406,$0.01289,$0.01356,"$218,609","$9,681,993"
"Nov 16, 2022",$0.01374,$0.01498,$0.01316,$0.01402,"$655,622","$10,009,679"
"Nov 15, 2022",$0.0137,$0.01958,$0.013,$0.01373,"$1,378,782","$9,802,747"
"Nov 14, 2022",$0.01367,$0.01428,$0.01315,$0.01369,"$159,572","$9,774,972"
"Nov 13, 2022",$0.014,$0.01416,$0.01347,$0.01366,"$119,062","$9,753,855"
"Nov 12, 2022",$0.0145,$0.01453,$0.01392,$0.01399,"$113,955","$9,984,958"
"Nov 11, 2022",$0.01523,$0.01532,$0.0135,$0.0145,"$97,601","$10,353,004"
"Nov 10, 2022",$0.01368,$0.01605,$0.01359,$0.01524,"$182,108","$10,880,445"
"Nov 09, 2022",$0.01533,$0.01539,$0.01324,$0.01372,"$392,524","$9,790,596"
"Nov 08, 2022",$0.01621,$0.01684,$0.01354,$0.01532,"$330,722","$10,934,226"
"Nov 07, 2022",$0.01617,$0.01712,$0.01467,$0.01621,"$325,547","$11,572,637"
"Nov 06, 2022",$0.01866,$0.01871,$0.01615,$0.01618,"$287,178","$11,545,774"
"Nov 05, 2022",$0.01755,$0.01875,$0.01693,$0.01866,"$183,923","$13,319,841"
"Nov 04, 2022",$0.0153,$0.01832,$0.01529,$0.01757,"$604,488","$12,539,351"
"Nov 03, 2022",$0.01561,$0.0159,$0.01459,$0.0153,"$199,891","$10,924,510"
"Nov 02, 2022",$0.0157,$0.01663,$0.01546,$0.01562,"$94,051","$11,150,778"
"Nov 01, 2022",$0.01576,$0.01602,$0.01539,$0.0157,"$119,530","$11,206,566"
"Oct 31, 2022",$0.0161,$0.01636,$0.01553,$0.01576,"$79,028","$11,252,995"
"Oct 30, 2022",$0.01652,$0.01674,$0.01486,$0.0161,"$177,312","$11,490,599"
"Oct 29, 2022",$0.01689,$0.01808,$0.01587,$0.01652,"$245,403","$11,789,415"
"Oct 28, 2022",$0.01665,$0.01757,$0.01657,$0.01689,"$406,170","$12,053,657"
"Oct 27, 2022",$0.0165,$0.0172,$0.0162,$0.01665,"$197,482","$11,884,496"
"Oct 26, 2022",$0.01686,$0.01716,$0.0162,$0.0165,"$205,733","$11,774,760"
"Oct 25, 2022",$0.01547,$0.01824,$0.01537,$0.01688,"$529,141","$12,046,659"
"Oct 24, 2022",$0.01568,$0.01596,$0.01526,$0.01548,"$135,740","$11,046,114"
"Oct 23, 2022",$0.01521,$0.01602,$0.01512,$0.01568,"$125,570","$11,194,688"
"Oct 22, 2022",$0.01527,$0.01563,$0.01511,$0.01517,"$193,374","$10,830,134"
"Oct 21, 2022",$0.01603,$0.01605,$0.01493,$0.01529,"$425,366","$10,911,370"
"Oct 20, 2022",$0.01776,$0.01895,$0.01496,$0.01592,"$1,480,620","$11,364,848"
"Oct 19, 2022",$0.01511,$0.0188,$0.015,$0.01773,"$560,025","$12,654,294"
"Oct 18, 2022",$0.01517,$0.01521,$0.01491,$0.01514,"$87,330","$10,803,849"
"Oct 17, 2022",$0.01571,$0.01571,$0.01477,$0.01517,"$227,845","$10,827,421"
"Oct 16, 2022",$0.01567,$0.01609,$0.01519,$0.01536,"$979,987","$10,962,416"
"Oct 15, 2022",$0.01498,$0.01575,$0.01492,$0.01568,"$132,268","$11,190,482"
"Oct 14, 2022",$0.01505,$0.01545,$0.0148,$0.01498,"$135,076","$10,693,941"
