Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.09685,$0.1134,$0.09592,$0.1024,"$26,101","$7,869,391"
"Dec 30, 2022",$0.1022,$0.1037,$0.08652,$0.09685,"$34,363","$7,443,266"
"Dec 29, 2022",$0.09682,$0.1059,$0.0959,$0.1023,"$19,744","$7,858,784"
"Dec 28, 2022",$0.08854,$0.1045,$0.08473,$0.09682,"$27,382","$7,440,988"
"Dec 27, 2022",$0.09612,$0.1023,$0.08301,$0.08854,"$28,267","$6,804,480"
"Dec 26, 2022",$0.1027,$0.1085,$0.08435,$0.09613,"$28,505","$7,386,943"
"Dec 25, 2022",$0.1082,$0.11,$0.09492,$0.1027,"$27,866","$7,891,892"
"Dec 24, 2022",$0.1022,$0.1092,$0.09883,$0.1082,"$24,175","$8,311,351"
"Dec 23, 2022",$0.09933,$0.1051,$0.09441,$0.1022,"$22,815","$7,850,240"
"Dec 22, 2022",$0.0937,$0.1048,$0.09177,$0.09933,"$25,911","$7,632,184"
"Dec 21, 2022",$0.1024,$0.108,$0.09153,$0.09369,"$20,775","$7,198,697"
"Dec 20, 2022",$0.0956,$0.1116,$0.08503,$0.1024,"$24,332","$7,867,700"
"Dec 19, 2022",$0.09755,$0.1028,$0.08694,$0.09559,"$22,169","$7,343,954"
"Dec 18, 2022",$0.1036,$0.1046,$0.09748,$0.09754,"$19,760","$7,493,651"
"Dec 17, 2022",$0.1012,$0.1057,$0.09884,$0.1036,"$22,049","$7,960,489"
"Dec 16, 2022",$0.1048,$0.1114,$0.1008,$0.1012,"$22,785","$7,771,723"
"Dec 15, 2022",$0.1069,$0.1133,$0.1037,$0.1048,"$21,824","$8,049,528"
"Dec 14, 2022",$0.1107,$0.1143,$0.1033,$0.1069,"$21,728","$8,214,548"
"Dec 13, 2022",$0.1062,$0.1218,$0.105,$0.1107,"$22,931","$8,500,384"
"Dec 12, 2022",$0.1043,$0.1121,$0.1026,$0.1062,"$18,888","$8,160,472"
"Dec 11, 2022",$0.1116,$0.1153,$0.1038,$0.1043,"$21,538","$8,013,572"
"Dec 10, 2022",$0.1085,$0.1174,$0.1082,$0.1116,"$28,052","$8,570,511"
"Dec 09, 2022",$0.1116,$0.1195,$0.1085,$0.1085,"$28,740","$8,332,807"
"Dec 08, 2022",$0.1133,$0.1138,$0.1046,$0.1116,"$21,052","$8,568,919"
"Dec 07, 2022",$0.1238,$0.1273,$0.1086,$0.1133,"$27,229","$8,701,111"
"Dec 06, 2022",$0.1194,$0.1239,$0.1099,$0.1238,"$37,778","$9,507,678"
"Dec 05, 2022",$0.1269,$0.1305,$0.1191,$0.1194,"$31,126","$9,170,285"
"Dec 04, 2022",$0.1253,$0.1293,$0.1205,$0.1269,"$35,132","$9,745,575"
"Dec 03, 2022",$0.1203,$0.1307,$0.1192,$0.1253,"$30,257","$9,623,664"
"Dec 02, 2022",$0.1257,$0.1298,$0.1185,$0.1203,"$30,445","$9,239,873"
"Dec 01, 2022",$0.127,$0.1313,$0.1239,$0.1256,"$24,463","$9,646,809"
"Nov 30, 2022",$0.1199,$0.1307,$0.1193,$0.127,"$25,661","$9,754,485"
"Nov 29, 2022",$0.1185,$0.1249,$0.1172,$0.1199,"$26,092","$9,203,162"
"Nov 28, 2022",$0.1204,$0.1235,$0.1168,$0.1185,"$26,347","$9,094,282"
"Nov 27, 2022",$0.1207,$0.1284,$0.119,$0.1204,"$25,173","$9,246,867"
"Nov 26, 2022",$0.1203,$0.127,$0.1195,$0.1207,"$31,277","$9,264,030"
"Nov 25, 2022",$0.1254,$0.1254,$0.1195,$0.1203,"$33,096","$9,236,757"
"Nov 24, 2022",$0.126,$0.1363,$0.1246,$0.1254,"$29,733","$9,626,117"
"Nov 23, 2022",$0.1288,$0.1317,$0.1227,$0.1291,"$28,513","$9,907,198"
"Nov 22, 2022",$0.1201,$0.1338,$0.1181,$0.1249,"$10,386","$9,585,061"
"Nov 21, 2022",$0.123,$0.1272,$0.1188,$0.1201,"$19,250","$9,221,556"
"Nov 20, 2022",$0.1305,$0.1362,$0.1227,$0.124,"$28,880","$9,515,933"
"Nov 19, 2022",$0.1273,$0.1338,$0.1253,$0.1305,"$33,080","$10,017,276"
"Nov 18, 2022",$0.1312,$0.1407,$0.1263,$0.1299,"$27,824","$9,970,237"
"Nov 17, 2022",$0.129,$0.142,$0.1149,$0.1312,"$26,134","$10,066,214"
"Nov 16, 2022",$0.1287,$0.1357,$0.1145,$0.1165,"$24,152","$8,939,901"
"Nov 15, 2022",$0.1236,$0.1379,$0.114,$0.1309,"$19,781","$10,045,391"
"Nov 14, 2022",$0.1222,$0.1375,$0.1096,$0.1266,"$29,452","$9,717,327"
"Nov 13, 2022",$0.1282,$0.1389,$0.1222,$0.1261,"$29,735","$9,675,081"
"Nov 12, 2022",$0.1259,$0.1359,$0.1231,$0.1282,"$20,821","$9,835,374"
"Nov 11, 2022",$0.1294,$0.1447,$0.1223,$0.1303,"$28,030","$9,998,818"
