Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.0009231,$0.0009234,$0.0008378,$0.0008379,"$161,178","$5,305,233"
"Dec 30, 2022",$0.0009135,$0.0009231,$0.0008667,$0.000923,"$124,701","$5,844,023"
"Dec 29, 2022",$0.0009371,$0.000941,$0.0008307,$0.0009142,"$233,259","$5,788,357"
"Dec 28, 2022",$0.0009737,$0.001041,$0.0009299,$0.0009371,"$425,507","$5,933,162"
"Dec 27, 2022",$0.000906,$0.001155,$0.0008891,$0.0009743,"$1,599,194","$6,168,827"
"Dec 26, 2022",$0.0009182,$0.0009439,$0.0008528,$0.0009058,"$211,928","$5,735,404"
"Dec 25, 2022",$0.0008688,$0.0009228,$0.0008419,$0.0009183,"$165,507","$5,814,426"
"Dec 24, 2022",$0.0008722,$0.0008869,$0.0008658,$0.0008688,"$59,645","$5,500,773"
"Dec 23, 2022",$0.0008643,$0.0008766,$0.0008581,$0.0008722,"$97,556","$5,522,372"
"Dec 22, 2022",$0.0008714,$0.000903,$0.0008367,$0.0008646,"$121,476","$5,474,093"
"Dec 21, 2022",$0.0008778,$0.0009116,$0.0008368,$0.0008713,"$100,475","$5,516,656"
"Dec 20, 2022",$0.0008753,$0.0008855,$0.0008639,$0.0008737,"$51,256","$5,532,101"
"Dec 19, 2022",$0.000926,$0.000986,$0.0008581,$0.0008775,"$94,357","$5,555,822"
"Dec 18, 2022",$0.0009555,$0.0009579,$0.0009143,$0.0009264,"$87,653","$5,865,319"
"Dec 17, 2022",$0.0009012,$0.0009564,$0.0008838,$0.000955,"$113,971","$6,046,802"
"Dec 16, 2022",$0.0009703,$0.0009791,$0.0008961,$0.0009015,"$99,279","$5,707,592"
"Dec 15, 2022",$0.0009442,$0.001058,$0.000933,$0.0009701,"$366,248","$6,142,348"
"Dec 14, 2022",$0.0009896,$0.001034,$0.000937,$0.000944,"$139,723","$5,976,074"
"Dec 13, 2022",$0.0009893,$0.0009999,$0.0009033,$0.0009905,"$61,499","$6,269,895"
"Dec 12, 2022",$0.0009955,$0.0009968,$0.0009254,$0.0009894,"$65,314","$6,262,063"
"Dec 11, 2022",$0.001006,$0.001114,$0.0009385,$0.0009955,"$3,114,345","$6,283,354"
"Dec 10, 2022",$0.0009516,$0.001121,$0.000919,$0.001006,"$143,768","$6,348,130"
"Dec 09, 2022",$0.000971,$0.0009937,$0.0008816,$0.0009516,"$84,334","$6,004,296"
"Dec 08, 2022",$0.0009115,$0.0009819,$0.0008968,$0.000971,"$63,715","$6,126,192"
"Dec 07, 2022",$0.0009357,$0.0009831,$0.0008981,$0.0009117,"$88,633","$5,751,256"
"Dec 06, 2022",$0.0009481,$0.0009996,$0.0009273,$0.0009355,"$79,736","$5,889,837"
"Dec 05, 2022",$0.0009614,$0.001011,$0.0009477,$0.0009477,"$101,934","$5,955,895"
"Dec 04, 2022",$0.001009,$0.001011,$0.0009508,$0.0009612,"$72,776","$6,031,876"
"Dec 03, 2022",$0.0009581,$0.001014,$0.0009506,$0.001009,"$110,092","$6,332,103"
"Dec 02, 2022",$0.001003,$0.001013,$0.0009351,$0.0009584,"$81,697","$6,012,587"
"Dec 01, 2022",$0.001001,$0.001027,$0.0009499,$0.001002,"$148,242","$6,280,305"
"Nov 30, 2022",$0.0009631,$0.001004,$0.0009038,$0.001001,"$104,582","$6,269,795"
"Nov 29, 2022",$0.0009445,$0.0009692,$0.0008905,$0.0009631,"$96,531","$6,030,989"
"Nov 28, 2022",$0.0009771,$0.0009805,$0.000886,$0.0009445,"$101,795","$5,913,877"
"Nov 27, 2022",$0.0009756,$0.0009845,$0.0009109,$0.0009779,"$93,215","$6,071,926"
"Nov 26, 2022",$0.0009845,$0.0009922,$0.0009301,$0.0009757,"$72,669","$6,057,132"
"Nov 25, 2022",$0.001005,$0.001017,$0.0009707,$0.0009842,"$138,219","$6,110,183"
"Nov 24, 2022",$0.001008,$0.00103,$0.0009819,$0.001004,"$132,878","$6,234,956"
"Nov 23, 2022",$0.0009451,$0.001027,$0.0009222,$0.001007,"$81,136","$6,248,508"
"Nov 22, 2022",$0.0009454,$0.0009701,$0.0008996,$0.0009449,"$134,542","$5,863,710"
"Nov 21, 2022",$0.001015,$0.001048,$0.000888,$0.0009444,"$144,369","$5,860,126"
"Nov 20, 2022",$0.001009,$0.001089,$0.0009628,$0.001015,"$196,139","$6,296,194"
"Nov 19, 2022",$0.001026,$0.001063,$0.0009398,$0.001011,"$344,458","$6,270,306"
"Nov 18, 2022",$0.0009607,$0.001191,$0.0009159,$0.001026,"$702,177","$6,363,828"
"Nov 17, 2022",$0.0009346,$0.0009589,$0.0008872,$0.0009588,"$201,999","$5,947,128"
"Nov 16, 2022",$0.0009836,$0.0009889,$0.0008891,$0.0009345,"$113,032","$5,793,585"
"Nov 15, 2022",$0.0009371,$0.0009909,$0.0008914,$0.0009842,"$67,307","$6,088,189"
"Nov 14, 2022",$0.000907,$0.000957,$0.0008186,$0.0009371,"$162,476","$5,784,863"
"Nov 13, 2022",$0.001005,$0.001025,$0.0008445,$0.000907,"$119,193","$5,598,900"
"Nov 12, 2022",$0.001016,$0.001076,$0.0009673,$0.001005,"$330,392","$6,204,008"
"Nov 11, 2022",$0.001038,$0.001047,$0.0009587,$0.0009696,"$100,099","$5,984,637"
"Nov 10, 2022",$0.000907,$0.001051,$0.0009014,$0.001039,"$145,013","$6,409,835"
"Nov 09, 2022",$0.001184,$0.001237,$0.0008612,$0.0009133,"$339,079","$5,636,359"
"Nov 08, 2022",$0.00133,$0.001331,$0.001157,$0.001184,"$149,155","$7,297,944"
"Nov 07, 2022",$0.001346,$0.001347,$0.001273,$0.00133,"$65,329","$7,832,501"
