Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.01788,$0.01798,$0.0176,$0.01765,"$1,349,158","$5,432,239"
"Dec 30, 2022",$0.01816,$0.0184,$0.0177,$0.01788,"$1,553,713","$5,501,826"
"Dec 29, 2022",$0.01831,$0.01845,$0.01799,$0.01813,"$1,372,331","$5,578,987"
"Dec 28, 2022",$0.01847,$0.01857,$0.01818,$0.01837,"$1,294,995","$5,651,440"
"Dec 27, 2022",$0.01861,$0.01884,$0.01824,$0.01848,"$1,418,761","$5,685,664"
"Dec 26, 2022",$0.01836,$0.01891,$0.01787,$0.01861,"$1,448,854","$5,725,173"
"Dec 25, 2022",$0.0177,$0.02006,$0.01753,$0.01842,"$1,491,895","$5,667,507"
"Dec 24, 2022",$0.01741,$0.01784,$0.01733,$0.0177,"$1,251,089","$5,445,064"
"Dec 23, 2022",$0.01781,$0.018,$0.01735,$0.01749,"$1,328,006","$5,382,221"
"Dec 22, 2022",$0.01793,$0.01811,$0.01776,$0.01792,"$1,207,898","$5,514,869"
"Dec 21, 2022",$0.01847,$0.01852,$0.0177,$0.01788,"$1,235,305","$5,503,163"
"Dec 20, 2022",$0.01937,$0.01957,$0.01773,$0.01847,"$1,135,110","$5,681,887"
"Dec 19, 2022",$0.01986,$0.01991,$0.01915,$0.01934,"$1,304,054","$5,950,995"
"Dec 18, 2022",$0.01963,$0.01997,$0.01959,$0.0199,"$1,260,437","$6,122,614"
"Dec 17, 2022",$0.0205,$0.02055,$0.01959,$0.0196,"$1,223,880","$6,030,421"
"Dec 16, 2022",$0.02042,$0.02096,$0.02021,$0.02035,"$1,246,627","$6,260,610"
"Dec 15, 2022",$0.02057,$0.02063,$0.0202,$0.02046,"$1,262,721","$6,295,446"
"Dec 14, 2022",$0.02026,$0.02077,$0.01998,$0.0205,"$1,326,778","$6,308,286"
"Dec 13, 2022",$0.0188,$0.02092,$0.01875,$0.02028,"$1,424,160","$6,238,835"
"Dec 12, 2022",$0.02095,$0.02097,$0.01849,$0.01881,"$1,216,702","$5,788,357"
"Dec 11, 2022",$0.02109,$0.02117,$0.02086,$0.02095,"$1,338,173","$6,446,632"
"Dec 10, 2022",$0.02178,$0.0222,$0.02102,$0.02104,"$1,298,055","$6,472,968"
"Dec 09, 2022",$0.0222,$0.02245,$0.02154,$0.02178,"$1,386,856","$6,702,955"
"Dec 08, 2022",$0.02218,$0.02232,$0.02209,$0.02222,"$1,341,004","$6,838,509"
"Dec 07, 2022",$0.02218,$0.02235,$0.02201,$0.0222,"$1,388,344","$6,830,647"
"Dec 06, 2022",$0.02272,$0.02287,$0.02205,$0.0222,"$1,326,145","$6,829,524"
"Dec 05, 2022",$0.02454,$0.02455,$0.02191,$0.02273,"$1,408,383","$6,994,905"
"Dec 04, 2022",$0.02128,$0.02675,$0.02097,$0.02459,"$1,499,244","$7,567,083"
"Dec 03, 2022",$0.02153,$0.0219,$0.02105,$0.02128,"$1,274,234","$6,547,898"
"Dec 02, 2022",$0.0225,$0.02317,$0.02115,$0.02151,"$1,332,410","$6,618,151"
"Dec 01, 2022",$0.02433,$0.02433,$0.02182,$0.02251,"$1,374,510","$6,926,200"
"Nov 30, 2022",$0.02439,$0.02458,$0.02348,$0.02432,"$1,352,021","$7,483,728"
