Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022","$18,626.40","$18,635.99","$18,457.71","$18,538.43","$47,389","$66,361,999"
"Dec 30, 2022","$18,965.09","$18,987.10","$18,511.50","$18,614.84","$61,847","$66,635,515"
"Dec 29, 2022","$18,202.09","$19,042.92","$16,580.74","$18,965.09","$79,123","$67,889,302"
"Dec 28, 2022","$18,186.69","$19,436.61","$18,083.19","$18,202.09","$383,773","$65,157,980"
"Dec 27, 2022","$18,497.83","$18,557.23","$18,131.11","$18,187.88","$94,911","$65,107,138"
"Dec 26, 2022","$20,918.88","$20,954.50","$18,499.92","$18,499.92","$333,107","$66,224,119"
"Dec 25, 2022","$17,664.76","$21,160.65","$17,653.18","$20,914.56","$1,175,871","$74,867,822"
"Dec 24, 2022","$17,755.63","$17,794.55","$17,636.04","$17,664.76","$18,448","$63,234,532"
"Dec 23, 2022","$17,466.06","$18,091.80","$17,307.58","$17,759.94","$4,303","$63,575,215"
"Dec 22, 2022","$17,440.50","$17,927.24","$16,834.68","$17,477.73","$185,813","$62,565,016"
"Dec 21, 2022","$17,052.98","$17,440.90","$16,945.22","$17,440.90","$2,052,613","$62,433,148"
"Dec 20, 2022","$16,483.91","$17,059.84","$16,471.65","$17,054.09","$13,250,643","$61,048,501"
"Dec 19, 2022","$16,926.04","$17,157.60","$16,419.08","$16,483.91","$4,702,793","$59,007,442"
"Dec 18, 2022","$17,053.16","$17,062.07","$16,823.83","$16,926.04","$3,642,954","$60,590,123"
"Dec 17, 2022","$16,722.91","$17,062.29","$16,696.44","$17,050.30","$2,142,873","$61,034,929"
"Dec 16, 2022","$17,471.58","$17,718.41","$16,648.41","$16,727.03","$946,795","$59,877,726"
"Dec 15, 2022","$17,991.36","$18,032.27","$17,434.47","$17,470.56","$1,715,841","$62,539,344"
"Dec 14, 2022","$17,823.52","$18,479.20","$17,692.93","$17,979.53","$824,094","$64,361,291"
