Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.01309,$0.01337,$0.01221,$0.01221,"$390,427","$6,680,310"
"Dec 30, 2022",$0.01268,$0.01313,$0.01236,$0.01309,"$323,925","$7,158,089"
"Dec 29, 2022",$0.01133,$0.01344,$0.01131,$0.01268,"$428,413","$6,933,299"
"Dec 28, 2022",$0.01147,$0.01167,$0.01118,$0.01133,"$238,816","$6,198,098"
"Dec 27, 2022",$0.01147,$0.01153,$0.01109,$0.01147,"$62,501","$6,275,031"
"Dec 26, 2022",$0.01168,$0.0118,$0.01116,$0.01147,"$52,785","$6,273,124"
"Dec 25, 2022",$0.01165,$0.01178,$0.01158,$0.01166,"$30,315","$6,377,468"
"Dec 24, 2022",$0.01162,$0.01215,$0.01157,$0.01165,"$73,345","$6,370,068"
"Dec 23, 2022",$0.01166,$0.01275,$0.01034,$0.01162,"$172,098","$6,357,498"
"Dec 22, 2022",$0.01006,$0.01236,$0.009786,$0.01166,"$129,537","$6,374,488"
"Dec 21, 2022",$0.01037,$0.01037,$0.009984,$0.01006,"$50,564","$5,503,499"
"Dec 20, 2022",$0.01017,$0.01068,$0.01015,$0.01037,"$49,881","$5,669,586"
"Dec 19, 2022",$0.01093,$0.01103,$0.01004,$0.01017,"$43,635","$5,562,594"
"Dec 18, 2022",$0.01085,$0.01101,$0.01072,$0.01093,"$33,755","$5,978,735"
"Dec 17, 2022",$0.01025,$0.01105,$0.01025,$0.01085,"$47,257","$5,936,109"
"Dec 16, 2022",$0.01165,$0.01186,$0.01019,$0.01025,"$59,426","$5,607,050"
"Dec 15, 2022",$0.01173,$0.01228,$0.0116,$0.01165,"$55,670","$6,373,656"
"Dec 14, 2022",$0.01239,$0.01253,$0.01169,$0.01172,"$65,550","$6,411,622"
"Dec 13, 2022",$0.01214,$0.01332,$0.01196,$0.01239,"$114,662","$6,778,625"
"Dec 12, 2022",$0.01173,$0.01213,$0.01121,$0.01213,"$59,754","$6,635,158"
"Dec 11, 2022",$0.01312,$0.01313,$0.01164,$0.01173,"$80,367","$6,414,932"
"Dec 10, 2022",$0.0132,$0.01336,$0.0131,$0.01312,"$52,119","$7,177,197"
"Dec 09, 2022",$0.01201,$0.01367,$0.01201,$0.0132,"$118,867","$7,218,259"
"Dec 08, 2022",$0.01149,$0.01245,$0.01142,$0.01201,"$81,436","$6,570,411"
"Dec 07, 2022",$0.01282,$0.01287,$0.0112,$0.01149,"$110,016","$6,285,506"
"Dec 06, 2022",$0.01327,$0.01352,$0.01266,$0.01282,"$64,749","$7,013,811"
"Dec 05, 2022",$0.01326,$0.01388,$0.01305,$0.01327,"$81,670","$7,259,983"
"Dec 04, 2022",$0.01321,$0.01357,$0.01313,$0.01323,"$67,080","$7,234,727"
"Dec 03, 2022",$0.01405,$0.0143,$0.0132,$0.01321,"$71,950","$7,224,269"
"Dec 02, 2022",$0.01488,$0.01492,$0.01373,$0.01404,"$91,005","$7,678,241"
"Dec 01, 2022",$0.01445,$0.01512,$0.01381,$0.01486,"$94,584","$8,125,596"
"Nov 30, 2022",$0.0136,$0.01494,$0.01359,$0.01445,"$115,855","$7,901,693"
"Nov 29, 2022",$0.01262,$0.01413,$0.01238,$0.0136,"$98,160","$7,435,878"
"Nov 28, 2022",$0.0119,$0.01298,$0.01158,$0.01261,"$67,733","$6,894,842"
"Nov 27, 2022",$0.01178,$0.0123,$0.01176,$0.0119,"$47,228","$6,510,989"
"Nov 26, 2022",$0.01191,$0.01264,$0.01174,$0.01178,"$62,502","$6,441,044"
"Nov 25, 2022",$0.01207,$0.01212,$0.01138,$0.01191,"$60,003","$6,515,860"
"Nov 24, 2022",$0.0117,$0.0122,$0.01164,$0.01207,"$56,731","$6,602,519"
"Nov 23, 2022",$0.01148,$0.01208,$0.01129,$0.01169,"$75,881","$6,392,713"
"Nov 22, 2022",$0.01141,$0.01155,$0.009969,$0.01148,"$94,993","$6,279,178"
"Nov 21, 2022",$0.0101,$0.01263,$0.009829,$0.0114,"$141,577","$6,236,747"
"Nov 20, 2022",$0.01129,$0.01152,$0.009693,$0.0101,"$149,932","$5,525,153"
"Nov 19, 2022",$0.01149,$0.01154,$0.01101,$0.01129,"$65,093","$6,177,396"
"Nov 18, 2022",$0.01194,$0.01209,$0.01115,$0.01149,"$82,527","$6,281,556"
"Nov 17, 2022",$0.01215,$0.0122,$0.01097,$0.01194,"$74,788","$6,528,601"
"Nov 16, 2022",$0.01242,$0.01253,$0.01164,$0.01215,"$68,538","$6,643,910"
"Nov 15, 2022",$0.01247,$0.01296,$0.01166,$0.0124,"$89,796","$6,784,147"
"Nov 14, 2022",$0.01234,$0.01263,$0.01166,$0.01247,"$56,887","$6,818,634"
"Nov 13, 2022",$0.01316,$0.01346,$0.01207,$0.01234,"$68,798","$6,747,992"
"Nov 12, 2022",$0.01349,$0.01377,$0.01262,$0.01315,"$82,338","$7,193,548"
"Nov 11, 2022",$0.01412,$0.01412,$0.01175,$0.01352,"$210,117","$7,393,392"
"Nov 10, 2022",$0.01249,$0.01624,$0.01239,$0.01412,"$155,132","$7,723,646"
"Nov 09, 2022",$0.01446,$0.01673,$0.01149,$0.01252,"$209,656","$6,846,464"
"Nov 08, 2022",$0.01753,$0.01804,$0.01289,$0.01447,"$314,070","$7,913,608"
"Nov 07, 2022",$0.01797,$0.01854,$0.0148,$0.01753,"$361,007","$9,586,088"
"Nov 06, 2022",$0.01984,$0.02044,$0.01638,$0.01797,"$369,268","$9,828,491"
