Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.04626,$0.04728,$0.04516,$0.04711,"$21,925","$1,168,889"
"Dec 30, 2022",$0.0466,$0.04751,$0.04437,$0.04618,"$30,173","$1,145,695"
"Dec 29, 2022",$0.04551,$0.04707,$0.04551,$0.0466,"$19,115","$1,156,241"
"Dec 28, 2022",$0.04323,$0.0466,$0.04274,$0.04551,"$38,789","$1,129,041"
"Dec 27, 2022",$0.04235,$0.04345,$0.04196,$0.04318,"$17,224","$1,071,226"
"Dec 26, 2022",$0.04193,$0.04266,$0.0418,$0.04257,"$14,668","$1,056,287"
"Dec 25, 2022",$0.04222,$0.04321,$0.04163,$0.04195,"$16,170","$1,040,882"
"Dec 24, 2022",$0.04162,$0.04259,$0.0415,$0.04222,"$24,820","$1,047,395"
"Dec 23, 2022",$0.04271,$0.04316,$0.04159,$0.04161,"$18,287","$1,032,422"
"Dec 22, 2022",$0.04271,$0.04361,$0.04156,$0.04273,"$26,247","$1,060,144"
"Dec 21, 2022",$0.04341,$0.04357,$0.04212,$0.04267,"$9,827","$1,058,584"
"Dec 20, 2022",$0.04185,$0.04409,$0.04173,$0.04341,"$5,605","$1,076,987"
"Dec 19, 2022",$0.0411,$0.0444,$0.04038,$0.04185,"$48,762","$1,038,355"
"Dec 18, 2022",$0.04069,$0.04156,$0.04018,$0.0411,"$13,513","$1,019,620"
"Dec 17, 2022",$0.03811,$0.04085,$0.0374,$0.04072,"$23,671","$1,010,279"
"Dec 16, 2022",$0.04281,$0.04352,$0.03742,$0.0382,"$14,039","$947,741"
"Dec 15, 2022",$0.04429,$0.0444,$0.04253,$0.04279,"$14,355","$1,061,650"
"Dec 14, 2022",$0.04514,$0.04587,$0.0441,$0.04429,"$16,051","$1,098,730"
"Dec 13, 2022",$0.04227,$0.04713,$0.04068,$0.0451,"$60,152","$1,118,942"
"Dec 12, 2022",$0.04321,$0.04344,$0.04176,$0.04233,"$27,710","$1,050,104"
"Dec 11, 2022",$0.04201,$0.04604,$0.04188,$0.04321,"$159,920","$1,072,160"
"Dec 10, 2022",$0.04145,$0.04225,$0.04112,$0.04201,"$5,290","$1,042,220"
"Dec 09, 2022",$0.0426,$0.04282,$0.04118,$0.04145,"$8,569","$1,028,294"
"Dec 08, 2022",$0.04096,$0.04282,$0.04068,$0.0426,"$29,941","$1,057,034"
"Dec 07, 2022",$0.04165,$0.0417,$0.04015,$0.04096,"$21,898","$1,016,227"
"Dec 06, 2022",$0.04167,$0.04204,$0.04108,$0.04162,"$15,091","$1,032,583"
"Dec 05, 2022",$0.04196,$0.04279,$0.0412,$0.04167,"$11,633","$1,033,882"
"Dec 04, 2022",$0.04137,$0.04207,$0.04116,$0.04207,"$8,186","$1,043,803"
"Dec 03, 2022",$0.0417,$0.04201,$0.04103,$0.04146,"$14,089","$1,028,644"
"Dec 02, 2022",$0.04111,$0.04173,$0.04018,$0.04172,"$10,301","$1,034,996"
"Dec 01, 2022",$0.04221,$0.04224,$0.04067,$0.04111,"$9,005","$1,019,843"
"Nov 30, 2022",$0.0406,$0.04232,$0.0406,$0.04223,"$11,556","$1,047,638"
"Nov 29, 2022",$0.04081,$0.04219,$0.04005,$0.0406,"$24,114","$1,007,317"
"Nov 28, 2022",$0.04472,$0.04511,$0.03963,$0.0408,"$46,146","$1,012,319"
"Nov 27, 2022",$0.04513,$0.04593,$0.04472,$0.04472,"$11,994","$1,109,435"
"Nov 26, 2022",$0.04421,$0.0459,$0.04414,$0.04515,"$16,518","$1,120,254"
"Nov 25, 2022",$0.04177,$0.04605,$0.04084,$0.04418,"$55,284","$1,096,087"
"Nov 24, 2022",$0.0421,$0.04281,$0.0413,$0.04177,"$15,785","$1,036,328"
"Nov 23, 2022",$0.03603,$0.04819,$0.03593,$0.04212,"$134,809","$1,044,941"
"Nov 22, 2022",$0.03355,$0.03781,$0.03307,$0.03613,"$74,769","$896,440"
"Nov 21, 2022",$0.03444,$0.0345,$0.03292,$0.03353,"$56,999","$831,939"
"Nov 20, 2022",$0.03576,$0.036,$0.03411,$0.03446,"$71,918","$855,075"
"Nov 19, 2022",$0.03722,$0.03733,$0.03551,$0.03576,"$72,483","$887,172"
"Nov 18, 2022",$0.03723,$0.03898,$0.0349,$0.03722,"$93,431","$923,538"
"Nov 17, 2022",$0.03709,$0.03742,$0.03547,$0.03721,"$72,291","$923,224"
"Nov 16, 2022",$0.03821,$0.03853,$0.03665,$0.03711,"$58,014","$920,770"
"Nov 15, 2022",$0.03892,$0.03956,$0.03795,$0.0382,"$68,678","$947,856"
"Nov 14, 2022",$0.03835,$0.04067,$0.03716,$0.03878,"$56,103","$962,157"
"Nov 13, 2022",$0.03958,$0.04028,$0.03807,$0.03831,"$65,979","$950,508"
"Nov 12, 2022",$0.04026,$0.04269,$0.03807,$0.03959,"$35,977","$982,307"
"Nov 11, 2022",$0.04165,$0.04172,$0.03851,$0.04021,"$37,332","$997,682"
"Nov 10, 2022",$0.03563,$0.04403,$0.0354,$0.04171,"$83,017","$1,034,739"
"Nov 09, 2022",$0.04857,$0.04963,$0.03504,$0.03575,"$120,477","$886,942"
"Nov 08, 2022",$0.05373,$0.05887,$0.04442,$0.04859,"$99,160","$1,205,638"
"Nov 07, 2022",$0.05467,$0.0552,$0.05311,$0.05373,"$46,852","$1,332,993"
"Nov 06, 2022",$0.05612,$0.05694,$0.05464,$0.0547,"$36,312","$1,357,142"
"Nov 05, 2022",$0.0562,$0.05765,$0.05586,$0.05616,"$58,870","$1,393,460"
"Nov 04, 2022",$0.05207,$0.05775,$0.05203,$0.05622,"$37,358","$1,394,779"
"Nov 03, 2022",$0.05202,$0.05433,$0.05174,$0.05219,"$22,608","$1,294,817"
"Nov 02, 2022",$0.05358,$0.05403,$0.05116,$0.05202,"$31,849","$1,290,586"
"Nov 01, 2022",$0.05366,$0.0546,$0.0525,$0.05358,"$62,581","$1,329,417"
"Oct 31, 2022",$0.05256,$0.05501,$0.05181,$0.05366,"$54,101","$1,331,331"
"Oct 30, 2022",$0.05203,$0.05312,$0.05168,$0.05256,"$29,902","$1,304,078"
"Oct 29, 2022",$0.05098,$0.05268,$0.05035,$0.05203,"$45,283","$1,290,902"
"Oct 28, 2022",$0.04863,$0.05137,$0.04842,$0.05098,"$37,828","$1,264,810"
"Oct 27, 2022",$0.05067,$0.05102,$0.04833,$0.04863,"$36,554","$1,206,442"
"Oct 26, 2022",$0.04936,$0.05223,$0.0487,$0.05067,"$48,739","$1,257,169"
"Oct 25, 2022",$0.04637,$0.05167,$0.04611,$0.04933,"$66,299","$1,223,880"
"Oct 24, 2022",$0.04626,$0.04867,$0.04587,$0.04637,"$51,344","$1,150,526"
"Oct 23, 2022",$0.04569,$0.04681,$0.04417,$0.04624,"$56,653","$1,147,231"
"Oct 22, 2022",$0.04524,$0.04659,$0.04484,$0.0457,"$26,095","$1,133,708"
