Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.1948,$0.1954,$0.1864,$0.1866,"$379,587","$98,344,603"
"Dec 30, 2022",$0.2038,$0.2058,$0.1932,$0.1947,"$414,221","$102,621,870"
"Dec 29, 2022",$0.2096,$0.2099,$0.2026,$0.2038,"$314,647","$107,407,328"
"Dec 28, 2022",$0.2175,$0.2186,$0.2043,$0.2095,"$583,173","$110,390,760"
"Dec 27, 2022",$0.232,$0.234,$0.2088,$0.2175,"$764,865","$114,607,859"
"Dec 26, 2022",$0.2345,$0.2371,$0.2274,$0.232,"$297,311","$122,264,413"
"Dec 25, 2022",$0.2279,$0.2398,$0.2276,$0.2345,"$482,850","$123,576,276"
"Dec 24, 2022",$0.2278,$0.2321,$0.2255,$0.2279,"$382,228","$120,092,777"
"Dec 23, 2022",$0.228,$0.2338,$0.2246,$0.2278,"$418,210","$120,046,052"
"Dec 22, 2022",$0.2336,$0.2389,$0.2264,$0.2281,"$424,079","$120,199,281"
"Dec 21, 2022",$0.2394,$0.241,$0.2315,$0.2335,"$321,786","$123,043,290"
"Dec 20, 2022",$0.2431,$0.2467,$0.238,$0.2395,"$267,318","$126,206,425"
"Dec 19, 2022",$0.247,$0.2482,$0.2399,$0.2434,"$351,144","$128,250,506"
"Dec 18, 2022",$0.2423,$0.2648,$0.2421,$0.247,"$751,958","$130,180,973"
"Dec 17, 2022",$0.2353,$0.2559,$0.2345,$0.2423,"$717,010","$127,708,426"
"Dec 16, 2022",$0.2532,$0.2532,$0.231,$0.2354,"$481,982","$124,042,058"
"Dec 15, 2022",$0.2516,$0.2559,$0.2499,$0.2533,"$363,469","$133,466,606"
"Dec 14, 2022",$0.252,$0.2576,$0.249,$0.2515,"$401,010","$132,558,100"
"Dec 13, 2022",$0.2487,$0.268,$0.2442,$0.252,"$766,378","$132,815,811"
"Dec 12, 2022",$0.2556,$0.2563,$0.2444,$0.2486,"$491,702","$130,986,760"
"Dec 11, 2022",$0.2461,$0.2602,$0.2457,$0.2557,"$700,275","$134,581,062"
"Dec 10, 2022",$0.2331,$0.2671,$0.2328,$0.2462,"$1,127,760","$129,554,578"
"Dec 09, 2022",$0.2361,$0.2361,$0.2279,$0.2332,"$469,118","$122,708,898"
"Dec 08, 2022",$0.2351,$0.2437,$0.2252,$0.2361,"$944,676","$124,272,137"
"Dec 07, 2022",$0.2538,$0.2561,$0.2349,$0.2351,"$537,164","$123,702,164"
"Dec 06, 2022",$0.2638,$0.264,$0.2517,$0.2538,"$520,645","$133,555,496"
"Dec 05, 2022",$0.2645,$0.2675,$0.2621,$0.2638,"$425,501","$138,842,346"
"Dec 04, 2022",$0.2656,$0.2663,$0.2639,$0.2646,"$365,954","$152,460,703"
"Dec 03, 2022",$0.2661,$0.2672,$0.2647,$0.2656,"$355,814","$153,035,251"
"Dec 02, 2022",$0.2658,$0.2667,$0.2621,$0.2662,"$469,845","$153,375,041"
"Dec 01, 2022",$0.2611,$0.2714,$0.2602,$0.2658,"$846,087","$153,174,115"
"Nov 30, 2022",$0.2617,$0.2747,$0.2492,$0.261,"$2,581,625","$150,420,621"
"Nov 29, 2022",$0.2187,$0.2759,$0.2183,$0.2618,"$2,882,807","$150,848,637"
"Nov 28, 2022",$0.2208,$0.2423,$0.2144,$0.2184,"$1,234,244","$125,840,758"
"Nov 27, 2022",$0.2194,$0.2309,$0.2169,$0.2207,"$1,061,147","$127,204,837"
"Nov 26, 2022",$0.2097,$0.2309,$0.2067,$0.2195,"$1,407,119","$126,461,956"
"Nov 25, 2022",$0.1912,$0.2354,$0.1875,$0.2097,"$2,191,671","$120,810,858"
"Nov 24, 2022",$0.1798,$0.2056,$0.1789,$0.1911,"$1,454,855","$110,100,924"
"Nov 23, 2022",$0.1745,$0.1905,$0.1744,$0.1798,"$1,476,614","$103,621,756"
"Nov 22, 2022",$0.1734,$0.1874,$0.152,$0.1745,"$2,724,406","$100,543,705"
"Nov 21, 2022",$0.1885,$0.1931,$0.1658,$0.1734,"$1,744,813","$99,939,602"
"Nov 20, 2022",$0.1979,$0.2198,$0.1824,$0.1886,"$1,441,049","$108,682,513"
"Nov 19, 2022",$0.2006,$0.2063,$0.1914,$0.1979,"$768,866","$114,042,305"
"Nov 18, 2022",$0.2037,$0.2119,$0.1939,$0.2006,"$1,070,248","$115,579,906"
"Nov 17, 2022",$0.2169,$0.2176,$0.188,$0.2035,"$1,044,349","$117,281,019"
"Nov 16, 2022",$0.2172,$0.2199,$0.2037,$0.217,"$774,184","$124,839,705"
"Nov 15, 2022",$0.2246,$0.25,$0.2147,$0.2172,"$1,064,530","$124,964,467"
"Nov 14, 2022",$0.1878,$0.2405,$0.1773,$0.2256,"$2,292,071","$129,243,629"
"Nov 13, 2022",$0.195,$0.2513,$0.1803,$0.1873,"$2,355,374","$107,315,695"
"Nov 12, 2022",$0.199,$0.2015,$0.1853,$0.1951,"$1,277,421","$111,685,390"
"Nov 11, 2022",$0.2227,$0.2247,$0.174,$0.199,"$2,788,450","$113,904,902"
"Nov 10, 2022",$0.1811,$0.2797,$0.1811,$0.2229,"$4,050,622","$127,586,421"
"Nov 09, 2022",$0.252,$0.2529,$0.1718,$0.1814,"$2,100,784","$103,843,304"
"Nov 08, 2022",$0.3361,$0.3363,$0.2468,$0.252,"$2,843,461","$144,253,551"
"Nov 07, 2022",$0.3369,$0.3415,$0.3342,$0.3362,"$673,460","$192,283,234"
"Nov 06, 2022",$0.3388,$0.3453,$0.3344,$0.337,"$768,226","$192,741,705"
"Nov 05, 2022",$0.3392,$0.3541,$0.3355,$0.339,"$794,772","$193,919,171"
