Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.0000639,$0.00006435,$0.00006374,$0.00006412,"$70,255","$8,556,245"
"Dec 30, 2022",$0.000064,$0.00006421,$0.00006335,$0.00006386,"$135,309","$8,522,361"
"Dec 29, 2022",$0.00006325,$0.00006466,$0.00006305,$0.000064,"$333,446","$8,541,158"
"Dec 28, 2022",$0.00006432,$0.00006449,$0.000063,$0.00006325,"$169,656","$8,440,650"
"Dec 27, 2022",$0.00006394,$0.00006468,$0.00006392,$0.00006429,"$90,909","$8,579,604"
"Dec 26, 2022",$0.0000637,$0.0000643,$0.00006341,$0.00006399,"$117,027","$8,539,137"
"Dec 25, 2022",$0.00006358,$0.00006383,$0.0000635,$0.0000637,"$37,397","$8,501,159"
"Dec 24, 2022",$0.00006349,$0.00006393,$0.00006254,$0.00006358,"$81,715","$8,484,609"
"Dec 23, 2022",$0.00006393,$0.00006464,$0.00006334,$0.00006349,"$184,306","$8,472,823"
"Dec 22, 2022",$0.00006377,$0.00006435,$0.00006277,$0.00006395,"$184,659","$8,533,451"
"Dec 21, 2022",$0.00006405,$0.00006408,$0.00006333,$0.00006375,"$239,095","$8,507,998"
"Dec 20, 2022",$0.00006355,$0.00006538,$0.00006346,$0.00006406,"$222,124","$8,548,613"
"Dec 19, 2022",$0.00006395,$0.00006429,$0.00006262,$0.00006355,"$114,779","$8,480,140"
"Dec 18, 2022",$0.0000645,$0.00006555,$0.00006326,$0.00006395,"$93,034","$8,534,158"
"Dec 17, 2022",$0.00006203,$0.0000646,$0.00006185,$0.0000646,"$69,534","$8,620,353"
"Dec 16, 2022",$0.00006312,$0.00006348,$0.00006155,$0.000062,"$106,215","$8,274,483"
"Dec 15, 2022",$0.00006328,$0.0000638,$0.00006283,$0.00006315,"$76,697","$8,426,706"
"Dec 14, 2022",$0.00006565,$0.00006584,$0.00006311,$0.00006328,"$147,839","$8,444,797"
"Dec 13, 2022",$0.00006291,$0.00006558,$0.00006166,$0.00006557,"$300,535","$8,750,045"
"Dec 12, 2022",$0.00006349,$0.00006361,$0.00006221,$0.00006288,"$164,605","$8,390,765"
"Dec 11, 2022",$0.00006385,$0.00006396,$0.00006341,$0.00006349,"$85,752","$8,473,204"
"Dec 10, 2022",$0.00006384,$0.00006398,$0.00006366,$0.00006385,"$70,492","$8,520,399"
"Dec 09, 2022",$0.00006484,$0.00006538,$0.00006372,$0.00006384,"$114,365","$8,519,112"
"Dec 08, 2022",$0.00006375,$0.00006663,$0.00006313,$0.00006484,"$76,951","$8,652,973"
"Dec 07, 2022",$0.00006371,$0.000064,$0.00006343,$0.00006377,"$111,877","$8,510,250"
"Dec 06, 2022",$0.00006227,$0.00006394,$0.00006153,$0.00006372,"$126,549","$8,502,752"
"Dec 05, 2022",$0.00006435,$0.00006459,$0.00006218,$0.00006227,"$63,476","$8,310,308"
"Dec 04, 2022",$0.00006313,$0.00006454,$0.00006305,$0.00006435,"$120,899","$8,586,821"
"Dec 03, 2022",$0.00006436,$0.00006523,$0.00006297,$0.00006308,"$184,315","$8,417,695"
"Dec 02, 2022",$0.00006379,$0.00006493,$0.00006372,$0.00006436,"$186,108","$8,588,554"
"Dec 01, 2022",$0.00006576,$0.00006583,$0.00006355,$0.00006379,"$186,718","$8,512,237"
"Nov 30, 2022",$0.00006467,$0.0000668,$0.00006408,$0.00006581,"$271,874","$8,781,777"
"Nov 29, 2022",$0.00006359,$0.00006509,$0.00006241,$0.00006467,"$121,316","$8,630,530"
"Nov 28, 2022",$0.00006302,$0.00006437,$0.00006114,$0.00006362,"$458,747","$8,489,756"
"Nov 27, 2022",$0.00006372,$0.00006464,$0.0000603,$0.00006302,"$71,220","$8,409,303"
"Nov 26, 2022",$0.0000528,$0.00006396,$0.0000528,$0.00006374,"$197,997","$8,506,683"
"Nov 25, 2022",$0.0000643,$0.0000643,$0.00005277,$0.0000528,"$184,269","$7,045,970"
"Nov 24, 2022",$0.00006608,$0.00006736,$0.00006346,$0.0000643,"$74,479","$8,581,119"
"Nov 23, 2022",$0.00006441,$0.00006661,$0.00006351,$0.00006608,"$125,059","$9,809,394"
"Nov 22, 2022",$0.00006205,$0.0000646,$0.00006116,$0.00006442,"$103,301","$9,562,867"
"Nov 21, 2022",$0.00006364,$0.00006369,$0.00006028,$0.00006205,"$178,766","$9,210,903"
"Nov 20, 2022",$0.00006357,$0.0000639,$0.00006049,$0.00006366,"$82,813","$9,450,784"
"Nov 19, 2022",$0.00006166,$0.00006408,$0.00005984,$0.00006357,"$47,902","$9,437,386"
"Nov 18, 2022",$0.00006301,$0.00006454,$0.00006147,$0.00006166,"$97,411","$9,153,696"
"Nov 17, 2022",$0.0000638,$0.00006388,$0.00006226,$0.00006299,"$105,990","$9,351,107"
"Nov 16, 2022",$0.00006413,$0.00006413,$0.00006362,$0.0000638,"$74,894","$9,470,372"
"Nov 15, 2022",$0.00006419,$0.00006611,$0.000064,$0.00006412,"$86,587","$9,519,269"
"Nov 14, 2022",$0.00006212,$0.00006681,$0.00006114,$0.00006419,"$205,252","$9,528,429"
"Nov 13, 2022",$0.00006375,$0.00006459,$0.0000614,$0.00006211,"$203,630","$9,219,789"
"Nov 12, 2022",$0.00006518,$0.00006529,$0.00006363,$0.00006364,"$111,425","$9,447,674"
"Nov 11, 2022",$0.00006407,$0.00006599,$0.00006041,$0.00006518,"$208,343","$9,676,016"
"Nov 10, 2022",$0.00006045,$0.00007076,$0.00006005,$0.00006414,"$320,926","$9,520,908"
"Nov 09, 2022",$0.00006242,$0.00006424,$0.00005682,$0.0000606,"$314,127","$8,995,799"
"Nov 08, 2022",$0.00006331,$0.00006701,$0.00005634,$0.00006242,"$261,298","$9,265,796"
"Nov 07, 2022",$0.00006267,$0.00006478,$0.00006215,$0.00006331,"$200,158","$9,398,271"
"Nov 06, 2022",$0.00006381,$0.000064,$0.00006149,$0.0000627,"$219,314","$9,307,420"
"Nov 05, 2022",$0.00006497,$0.00006572,$0.00006362,$0.00006381,"$125,325","$9,472,154"
"Nov 04, 2022",$0.00006376,$0.0000681,$0.00006345,$0.00006503,"$466,344","$9,653,461"
"Nov 03, 2022",$0.00006274,$0.00006466,$0.00006262,$0.00006376,"$98,792","$9,464,734"
"Nov 02, 2022",$0.00006406,$0.00006414,$0.00006234,$0.00006278,"$88,086","$9,319,849"
"Nov 01, 2022",$0.00006393,$0.00006471,$0.00006373,$0.00006406,"$75,441","$7,926,834"
"Oct 31, 2022",$0.00006432,$0.00006567,$0.00006318,$0.00006395,"$96,388","$7,913,372"
"Oct 30, 2022",$0.00006637,$0.00006717,$0.00006424,$0.00006432,"$90,650","$7,959,965"
"Oct 29, 2022",$0.00006586,$0.00006777,$0.00006376,$0.00006637,"$104,165","$8,212,782"
"Oct 28, 2022",$0.00006421,$0.00006737,$0.00006288,$0.00006586,"$117,182","$8,150,231"
"Oct 27, 2022",$0.00006619,$0.00006662,$0.00006391,$0.00006421,"$97,166","$7,945,477"
"Oct 26, 2022",$0.00006583,$0.00006831,$0.00006519,$0.00006619,"$269,636","$8,190,837"
"Oct 25, 2022",$0.00006405,$0.00007016,$0.00006104,$0.0000659,"$325,883","$8,154,429"
"Oct 24, 2022",$0.00006415,$0.00006651,$0.00005212,$0.00006405,"$309,079","$7,925,858"
"Oct 23, 2022",$0.00006406,$0.00006415,$0.00006388,$0.00006415,"$96,791","$7,937,964"
"Oct 22, 2022",$0.00006426,$0.00006426,$0.00006391,$0.00006406,"$347,461","$7,927,667"
"Oct 21, 2022",$0.00006431,$0.00006438,$0.00006381,$0.00006426,"$432,168","$7,951,847"
