Date,Open*,High,Low,Close**,Volume
"Dec 31, 2022",$6.80,$6.81,$6.18,$6.41,$0
"Dec 30, 2022",$7.29,$7.37,$6.29,$6.80,$0
"Dec 29, 2022",$6.57,$7.38,$6.51,$7.29,$0
"Dec 28, 2022",$7.35,$7.37,$6.52,$6.57,$0
"Dec 27, 2022",$8.99,$8.99,$6.14,$7.35,$0
"Dec 26, 2022",$7.96,$8.99,$6.14,$8.99,$0
"Dec 25, 2022",$7.96,$8.95,$6.39,$7.96,$0
"Dec 24, 2022",$7.49,$8.00,$6.59,$7.96,$0
"Dec 23, 2022",$8.09,$8.17,$5.93,$7.49,$0
"Dec 22, 2022",$8.12,$8.18,$5.61,$8.09,$0
"Dec 21, 2022",$7.20,$8.18,$6.23,$8.12,$0
"Dec 20, 2022",$6.17,$7.41,$6.11,$7.20,$0
"Dec 19, 2022",$6.96,$6.98,$6.12,$6.17,$0
"Dec 18, 2022",$6.93,$6.98,$6.38,$6.96,$0
"Dec 17, 2022",$7.02,$7.25,$6.63,$6.93,$0
"Dec 16, 2022",$7.12,$7.27,$6.92,$7.02,$0
"Dec 15, 2022",$7.14,$7.26,$6.90,$7.12,$0
"Dec 14, 2022",$8.18,$8.18,$6.92,$7.14,$0
"Dec 13, 2022",$6.82,$8.18,$6.64,$8.18,$0
"Dec 12, 2022",$8.02,$8.18,$6.63,$6.82,$0
"Dec 11, 2022",$8.00,$8.18,$6.77,$8.02,$0
"Dec 10, 2022",$7.25,$8.18,$7.00,$8.00,$0
"Dec 09, 2022",$7.95,$7.95,$7.19,$7.25,$0
"Dec 08, 2022",$7.37,$8.10,$7.36,$7.95,$0
"Dec 07, 2022",$7.86,$7.87,$7.33,$7.37,$0
"Dec 06, 2022",$7.63,$7.87,$7.19,$7.86,$0
"Dec 05, 2022",$8.28,$8.34,$7.50,$7.63,$0
"Dec 04, 2022",$9.02,$9.02,$6.76,$8.28,$0
"Dec 03, 2022",$8.25,$9.04,$7.59,$9.02,$0
"Dec 02, 2022",$8.67,$9.03,$7.48,$8.25,$0
"Dec 01, 2022",$8.45,$8.86,$7.19,$8.67,$0
"Nov 30, 2022",$7.95,$8.85,$7.64,$8.45,$0
"Nov 29, 2022",$8.20,$9.21,$7.95,$7.95,$0
"Nov 28, 2022",$8.31,$8.49,$8.12,$8.20,$0
"Nov 27, 2022",$8.97,$8.97,$7.72,$8.31,$0
"Nov 26, 2022",$8.98,$9.04,$8.64,$8.97,$0
"Nov 25, 2022",$8.69,$9.01,$8.64,$8.98,$0
"Nov 24, 2022",$8.24,$9.26,$8.16,$8.69,$0
"Nov 23, 2022",$8.28,$8.48,$8.13,$8.24,$0
"Nov 22, 2022",$8.08,$8.34,$7.94,$8.28,$0
"Nov 21, 2022",$8.54,$8.79,$7.96,$8.08,$0
"Nov 20, 2022",$8.37,$8.85,$8.13,$8.54,$0
"Nov 19, 2022",$7.42,$8.68,$7.38,$8.37,$0
"Nov 18, 2022",$6.17,$8.18,$6.07,$7.42,$0
"Nov 17, 2022",$4.83,$6.20,$4.80,$6.17,$0
"Nov 16, 2022",$4.85,$4.97,$4.82,$4.83,$0
"Nov 15, 2022",$4.85,$4.85,$4.85,$4.85,$0
"Nov 14, 2022",$4.85,$4.85,$4.85,$4.85,$0
"Nov 13, 2022",$4.85,$4.85,$4.85,$4.85,"$178,389"
"Nov 12, 2022",$4.86,$4.88,$4.83,$4.85,"$178,376"
"Nov 11, 2022",$4.83,$4.88,$4.76,$4.86,"$181,124"
"Nov 10, 2022",$4.87,$4.96,$4.56,$4.83,"$154,142"
"Nov 09, 2022",$5.14,$5.16,$4.86,$4.87,"$154,069"
"Nov 08, 2022",$5.16,$5.28,$5.08,$5.14,"$140,362"
"Nov 07, 2022",$5.23,$5.25,$5.16,$5.16,"$144,882"
"Nov 06, 2022",$5.03,$5.45,$5.03,$5.23,"$159,611"
"Nov 05, 2022",$5.11,$5.20,$4.76,$5.03,"$146,152"
"Nov 04, 2022",$5.34,$5.48,$5.11,$5.11,"$150,803"
"Nov 03, 2022",$4.92,$5.42,$4.91,$5.34,"$159,724"
"Nov 02, 2022",$4.14,$5.14,$3.99,$4.92,"$124,138"
"Nov 01, 2022",$4.00,$4.49,$3.93,$4.14,"$115,298"
"Oct 31, 2022",$4.05,$4.05,$3.93,$4.00,"$107,297"
"Oct 30, 2022",$3.93,$4.14,$3.93,$4.05,"$126,422"
"Oct 29, 2022",$4.20,$4.23,$3.76,$3.93,"$113,983"
"Oct 28, 2022",$4.14,$4.20,$3.87,$4.20,"$120,409"
"Oct 27, 2022",$4.13,$4.23,$4.11,$4.14,"$125,076"
"Oct 26, 2022",$4.41,$4.57,$4.10,$4.13,"$127,865"
"Oct 25, 2022",$4.61,$4.86,$4.16,$4.41,"$118,036"
"Oct 24, 2022",$4.19,$4.61,$4.16,$4.61,"$113,759"
"Oct 23, 2022",$4.12,$4.23,$4.09,$4.19,"$137,780"
"Oct 22, 2022",$4.10,$4.71,$4.09,$4.12,"$123,965"
