Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.3959,$0.399,$0.3909,$0.3951,"$4,768,054","$128,159,731"
"Dec 30, 2022",$0.3901,$0.4004,$0.3798,$0.396,"$7,888,329","$128,467,934"
"Dec 29, 2022",$0.3852,$0.3927,$0.3793,$0.3901,"$4,707,799","$126,539,071"
"Dec 28, 2022",$0.3898,$0.3919,$0.3782,$0.3852,"$5,624,861","$124,955,049"
"Dec 27, 2022",$0.3919,$0.3932,$0.383,$0.3895,"$4,064,238","$126,368,367"
"Dec 26, 2022",$0.3857,$0.3923,$0.3824,$0.3921,"$3,532,528","$127,185,717"
"Dec 25, 2022",$0.3908,$0.3932,$0.3773,$0.3858,"$4,961,816","$125,141,530"
"Dec 24, 2022",$0.3836,$0.3942,$0.3836,$0.3908,"$4,924,666","$126,769,050"
"Dec 23, 2022",$0.3922,$0.3967,$0.3776,$0.3836,"$6,100,596","$124,444,015"
"Dec 22, 2022",$0.4075,$0.4126,$0.3838,$0.3922,"$6,546,156","$127,223,660"
"Dec 21, 2022",$0.4194,$0.4207,$0.4045,$0.4075,"$5,582,277","$132,195,599"
"Dec 20, 2022",$0.3994,$0.4236,$0.3993,$0.4194,"$7,041,706","$136,056,248"
"Dec 19, 2022",$0.4039,$0.4162,$0.3931,$0.3993,"$9,010,597","$129,532,513"
"Dec 18, 2022",$0.4073,$0.4156,$0.3957,$0.4039,"$9,443,928","$131,014,127"
"Dec 17, 2022",$0.4333,$0.4333,$0.3814,$0.4074,"$20,153,685","$132,162,664"
"Dec 16, 2022",$0.4956,$0.5128,$0.4269,$0.4354,"$30,405,333","$141,257,671"
"Dec 15, 2022",$0.4708,$0.5137,$0.4641,$0.4957,"$23,680,461","$160,798,847"
"Dec 14, 2022",$0.465,$0.4823,$0.4621,$0.4709,"$9,488,730","$152,777,095"
"Dec 13, 2022",$0.4794,$0.4886,$0.4636,$0.465,"$20,412,132","$150,835,531"
"Dec 12, 2022",$0.4629,$0.4928,$0.4366,$0.4795,"$15,914,589","$155,555,329"
"Dec 11, 2022",$0.473,$0.4803,$0.4614,$0.4626,"$8,921,095","$150,069,816"
"Dec 10, 2022",$0.4633,$0.4744,$0.4605,$0.473,"$8,206,147","$153,439,858"
"Dec 09, 2022",$0.475,$0.4768,$0.4541,$0.4633,"$15,147,232","$150,307,145"
"Dec 08, 2022",$0.4465,$0.4808,$0.4391,$0.475,"$27,103,442","$154,084,695"
"Dec 07, 2022",$0.4575,$0.4591,$0.4281,$0.4465,"$9,507,382","$144,841,240"
"Dec 06, 2022",$0.4406,$0.4588,$0.4346,$0.4574,"$11,184,562","$148,381,611"
"Dec 05, 2022",$0.4709,$0.4756,$0.4309,$0.4405,"$14,133,900","$47,642,877"
"Dec 04, 2022",$0.4542,$0.4758,$0.4519,$0.471,"$15,862,131","$50,943,646"
"Dec 03, 2022",$0.4884,$0.4951,$0.4541,$0.4542,"$23,591,913","$49,133,463"
"Dec 02, 2022",$0.4495,$0.5111,$0.4454,$0.4883,"$73,240,521","$52,822,758"
"Dec 01, 2022",$0.444,$0.4495,$0.4191,$0.4495,"$20,549,182","$48,624,354"
"Nov 30, 2022",$0.4499,$0.4675,$0.4294,$0.4439,"$13,895,985","$48,019,621"
"Nov 29, 2022",$0.4611,$0.4702,$0.4473,$0.4499,"$19,796,467","$48,661,272"
"Nov 28, 2022",$0.469,$0.4725,$0.4373,$0.4605,"$18,485,002","$49,808,684"
"Nov 27, 2022",$0.461,$0.4871,$0.4586,$0.4691,"$12,856,926","$50,744,358"
"Nov 26, 2022",$0.4771,$0.5091,$0.4579,$0.4611,"$18,955,018","$49,872,440"
"Nov 25, 2022",$0.4838,$0.4842,$0.4532,$0.4771,"$20,176,449","$51,606,999"
"Nov 24, 2022",$0.4881,$0.562,$0.4771,$0.4839,"$31,807,811","$52,345,893"
"Nov 23, 2022",$0.499,$0.5345,$0.4753,$0.488,"$22,906,974","$52,780,949"
"Nov 22, 2022",$0.4869,$0.5124,$0.4563,$0.4989,"$38,983,431","$53,964,333"
"Nov 21, 2022",$0.5298,$0.5476,$0.4701,$0.4873,"$62,463,264","$52,713,191"
"Nov 20, 2022",$0.5783,$0.5958,$0.5103,$0.5302,"$63,971,714","$57,349,857"
"Nov 19, 2022",$0.7222,$0.7222,$0.5759,$0.5785,"$56,746,761","$62,573,142"
"Nov 18, 2022",$0.6884,$0.8005,$0.6702,$0.7223,"$131,165,291","$78,133,619"
"Nov 17, 2022",$0.6236,$0.6993,$0.6123,$0.6887,"$73,443,649","$74,491,613"
"Nov 16, 2022",$0.613,$0.7137,$0.5931,$0.6232,"$97,250,482","$67,411,977"
"Nov 15, 2022",$0.6673,$0.7664,$0.5927,$0.6131,"$114,132,028","$66,316,163"
"Nov 14, 2022",$0.4943,$0.7424,$0.4523,$0.6665,"$217,315,350","$72,092,837"
"Nov 13, 2022",$0.307,$0.5681,$0.3048,$0.4941,"$137,744,955","$53,448,103"
"Nov 12, 2022",$0.3148,$0.3153,$0.294,$0.3068,"$4,195,242","$33,183,744"
"Nov 11, 2022",$0.338,$0.3398,$0.3047,$0.3147,"$6,367,463","$34,035,315"
"Nov 10, 2022",$0.2926,$0.3439,$0.2888,$0.3381,"$9,471,717","$36,565,767"
"Nov 09, 2022",$0.36,$0.3601,$0.2862,$0.2927,"$7,654,828","$31,661,137"
"Nov 08, 2022",$0.4242,$0.4296,$0.3337,$0.3598,"$16,109,534","$38,917,326"
"Nov 07, 2022",$0.417,$0.4348,$0.4131,$0.4244,"$6,373,006","$45,901,049"
"Nov 06, 2022",$0.4518,$0.458,$0.417,$0.4171,"$4,647,438","$45,119,849"
"Nov 05, 2022",$0.4509,$0.4722,$0.4452,$0.4518,"$6,434,518","$48,868,907"
"Nov 04, 2022",$0.4126,$0.4549,$0.4092,$0.4509,"$7,605,521","$48,767,310"
"Nov 03, 2022",$0.3939,$0.4899,$0.3926,$0.413,"$21,975,574","$44,670,884"
"Nov 02, 2022",$0.4065,$0.4079,$0.3856,$0.3934,"$4,559,654","$42,550,944"
"Nov 01, 2022",$0.4037,$0.418,$0.4035,$0.4066,"$4,525,540","$43,985,462"
"Oct 31, 2022",$0.4025,$0.4102,$0.3968,$0.4037,"$4,247,158","$43,667,227"
"Oct 30, 2022",$0.4188,$0.4256,$0.3983,$0.4025,"$5,247,898","$43,532,686"
"Oct 29, 2022",$0.4081,$0.4382,$0.4045,$0.4187,"$9,014,269","$45,291,604"
"Oct 28, 2022",$0.3962,$0.412,$0.3922,$0.4081,"$6,759,414","$44,142,067"
"Oct 27, 2022",$0.3909,$0.4159,$0.3892,$0.3964,"$8,634,784","$42,881,586"
"Oct 26, 2022",$0.378,$0.3938,$0.3777,$0.3909,"$5,635,842","$42,279,586"
"Oct 25, 2022",$0.3799,$0.3892,$0.376,$0.3779,"$4,551,953","$40,881,341"
"Oct 24, 2022",$0.3857,$0.3869,$0.3742,$0.3799,"$3,852,159","$41,090,780"
