Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.01679,$0.01703,$0.01659,$0.01661,"$256,275","$17,699,472"
"Dec 30, 2022",$0.01693,$0.01711,$0.01671,$0.01678,"$272,384","$17,878,746"
"Dec 29, 2022",$0.01655,$0.01853,$0.01596,$0.01693,"$434,680","$18,042,068"
"Dec 28, 2022",$0.01629,$0.0178,$0.01607,$0.01655,"$493,455","$17,634,615"
"Dec 27, 2022",$0.0163,$0.01641,$0.01609,$0.0163,"$218,246","$17,366,708"
"Dec 26, 2022",$0.01617,$0.01634,$0.01613,$0.0163,"$189,505","$17,371,252"
"Dec 25, 2022",$0.01615,$0.01629,$0.01605,$0.01616,"$229,992","$17,221,331"
"Dec 24, 2022",$0.01624,$0.01625,$0.01593,$0.01615,"$271,412","$17,204,026"
"Dec 23, 2022",$0.01623,$0.01636,$0.01597,$0.01624,"$412,471","$17,305,892"
"Dec 22, 2022",$0.01631,$0.01647,$0.01586,$0.01624,"$473,658","$17,301,500"
"Dec 21, 2022",$0.01673,$0.0168,$0.01609,$0.0163,"$304,324","$17,370,557"
"Dec 20, 2022",$0.01667,$0.01705,$0.01586,$0.01673,"$710,366","$17,823,608"
"Dec 19, 2022",$0.01816,$0.02022,$0.01648,$0.01667,"$1,192,728","$17,757,204"
"Dec 18, 2022",$0.01809,$0.01889,$0.01798,$0.01816,"$112,073","$19,344,221"
"Dec 17, 2022",$0.01791,$0.01813,$0.01722,$0.01808,"$428,197","$19,261,321"
"Dec 16, 2022",$0.01871,$0.01908,$0.01774,$0.01791,"$543,804","$19,083,416"
"Dec 15, 2022",$0.02054,$0.02054,$0.01855,$0.01871,"$450,693","$19,936,117"
"Dec 14, 2022",$0.02118,$0.02144,$0.02052,$0.02053,"$373,039","$21,873,688"
"Dec 13, 2022",$0.02023,$0.0214,$0.01984,$0.02118,"$885,486","$22,569,716"
"Dec 12, 2022",$0.02081,$0.02086,$0.0198,$0.02023,"$693,140","$21,549,357"
"Dec 11, 2022",$0.02049,$0.02098,$0.0201,$0.02081,"$682,860","$22,172,113"
"Dec 10, 2022",$0.02013,$0.02117,$0.0198,$0.02049,"$586,018","$21,835,528"
"Dec 09, 2022",$0.01856,$0.02101,$0.01854,$0.02013,"$904,708","$21,451,543"
"Dec 08, 2022",$0.01792,$0.01898,$0.01778,$0.01856,"$958,275","$19,774,049"
"Dec 07, 2022",$0.01705,$0.01804,$0.01678,$0.01792,"$780,477","$19,096,035"
"Dec 06, 2022",$0.01688,$0.01753,$0.01682,$0.01704,"$469,984","$18,158,596"
"Dec 05, 2022",$0.01703,$0.01767,$0.01679,$0.01688,"$875,638","$17,981,379"
"Dec 04, 2022",$0.0169,$0.01741,$0.01667,$0.01738,"$1,329,256","$18,515,921"
"Dec 03, 2022",$0.01767,$0.01769,$0.01661,$0.01689,"$1,233,160","$17,999,074"
"Dec 02, 2022",$0.01718,$0.01804,$0.01715,$0.01767,"$1,489,494","$18,829,005"
"Dec 01, 2022",$0.01668,$0.01723,$0.0166,$0.01718,"$1,311,434","$18,302,189"
"Nov 30, 2022",$0.01598,$0.01685,$0.01597,$0.01668,"$357,122","$17,773,838"
"Nov 29, 2022",$0.01607,$0.01643,$0.01598,$0.01598,"$378,774","$17,025,542"
"Nov 28, 2022",$0.01566,$0.01637,$0.0154,$0.01607,"$519,559","$17,119,270"
"Nov 27, 2022",$0.01548,$0.01596,$0.01548,$0.01566,"$270,034","$16,687,483"
"Nov 26, 2022",$0.01416,$0.01551,$0.01414,$0.01548,"$1,406,197","$16,496,112"
"Nov 25, 2022",$0.01422,$0.01423,$0.01379,$0.01415,"$1,148,504","$15,077,994"
"Nov 24, 2022",$0.01429,$0.0144,$0.0141,$0.01422,"$1,144,587","$15,147,476"
"Nov 23, 2022",$0.01383,$0.01466,$0.01382,$0.0143,"$1,200,885","$15,231,469"
