Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.0029,$0.002909,$0.002628,$0.002629,"$684,604","$9,614,592"
"Dec 30, 2022",$0.002431,$0.002919,$0.002407,$0.0029,"$942,676","$10,604,858"
"Dec 29, 2022",$0.002828,$0.002926,$0.002277,$0.00243,"$1,107,692","$8,886,003"
"Dec 28, 2022",$0.003334,$0.003342,$0.002756,$0.002828,"$930,765","$10,343,211"
"Dec 27, 2022",$0.00335,$0.003384,$0.00328,$0.003334,"$522,035","$12,193,191"
"Dec 26, 2022",$0.003313,$0.003405,$0.003297,$0.00335,"$568,415","$12,250,665"
"Dec 25, 2022",$0.003285,$0.003376,$0.003278,$0.003314,"$621,722","$12,120,385"
"Dec 24, 2022",$0.003287,$0.003349,$0.00328,$0.003284,"$476,039","$12,011,778"
"Dec 23, 2022",$0.003341,$0.003372,$0.003262,$0.003282,"$479,427","$12,002,180"
"Dec 22, 2022",$0.003372,$0.003404,$0.003275,$0.003341,"$565,476","$12,217,580"
"Dec 21, 2022",$0.003499,$0.003512,$0.003346,$0.003371,"$409,097","$12,329,925"
"Dec 20, 2022",$0.003332,$0.003553,$0.00326,$0.003499,"$568,459","$12,797,691"
"Dec 19, 2022",$0.003412,$0.003475,$0.00331,$0.003331,"$528,766","$12,183,592"
"Dec 18, 2022",$0.003472,$0.003486,$0.003418,$0.00342,"$197,293","$12,506,582"
"Dec 17, 2022",$0.003399,$0.003494,$0.003213,$0.003471,"$617,398","$12,694,202"
"Dec 16, 2022",$0.003739,$0.003864,$0.003252,$0.003401,"$843,693","$12,439,677"
"Dec 15, 2022",$0.004072,$0.004096,$0.003655,$0.003738,"$735,698","$13,672,138"
"Dec 14, 2022",$0.003933,$0.004227,$0.003808,$0.004073,"$654,864","$14,893,958"
"Dec 13, 2022",$0.00362,$0.004169,$0.003535,$0.003939,"$809,878","$14,406,895"
"Dec 12, 2022",$0.003564,$0.003644,$0.003479,$0.00362,"$425,819","$13,239,312"
"Dec 11, 2022",$0.003678,$0.003694,$0.003553,$0.003565,"$445,051","$13,038,606"
"Dec 10, 2022",$0.003791,$0.003843,$0.003649,$0.003677,"$440,607","$13,448,212"
