Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$4.30,$4.38,$4.22,$4.30,"$10,287,093","$19,543,328"
"Dec 30, 2022",$4.33,$4.83,$4.30,$4.30,"$43,197,421","$19,570,608"
"Dec 29, 2022",$3.92,$4.79,$3.88,$4.34,"$37,967,440","$19,727,543"
"Dec 28, 2022",$4.26,$4.27,$3.91,$3.92,"$7,694,617","$17,826,546"
"Dec 27, 2022",$4.41,$4.42,$4.20,$4.26,"$5,435,619","$19,400,910"
"Dec 26, 2022",$4.43,$4.47,$4.36,$4.42,"$7,604,980","$20,093,761"
"Dec 25, 2022",$4.58,$4.58,$4.36,$4.43,"$5,382,456","$20,137,528"
"Dec 24, 2022",$4.59,$4.62,$4.57,$4.58,"$3,854,595","$20,819,410"
"Dec 23, 2022",$4.59,$4.66,$4.57,$4.57,"$4,646,913","$20,814,101"
"Dec 22, 2022",$4.61,$4.68,$4.50,$4.59,"$7,506,640","$20,895,103"
"Dec 21, 2022",$4.79,$4.84,$4.56,$4.61,"$5,835,963","$20,964,259"
"Dec 20, 2022",$4.49,$4.84,$4.48,$4.79,"$9,434,241","$21,779,381"
"Dec 19, 2022",$4.95,$5.03,$4.49,$4.49,"$10,483,854","$20,413,715"
"Dec 18, 2022",$5.12,$5.38,$4.93,$4.95,"$20,425,283","$22,520,263"
"Dec 17, 2022",$5.21,$5.22,$4.86,$5.12,"$12,287,500","$23,281,118"
"Dec 16, 2022",$5.89,$6.04,$5.21,$5.21,"$21,532,123","$23,700,800"
"Dec 15, 2022",$5.87,$6.52,$5.75,$5.89,"$55,047,447","$26,785,068"
"Dec 14, 2022",$5.65,$5.94,$5.49,$5.87,"$15,314,228","$26,722,470"
"Dec 13, 2022",$5.90,$5.91,$5.38,$5.65,"$15,794,755","$25,690,141"
"Dec 12, 2022",$6.10,$6.14,$5.79,$5.90,"$10,826,125","$26,831,727"
"Dec 11, 2022",$6.45,$6.47,$6.10,$6.10,"$7,394,101","$27,769,864"
"Dec 10, 2022",$6.49,$6.70,$6.40,$6.44,"$12,965,891","$29,313,405"
"Dec 09, 2022",$6.52,$6.66,$6.39,$6.49,"$13,656,318","$29,549,431"
"Dec 08, 2022",$6.54,$6.54,$6.42,$6.52,"$8,116,030","$29,674,290"
"Dec 07, 2022",$6.74,$6.74,$6.47,$6.54,"$8,631,393","$29,752,157"
"Dec 06, 2022",$6.81,$6.83,$6.68,$6.74,"$8,836,643","$30,646,632"
"Dec 05, 2022",$6.82,$6.93,$6.68,$6.82,"$11,007,654","$31,029,251"
"Dec 04, 2022",$6.68,$7.14,$6.66,$6.82,"$21,374,661","$31,040,206"
"Dec 03, 2022",$6.99,$7.30,$6.64,$6.69,"$20,195,748","$30,419,626"
"Dec 02, 2022",$6.63,$7.44,$6.47,$6.99,"$30,627,410","$31,818,755"
