Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.002872,$0.002883,$0.002826,$0.00286,"$601,089","$15,174,481"
"Dec 30, 2022",$0.002899,$0.002917,$0.002848,$0.002873,"$752,762","$15,238,902"
"Dec 29, 2022",$0.002901,$0.002945,$0.002865,$0.0029,"$1,146,657","$15,385,122"
"Dec 28, 2022",$0.003,$0.003125,$0.002847,$0.002901,"$3,305,959","$15,391,413"
"Dec 27, 2022",$0.003126,$0.003428,$0.002883,$0.003,"$7,328,639","$15,916,330"
"Dec 26, 2022",$0.002725,$0.003432,$0.002716,$0.003127,"$12,601,201","$16,591,114"
"Dec 25, 2022",$0.002832,$0.002834,$0.002724,$0.002725,"$1,498,048","$14,455,551"
"Dec 24, 2022",$0.002716,$0.00321,$0.002706,$0.002832,"$9,993,335","$15,021,277"
"Dec 23, 2022",$0.002848,$0.00287,$0.002712,$0.002717,"$1,425,207","$14,415,570"
"Dec 22, 2022",$0.002963,$0.00298,$0.002753,$0.002848,"$910,664","$15,108,347"
"Dec 21, 2022",$0.003008,$0.003011,$0.002924,$0.002961,"$608,813","$15,710,122"
"Dec 20, 2022",$0.00289,$0.003042,$0.002883,$0.003007,"$896,546","$15,954,121"
"Dec 19, 2022",$0.00313,$0.003146,$0.002841,$0.002889,"$1,101,519","$15,325,570"
"Dec 18, 2022",$0.003135,$0.003145,$0.003106,$0.003129,"$648,756","$16,601,499"
"Dec 17, 2022",$0.003024,$0.003243,$0.003016,$0.003135,"$2,159,678","$16,629,934"
"Dec 16, 2022",$0.003427,$0.003429,$0.003023,$0.003024,"$1,402,236","$16,040,971"
"Dec 15, 2022",$0.003514,$0.00353,$0.003406,$0.003426,"$1,163,317","$18,175,777"
"Dec 14, 2022",$0.003566,$0.003579,$0.003513,$0.003513,"$975,336","$18,638,964"
"Dec 13, 2022",$0.003574,$0.003595,$0.003463,$0.003567,"$1,338,086","$18,924,574"
"Dec 12, 2022",$0.003612,$0.003616,$0.00353,$0.003574,"$1,074,969","$18,957,907"
