Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.0002184,$0.0002326,$0.0002151,$0.0002298,"$41,657","$3,207,000"
"Dec 30, 2022",$0.0002212,$0.0002221,$0.0002184,$0.0002184,"$25,668","$3,043,752"
"Dec 29, 2022",$0.0002259,$0.000226,$0.0002138,$0.0002212,"$57,121","$3,077,889"
"Dec 28, 2022",$0.0002574,$0.0002574,$0.000226,$0.0002262,"$61,796","$3,143,133"
"Dec 27, 2022",$0.0002639,$0.0002778,$0.000257,$0.0002574,"$71,663","$3,571,833"
"Dec 26, 2022",$0.0002357,$0.0002773,$0.0002271,$0.0002639,"$194,571","$3,656,414"
"Dec 25, 2022",$0.0002245,$0.0002414,$0.0002245,$0.0002365,"$115,879","$3,271,087"
"Dec 24, 2022",$0.0001863,$0.0002818,$0.0001847,$0.0002248,"$424,375","$3,105,720"
"Dec 23, 2022",$0.0001745,$0.0001877,$0.0001725,$0.0001865,"$30,810","$2,574,209"
"Dec 22, 2022",$0.0001725,$0.0001748,$0.0001698,$0.0001746,"$25,097","$2,404,171"
"Dec 21, 2022",$0.0001909,$0.0001912,$0.0001716,$0.0001725,"$38,855","$2,371,985"
"Dec 20, 2022",$0.000203,$0.0002032,$0.0001833,$0.0001912,"$88,079","$2,627,048"
"Dec 19, 2022",$0.0002067,$0.0002749,$0.0001873,$0.0002032,"$211,184","$2,788,507"
"Dec 18, 2022",$0.0002141,$0.0002148,$0.000205,$0.0002067,"$22,988","$2,832,857"
"Dec 17, 2022",$0.0002176,$0.0002193,$0.0002122,$0.0002141,"$43,865","$2,929,469"
"Dec 16, 2022",$0.0002426,$0.0002452,$0.0002161,$0.0002176,"$69,258","$2,973,274"
"Dec 15, 2022",$0.0002396,$0.0002497,$0.0002314,$0.0002426,"$76,184","$3,310,773"
"Dec 14, 2022",$0.0002488,$0.0002656,$0.0002363,$0.0002396,"$116,851","$3,265,337"
"Dec 13, 2022",$0.0002379,$0.0002582,$0.0002361,$0.0002489,"$112,525","$3,384,652"
"Dec 12, 2022",$0.0002418,$0.0002418,$0.0002346,$0.0002379,"$47,769","$3,231,993"
"Dec 11, 2022",$0.0002619,$0.0002737,$0.0002417,$0.0002418,"$31,530","$3,280,863"
"Dec 10, 2022",$0.0002534,$0.00027,$0.0002482,$0.0002619,"$54,651","$3,548,286"
