Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.002777,$0.00281,$0.002433,$0.002735,"$154,761","$5,828,496"
"Dec 30, 2022",$0.002107,$0.002895,$0.001823,$0.002775,"$431,933","$5,912,767"
"Dec 29, 2022",$0.002184,$0.002185,$0.002095,$0.002107,"$23,980","$4,489,891"
"Dec 28, 2022",$0.002062,$0.002275,$0.002055,$0.002184,"$13,821","$4,653,842"
"Dec 27, 2022",$0.002271,$0.002406,$0.001812,$0.00206,"$58,444","$4,388,666"
"Dec 26, 2022",$0.002523,$0.003,$0.002166,$0.002272,"$475,269","$4,842,159"
"Dec 25, 2022",$0.002083,$0.002217,$0.002058,$0.002192,"$120,626","$4,670,025"
"Dec 24, 2022",$0.002034,$0.00209,$0.00197,$0.002083,"$9,698","$4,437,607"
"Dec 23, 2022",$0.00212,$0.002132,$0.002002,$0.002034,"$16,624","$4,333,640"
"Dec 22, 2022",$0.002139,$0.002149,$0.001933,$0.00212,"$14,919","$4,516,954"
"Dec 21, 2022",$0.002235,$0.002237,$0.002137,$0.002139,"$16,510","$4,556,915"
"Dec 20, 2022",$0.00195,$0.002246,$0.001949,$0.002235,"$105,256","$4,761,493"
"Dec 19, 2022",$0.002089,$0.002112,$0.001947,$0.00195,"$90,628","$4,155,621"
"Dec 18, 2022",$0.002182,$0.002191,$0.002049,$0.002089,"$60,793","$4,451,306"
"Dec 17, 2022",$0.002266,$0.00262,$0.002161,$0.002186,"$107,317","$4,658,073"
"Dec 16, 2022",$0.001743,$0.002334,$0.001717,$0.002266,"$407,826","$4,829,389"
"Dec 15, 2022",$0.001687,$0.001745,$0.001683,$0.001743,$344,"$3,714,559"
"Dec 14, 2022",$0.001632,$0.001699,$0.001532,$0.001687,"$2,110","$3,593,971"
"Dec 13, 2022",$0.001568,$0.001837,$0.001463,$0.00163,"$1,482","$3,472,521"
"Dec 12, 2022",$0.001674,$0.001677,$0.001519,$0.001567,"$1,393","$3,339,866"
"Dec 11, 2022",$0.0017,$0.001702,$0.001668,$0.001674,"$1,049","$3,566,652"
"Dec 10, 2022",$0.00184,$0.00192,$0.00161,$0.0017,"$1,064","$3,623,349"
"Dec 09, 2022",$0.001844,$0.001846,$0.001806,$0.00184,"$1,558","$3,920,528"
"Dec 08, 2022",$0.001823,$0.001845,$0.001752,$0.001844,"$1,912","$3,929,144"
"Dec 07, 2022",$0.001835,$0.001916,$0.001784,$0.001823,"$19,700","$3,884,710"
"Dec 06, 2022",$0.001837,$0.001844,$0.001715,$0.001835,"$1,334","$3,909,227"
"Dec 05, 2022",$0.001885,$0.001891,$0.00175,$0.001837,"$2,645","$3,915,158"
"Dec 04, 2022",$0.001873,$0.001906,$0.001839,$0.001885,"$1,763","$4,016,835"
"Dec 03, 2022",$0.001765,$0.001873,$0.001757,$0.001873,"$3,382","$3,990,808"
"Dec 02, 2022",$0.001756,$0.001963,$0.001756,$0.001764,"$3,496","$3,759,720"
"Dec 01, 2022",$0.001643,$0.001909,$0.001641,$0.001756,"$5,094","$3,741,311"
"Nov 30, 2022",$0.001626,$0.001653,$0.001603,$0.001643,"$6,211","$3,501,925"
"Nov 29, 2022",$0.001685,$0.001897,$0.001615,$0.001626,"$3,692","$3,464,597"
"Nov 28, 2022",$0.001908,$0.001911,$0.001673,$0.001686,"$2,632","$3,592,320"
"Nov 27, 2022",$0.001959,$0.001961,$0.001879,$0.001908,"$6,649","$4,066,287"
"Nov 26, 2022",$0.001793,$0.002128,$0.001687,$0.001957,"$41,512","$4,170,875"
"Nov 25, 2022",$0.001708,$0.00181,$0.001707,$0.001794,"$5,100","$3,822,475"
"Nov 24, 2022",$0.001705,$0.001724,$0.0017,$0.001708,"$2,441","$3,639,903"
"Nov 23, 2022",$0.001729,$0.001775,$0.001698,$0.001706,"$1,602","$3,634,859"
"Nov 22, 2022",$0.001709,$0.001733,$0.001661,$0.001727,"$5,706","$3,680,760"
"Nov 21, 2022",$0.001763,$0.001767,$0.001696,$0.001708,"$10,779","$3,640,020"
"Nov 20, 2022",$0.001729,$0.001918,$0.001662,$0.00176,"$7,420","$3,749,702"
"Nov 19, 2022",$0.00166,$0.001854,$0.001659,$0.001729,"$5,473","$3,683,700"
"Nov 18, 2022",$0.002067,$0.00207,$0.001659,$0.00166,"$4,655","$3,536,219"
"Nov 17, 2022",$0.00199,$0.002728,$0.00177,$0.002071,"$33,044","$4,411,993"
"Nov 16, 2022",$0.001484,$0.002061,$0.001479,$0.00199,"$29,311","$4,239,877"
"Nov 15, 2022",$0.002107,$0.00223,$0.001298,$0.001484,"$5,425","$3,161,334"
"Nov 14, 2022",$0.002232,$0.002319,$0.002102,$0.002108,"$5,542","$4,491,511"
"Nov 13, 2022",$0.002011,$0.002326,$0.001786,$0.002229,"$5,046","$4,749,743"
"Nov 12, 2022",$0.002175,$0.002494,$0.002005,$0.002009,"$2,802","$4,280,935"
"Nov 11, 2022",$0.002212,$0.002234,$0.002154,$0.002176,"$15,403","$4,636,109"
"Nov 10, 2022",$0.001977,$0.002221,$0.001953,$0.002211,"$20,076","$4,711,099"
