Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.0008978,$0.0009161,$0.0008894,$0.000905,"$13,721","$2,446,531"
"Dec 30, 2022",$0.0008897,$0.0008984,$0.0008715,$0.0008961,"$18,576","$2,422,672"
"Dec 29, 2022",$0.0008299,$0.0008913,$0.0008299,$0.0008897,"$19,181","$2,405,381"
"Dec 28, 2022",$0.0008538,$0.0008582,$0.0008273,$0.0008299,"$13,618","$2,243,499"
"Dec 27, 2022",$0.0008361,$0.000857,$0.000831,$0.0008527,"$11,377","$2,305,165"
"Dec 26, 2022",$0.0008141,$0.0008404,$0.0008119,$0.0008404,"$16,218","$2,272,067"
"Dec 25, 2022",$0.0008001,$0.0008236,$0.0007949,$0.0008147,"$16,016","$2,202,585"
"Dec 24, 2022",$0.0007896,$0.0008022,$0.0007781,$0.0008001,"$14,715","$2,162,917"
"Dec 23, 2022",$0.0007738,$0.0007936,$0.0007694,$0.00079,"$20,714","$2,135,805"
"Dec 22, 2022",$0.0007707,$0.0007766,$0.0007511,$0.000774,"$17,543","$2,092,369"
"Dec 21, 2022",$0.0006638,$0.0007791,$0.0006465,$0.00077,"$31,345","$2,081,541"
"Dec 20, 2022",$0.0006363,$0.0006696,$0.0006339,$0.0006638,"$7,012","$1,794,670"
"Dec 19, 2022",$0.0007001,$0.0007029,$0.0006323,$0.0006363,"$20,440","$1,720,246"
"Dec 18, 2022",$0.0006223,$0.0007077,$0.0006152,$0.0007001,"$25,032","$1,892,639"
"Dec 17, 2022",$0.0005779,$0.0006249,$0.0005592,$0.0006225,"$18,806","$1,682,890"
"Dec 16, 2022",$0.0006495,$0.0006612,$0.0005678,$0.000579,"$20,497","$1,565,417"
"Dec 15, 2022",$0.0006664,$0.0006748,$0.0006458,$0.0006492,"$21,158","$1,755,055"
"Dec 14, 2022",$0.0006806,$0.000696,$0.0006595,$0.000667,"$15,590","$1,803,194"
"Dec 13, 2022",$0.0006891,$0.0007008,$0.0006455,$0.0006798,"$14,294","$1,837,747"
"Dec 12, 2022",$0.0007221,$0.0007264,$0.0006826,$0.0006902,"$14,217","$1,866,007"
"Dec 11, 2022",$0.0007263,$0.000739,$0.0007195,$0.0007221,"$9,473","$1,952,134"
"Dec 10, 2022",$0.0007229,$0.0007387,$0.0007149,$0.0007263,"$10,484","$1,963,534"
"Dec 09, 2022",$0.0007214,$0.000741,$0.0007158,$0.0007229,"$12,460","$1,954,326"
"Dec 08, 2022",$0.0006695,$0.0007217,$0.0006651,$0.0007214,"$19,920","$1,950,317"
"Dec 07, 2022",$0.0006745,$0.0006847,$0.0006617,$0.0006695,"$16,153","$1,810,039"
"Dec 06, 2022",$0.0006635,$0.0006769,$0.0006611,$0.0006739,"$15,395","$1,821,948"
"Dec 05, 2022",$0.0006775,$0.00069,$0.0006579,$0.0006635,"$9,087","$1,793,714"
"Dec 04, 2022",$0.0006807,$0.0006868,$0.0006677,$0.0006793,"$5,622","$1,836,421"
"Dec 03, 2022",$0.0006954,$0.0006969,$0.0006806,$0.0006826,"$11,217","$1,845,293"
"Dec 02, 2022",$0.0006945,$0.0006976,$0.0006791,$0.0006957,"$4,650","$1,880,882"
"Dec 01, 2022",$0.0007167,$0.0007193,$0.000689,$0.0006945,"$4,921","$1,877,517"
"Nov 30, 2022",$0.0007101,$0.0007326,$0.0007024,$0.0007167,"$8,514","$1,937,706"
"Nov 29, 2022",$0.0007124,$0.0007322,$0.0007045,$0.0007119,"$12,604","$1,924,592"
"Nov 28, 2022",$0.0007457,$0.0007516,$0.0007074,$0.0007122,"$16,431","$1,925,451"
"Nov 27, 2022",$0.0007604,$0.0007763,$0.0007457,$0.0007457,"$14,325","$2,015,907"
"Nov 26, 2022",$0.0007343,$0.0007756,$0.0007329,$0.0007608,"$13,140","$2,056,731"
"Nov 25, 2022",$0.00072,$0.0007426,$0.0007095,$0.0007336,"$16,293","$1,983,315"
"Nov 24, 2022",$0.0007109,$0.0007236,$0.0007024,$0.00072,"$15,278","$1,946,411"
"Nov 23, 2022",$0.0006931,$0.0007353,$0.0006771,$0.0007114,"$34,118","$1,923,222"
"Nov 22, 2022",$0.0006696,$0.0006973,$0.0006656,$0.0006952,"$25,051","$1,879,406"
"Nov 21, 2022",$0.0006918,$0.0006918,$0.0006603,$0.0006693,"$38,055","$1,809,298"
"Nov 20, 2022",$0.0007054,$0.0007186,$0.0006881,$0.0006924,"$40,384","$1,871,804"
"Nov 19, 2022",$0.0007055,$0.0007135,$0.0006907,$0.0007054,"$35,158","$1,907,136"
"Nov 18, 2022",$0.0006773,$0.0007104,$0.0006764,$0.0007055,"$20,688","$1,907,315"
"Nov 17, 2022",$0.0006885,$0.0006916,$0.0006646,$0.0006769,"$19,327","$1,829,976"
"Nov 16, 2022",$0.0006825,$0.0006932,$0.000667,$0.0006888,"$21,699","$1,862,103"
"Nov 15, 2022",$0.0007116,$0.0007195,$0.0006714,$0.0006824,"$33,324","$1,844,720"
"Nov 14, 2022",$0.0007068,$0.0007407,$0.0006821,$0.0007093,"$24,445","$1,917,456"
