Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$1.27,$1.27,$1.24,$1.26,"$342,315","$11,793,000"
"Dec 30, 2022",$1.29,$1.30,$1.25,$1.27,"$310,868","$11,897,118"
"Dec 29, 2022",$1.21,$1.31,$1.21,$1.29,"$439,752","$12,100,445"
"Dec 28, 2022",$1.23,$1.24,$1.21,$1.21,"$316,155","$11,404,918"
"Dec 27, 2022",$1.23,$1.25,$1.22,$1.23,"$291,061","$11,530,892"
"Dec 26, 2022",$1.18,$1.23,$1.18,$1.23,"$373,837","$11,536,226"
"Dec 25, 2022",$1.19,$1.20,$1.17,$1.18,"$221,649","$11,046,237"
"Dec 24, 2022",$1.19,$1.20,$1.18,$1.19,"$254,928","$11,187,364"
"Dec 23, 2022",$1.21,$1.22,$1.19,$1.19,"$310,952","$11,201,430"
"Dec 22, 2022",$1.20,$1.22,$1.19,$1.21,"$315,816","$11,382,564"
"Dec 21, 2022",$1.16,$1.20,$1.15,$1.20,"$362,219","$11,254,738"
"Dec 20, 2022",$1.12,$1.17,$1.12,$1.16,"$261,088","$10,895,719"
"Dec 19, 2022",$1.21,$1.21,$1.12,$1.12,"$352,469","$10,516,065"
"Dec 18, 2022",$1.21,$1.21,$1.20,$1.21,"$276,619","$11,330,764"
"Dec 17, 2022",$1.16,$1.21,$1.16,$1.21,"$327,276","$11,358,047"
"Dec 16, 2022",$1.30,$1.33,$1.15,$1.16,"$443,017","$10,879,272"
"Dec 15, 2022",$1.35,$1.35,$1.29,$1.30,"$416,006","$12,198,725"
"Dec 14, 2022",$1.39,$1.39,$1.34,$1.35,"$352,305","$12,641,347"
"Dec 13, 2022",$1.32,$1.42,$1.30,$1.39,"$560,085","$13,021,536"
"Dec 12, 2022",$1.33,$1.34,$1.30,$1.32,"$290,316","$12,402,610"
"Dec 11, 2022",$1.37,$1.38,$1.33,$1.34,"$2,230,037","$12,538,420"
"Dec 10, 2022",$1.37,$1.38,$1.34,$1.37,"$268,145","$12,867,615"
"Dec 09, 2022",$1.34,$1.39,$1.33,$1.37,"$344,494","$12,839,248"
"Dec 08, 2022",$1.30,$1.34,$1.29,$1.34,"$337,454","$12,574,671"
"Dec 07, 2022",$1.37,$1.37,$1.28,$1.30,"$347,323","$12,170,721"
"Dec 06, 2022",$1.41,$1.42,$1.36,$1.37,"$493,074","$12,829,390"
"Dec 05, 2022",$1.44,$1.46,$1.39,$1.41,"$972,166","$13,216,348"
"Dec 04, 2022",$1.41,$1.44,$1.40,$1.43,"$871,491","$13,459,814"
"Dec 03, 2022",$1.39,$1.46,$1.38,$1.41,"$988,707","$13,223,608"
"Dec 02, 2022",$1.44,$1.44,$1.38,$1.39,"$785,311","$13,043,043"
"Dec 01, 2022",$1.41,$1.46,$1.35,$1.44,"$1,245,609","$13,491,617"
"Nov 30, 2022",$1.43,$1.61,$1.41,$1.41,"$2,025,284","$13,245,832"
"Nov 29, 2022",$1.34,$1.44,$1.31,$1.43,"$957,767","$13,388,338"
"Nov 28, 2022",$1.27,$1.34,$1.22,$1.33,"$914,316","$12,514,034"
"Nov 27, 2022",$1.24,$1.29,$1.24,$1.27,"$707,523","$11,888,469"
"Nov 26, 2022",$1.22,$1.26,$1.22,$1.24,"$740,451","$11,650,442"
"Nov 25, 2022",$1.23,$1.23,$1.19,$1.22,"$665,235","$11,464,759"
"Nov 24, 2022",$1.23,$1.26,$1.22,$1.23,"$743,615","$11,579,429"
"Nov 23, 2022",$1.19,$1.25,$1.18,$1.23,"$839,385","$11,548,443"
"Nov 22, 2022",$1.14,$1.19,$1.12,$1.19,"$734,387","$11,137,180"
"Nov 21, 2022",$1.11,$1.14,$1.08,$1.14,"$833,412","$10,710,829"
"Nov 20, 2022",$1.15,$1.16,$1.11,$1.11,"$827,986","$10,412,443"
"Nov 19, 2022",$1.12,$1.16,$1.10,$1.15,"$707,509","$10,803,030"
"Nov 18, 2022",$1.11,$1.13,$1.09,$1.12,"$631,703","$10,493,446"
"Nov 17, 2022",$1.10,$1.13,$1.09,$1.11,"$715,110","$10,406,371"
"Nov 16, 2022",$1.16,$1.21,$1.10,$1.10,"$690,566","$10,368,757"
