Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.2155,$0.2196,$0.2076,$0.2097,"$5,079,065","$283,243,503"
"Dec 30, 2022",$0.2068,$0.2191,$0.2059,$0.2158,"$7,902,196","$291,461,174"
"Dec 29, 2022",$0.2112,$0.2121,$0.2053,$0.2069,"$3,450,290","$279,413,349"
"Dec 28, 2022",$0.2223,$0.2227,$0.21,$0.2111,"$4,081,513","$285,044,980"
"Dec 27, 2022",$0.2266,$0.2279,$0.2207,$0.2222,"$2,623,736","$300,034,622"
"Dec 26, 2022",$0.2296,$0.2298,$0.2247,$0.2265,"$2,985,753","$305,868,544"
"Dec 25, 2022",$0.2374,$0.2374,$0.2264,$0.2296,"$4,848,740","$309,971,648"
"Dec 24, 2022",$0.2278,$0.2594,$0.2278,$0.2373,"$24,817,864","$320,420,899"
"Dec 23, 2022",$0.2288,$0.2302,$0.2274,$0.2278,"$2,158,950","$307,504,685"
"Dec 22, 2022",$0.2283,$0.2313,$0.2234,$0.2288,"$3,396,397","$308,897,093"
"Dec 21, 2022",$0.231,$0.2316,$0.2247,$0.2282,"$2,974,695","$308,042,738"
"Dec 20, 2022",$0.2207,$0.2346,$0.2202,$0.231,"$5,072,368","$311,697,745"
"Dec 19, 2022",$0.2359,$0.2366,$0.2189,$0.2206,"$5,800,015","$297,743,109"
"Dec 18, 2022",$0.2389,$0.2391,$0.2321,$0.2358,"$2,977,440","$318,088,308"
"Dec 17, 2022",$0.2408,$0.2433,$0.2239,$0.2389,"$8,330,268","$322,332,310"
"Dec 16, 2022",$0.2665,$0.2765,$0.2354,$0.2413,"$20,359,480","$325,445,825"
"Dec 15, 2022",$0.2765,$0.2768,$0.2631,$0.2665,"$10,349,493","$359,424,207"
"Dec 14, 2022",$0.2992,$0.3009,$0.2734,$0.2764,"$23,960,517","$372,811,992"
"Dec 13, 2022",$0.307,$0.3199,$0.2919,$0.2992,"$68,011,270","$403,447,351"
"Dec 12, 2022",$0.2813,$0.3107,$0.2807,$0.3071,"$88,451,956","$414,156,786"
"Dec 11, 2022",$0.2715,$0.3097,$0.2701,$0.281,"$95,747,871","$378,895,504"
"Dec 10, 2022",$0.2655,$0.3612,$0.264,$0.2716,"$113,510,006","$366,102,083"
"Dec 09, 2022",$0.2627,$0.2733,$0.2598,$0.2656,"$10,595,401","$357,985,761"
"Dec 08, 2022",$0.2517,$0.2708,$0.2473,$0.2627,"$15,598,798","$354,098,147"
"Dec 07, 2022",$0.2591,$0.2592,$0.2425,$0.2517,"$8,575,862","$339,146,534"
"Dec 06, 2022",$0.2585,$0.2654,$0.2543,$0.2591,"$10,666,704","$349,133,615"
"Dec 05, 2022",$0.2479,$0.2594,$0.2476,$0.2585,"$9,758,678","$348,278,622"
"Dec 04, 2022",$0.2468,$0.2494,$0.2452,$0.2479,"$3,432,658","$333,916,594"
"Dec 03, 2022",$0.2474,$0.2553,$0.2462,$0.2467,"$6,471,519","$332,399,118"
"Dec 02, 2022",$0.2477,$0.2498,$0.2406,$0.2473,"$5,481,164","$333,119,086"
"Dec 01, 2022",$0.2551,$0.2552,$0.2469,$0.2476,"$4,136,212","$333,463,732"
"Nov 30, 2022",$0.25,$0.2569,$0.2468,$0.2551,"$8,539,662","$343,594,184"
"Nov 29, 2022",$0.2513,$0.2664,$0.2427,$0.2499,"$21,821,724","$336,559,174"
"Nov 28, 2022",$0.2384,$0.3439,$0.2347,$0.2513,"$83,836,488","$338,130,758"
"Nov 27, 2022",$0.2353,$0.2494,$0.2344,$0.2384,"$11,481,766","$320,660,486"
"Nov 26, 2022",$0.2377,$0.2396,$0.2331,$0.2352,"$4,484,159","$316,351,966"
"Nov 25, 2022",$0.2319,$0.2521,$0.2308,$0.2381,"$19,199,798","$320,210,191"
"Nov 24, 2022",$0.2327,$0.2362,$0.227,$0.2319,"$4,060,638","$311,858,688"
"Nov 23, 2022",$0.2243,$0.2326,$0.2232,$0.2326,"$4,638,286","$312,781,141"
"Nov 22, 2022",$0.2176,$0.2245,$0.2108,$0.2241,"$5,480,651","$301,413,416"
"Nov 21, 2022",$0.2224,$0.2314,$0.2095,$0.2165,"$9,254,669","$291,084,943"
"Nov 20, 2022",$0.2358,$0.2406,$0.2201,$0.2224,"$12,430,967","$298,992,892"
"Nov 19, 2022",$0.2402,$0.2409,$0.2339,$0.2361,"$5,367,511","$317,377,195"
"Nov 18, 2022",$0.2297,$0.2608,$0.2297,$0.2414,"$31,667,021","$324,470,312"
"Nov 17, 2022",$0.237,$0.2372,$0.2247,$0.2297,"$4,812,312","$308,770,475"
"Nov 16, 2022",$0.2434,$0.2717,$0.2326,$0.2369,"$31,353,610","$318,473,039"
"Nov 15, 2022",$0.22,$0.3297,$0.2158,$0.2435,"$84,327,793","$327,199,570"
"Nov 14, 2022",$0.2173,$0.221,$0.2005,$0.22,"$6,141,555","$295,596,686"
"Nov 13, 2022",$0.233,$0.2337,$0.2146,$0.2173,"$6,288,796","$292,012,749"
"Nov 12, 2022",$0.2299,$0.2464,$0.2254,$0.2329,"$12,369,742","$312,923,224"
"Nov 11, 2022",$0.2477,$0.2493,$0.2214,$0.23,"$7,922,885","$308,959,027"
"Nov 10, 2022",$0.2139,$0.2514,$0.2137,$0.2476,"$9,614,603","$332,638,945"
"Nov 09, 2022",$0.2763,$0.2763,$0.212,$0.2137,"$15,547,777","$287,017,937"
"Nov 08, 2022",$0.3164,$0.3192,$0.2664,$0.2763,"$14,810,252","$371,071,736"
"Nov 07, 2022",$0.3187,$0.3216,$0.3128,$0.3165,"$9,175,908","$424,979,294"
"Nov 06, 2022",$0.336,$0.3366,$0.3182,$0.3188,"$8,013,787","$428,060,635"
"Nov 05, 2022",$0.3345,$0.3426,$0.3324,$0.3359,"$12,134,706","$451,074,888"
"Nov 04, 2022",$0.3156,$0.3379,$0.3151,$0.3346,"$16,659,686","$449,170,114"
"Nov 03, 2022",$0.3049,$0.3249,$0.3047,$0.3155,"$17,815,620","$423,532,719"
"Nov 02, 2022",$0.3155,$0.3161,$0.3031,$0.3049,"$11,286,256","$409,279,956"
"Nov 01, 2022",$0.3184,$0.3212,$0.3134,$0.3155,"$8,242,275","$423,409,341"
"Oct 31, 2022",$0.3167,$0.3203,$0.3134,$0.3185,"$7,446,199","$427,368,302"
"Oct 30, 2022",$0.3185,$0.3254,$0.3148,$0.3167,"$6,092,749","$424,909,200"
"Oct 29, 2022",$0.3146,$0.3224,$0.3137,$0.3185,"$7,452,278","$427,326,465"
"Oct 28, 2022",$0.3077,$0.3169,$0.2971,$0.3145,"$11,564,370","$421,960,701"
"Oct 27, 2022",$0.3176,$0.3212,$0.3062,$0.3077,"$8,477,498","$412,767,823"
"Oct 26, 2022",$0.3108,$0.3186,$0.3094,$0.3176,"$9,364,344","$425,969,885"
"Oct 25, 2022",$0.3015,$0.3164,$0.3006,$0.3109,"$13,532,399","$416,937,562"
"Oct 24, 2022",$0.3051,$0.3065,$0.2967,$0.3014,"$7,166,709","$403,895,932"
"Oct 23, 2022",$0.3012,$0.3063,$0.2961,$0.3051,"$7,353,874","$408,796,026"
"Oct 22, 2022",$0.2981,$0.307,$0.2956,$0.3012,"$12,157,746","$403,484,114"
"Oct 21, 2022",$0.2993,$0.2994,$0.2881,$0.2981,"$8,684,274","$399,306,695"
"Oct 20, 2022",$0.2943,$0.3148,$0.2919,$0.2993,"$17,551,984","$400,910,862"
"Oct 19, 2022",$0.3049,$0.3057,$0.2942,$0.2942,"$6,945,014","$394,015,252"
"Oct 18, 2022",$0.3089,$0.3122,$0.3002,$0.3049,"$10,287,143","$408,364,326"
"Oct 17, 2022",$0.301,$0.3142,$0.2988,$0.3089,"$13,637,040","$413,646,337"
"Oct 16, 2022",$0.2979,$0.3036,$0.2979,$0.301,"$3,557,901","$403,038,177"
"Oct 15, 2022",$0.2997,$0.3009,$0.2961,$0.2981,"$3,621,671","$399,127,835"
"Oct 14, 2022",$0.3009,$0.3102,$0.2986,$0.2997,"$8,029,382","$401,152,913"
"Oct 13, 2022",$0.311,$0.311,$0.2864,$0.3009,"$12,412,151","$402,751,229"
"Oct 12, 2022",$0.3126,$0.3138,$0.3095,$0.311,"$4,987,741","$416,216,224"
"Oct 11, 2022",$0.3204,$0.3204,$0.3095,$0.3125,"$11,440,882","$418,204,470"
"Oct 10, 2022",$0.3382,$0.3385,$0.3205,$0.3205,"$8,292,870","$428,930,198"
"Oct 09, 2022",$0.3273,$0.3397,$0.327,$0.3376,"$19,064,580","$451,698,228"
"Oct 08, 2022",$0.3259,$0.3414,$0.3252,$0.3273,"$16,363,803","$437,908,074"
"Oct 07, 2022",$0.3237,$0.3321,$0.3186,$0.3259,"$12,483,488","$435,948,851"
"Oct 06, 2022",$0.3268,$0.3304,$0.3221,$0.3237,"$7,827,700","$432,958,859"
"Oct 05, 2022",$0.3298,$0.3313,$0.321,$0.327,"$9,243,405","$437,304,985"
"Oct 04, 2022",$0.3217,$0.3301,$0.3202,$0.3298,"$8,923,404","$441,083,463"
"Oct 03, 2022",$0.3171,$0.3232,$0.3146,$0.3217,"$10,992,174","$430,170,931"
"Oct 02, 2022",$0.3232,$0.3245,$0.3161,$0.3171,"$5,661,467","$423,999,647"
"Oct 01, 2022",$0.3244,$0.3257,$0.3207,$0.3232,"$5,086,847","$432,091,484"
"Sep 30, 2022",$0.3285,$0.3314,$0.3218,$0.3243,"$10,186,250","$433,487,009"
"Sep 29, 2022",$0.3257,$0.3343,$0.3192,$0.3284,"$15,187,878","$438,941,319"
"Sep 28, 2022",$0.3299,$0.3334,$0.3153,$0.3259,"$13,125,201","$435,558,484"
"Sep 27, 2022",$0.3276,$0.3383,$0.3209,$0.3299,"$12,335,453","$440,892,595"
"Sep 26, 2022",$0.3268,$0.3286,$0.3182,$0.3275,"$9,910,263","$437,615,707"
"Sep 25, 2022",$0.3322,$0.3352,$0.3235,$0.3267,"$7,563,982","$436,524,027"
"Sep 24, 2022",$0.3381,$0.34,$0.3301,$0.3323,"$5,577,777","$443,911,161"
"Sep 23, 2022",$0.3375,$0.3437,$0.3244,$0.3381,"$12,279,134","$451,622,654"
"Sep 22, 2022",$0.3224,$0.3388,$0.3196,$0.3376,"$9,760,113","$450,884,665"
"Sep 21, 2022",$0.3358,$0.341,$0.32,$0.3225,"$12,713,926","$430,712,122"
"Sep 20, 2022",$0.3309,$0.3517,$0.3262,$0.3355,"$25,864,454","$447,737,108"
"Sep 19, 2022",$0.3277,$0.3366,$0.316,$0.3311,"$12,192,855","$441,755,262"
"Sep 18, 2022",$0.3566,$0.3566,$0.326,$0.3277,"$9,520,401","$437,165,361"
"Sep 17, 2022",$0.3484,$0.3581,$0.3478,$0.3567,"$6,306,972","$475,768,296"
"Sep 16, 2022",$0.3432,$0.3545,$0.3415,$0.3483,"$9,107,435","$464,529,789"
"Sep 15, 2022",$0.353,$0.3534,$0.3416,$0.3432,"$6,543,868","$457,792,729"
"Sep 14, 2022",$0.3497,$0.3552,$0.3451,$0.353,"$7,102,560","$470,749,221"
