Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.2729,$0.2757,$0.2684,$0.2698,"$969,595","$2,738,712"
"Dec 30, 2022",$0.2732,$0.2823,$0.2675,$0.2729,"$980,556","$2,769,792"
"Dec 29, 2022",$0.2669,$0.2784,$0.2637,$0.2733,"$971,378","$2,773,698"
"Dec 28, 2022",$0.3033,$0.3035,$0.2566,$0.2669,"$1,156,815","$2,708,739"
"Dec 27, 2022",$0.3584,$0.3586,$0.302,$0.3033,"$1,072,351","$3,077,957"
"Dec 26, 2022",$0.2582,$0.3988,$0.2577,$0.3581,"$1,938,985","$3,634,628"
"Dec 25, 2022",$0.2653,$0.2695,$0.2571,$0.2582,"$959,924","$2,620,119"
"Dec 24, 2022",$0.2683,$0.2716,$0.2648,$0.2654,"$858,219","$2,693,737"
"Dec 23, 2022",$0.2777,$0.2785,$0.2676,$0.2684,"$916,558","$2,723,747"
"Dec 22, 2022",$0.2837,$0.2839,$0.2771,$0.2777,"$908,656","$2,818,768"
"Dec 21, 2022",$0.2851,$0.2904,$0.2835,$0.2837,"$922,454","$2,879,564"
"Dec 20, 2022",$0.2821,$0.2925,$0.282,$0.2851,"$892,469","$2,893,057"
"Dec 19, 2022",$0.291,$0.292,$0.2818,$0.2821,"$923,952","$2,863,092"
"Dec 18, 2022",$0.2963,$0.2968,$0.2907,$0.291,"$674,996","$2,953,714"
"Dec 17, 2022",$0.2975,$0.2987,$0.2946,$0.2965,"$963,675","$3,009,613"
"Dec 16, 2022",$0.3134,$0.3145,$0.2972,$0.2978,"$977,816","$3,021,973"
"Dec 15, 2022",$0.3196,$0.3208,$0.3126,$0.3133,"$896,359","$3,179,793"
"Dec 14, 2022",$0.3239,$0.3262,$0.3196,$0.3196,"$925,809","$3,243,876"
"Dec 13, 2022",$0.3217,$0.3245,$0.3199,$0.324,"$866,456","$3,287,921"
"Dec 12, 2022",$0.328,$0.3306,$0.321,$0.3216,"$681,938","$3,263,778"
"Dec 11, 2022",$0.3285,$0.3309,$0.3272,$0.3281,"$323,538","$3,329,648"
"Dec 10, 2022",$0.3146,$0.3311,$0.3142,$0.3285,"$299,469","$3,334,178"
"Dec 09, 2022",$0.3226,$0.3235,$0.3145,$0.3149,"$291,635","$3,195,730"
