Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.2526,$0.2534,$0.2481,$0.2482,"$1,572,830","$15,004,274"
"Dec 30, 2022",$0.2477,$0.2526,$0.2437,$0.2524,"$1,430,526","$15,261,077"
"Dec 29, 2022",$0.2484,$0.2499,$0.2441,$0.2477,"$1,120,112","$14,975,659"
"Dec 28, 2022",$0.2586,$0.2627,$0.246,$0.2485,"$1,849,331","$15,020,614"
"Dec 27, 2022",$0.2527,$0.2613,$0.2486,$0.2587,"$2,857,447","$15,637,626"
"Dec 26, 2022",$0.2435,$0.2775,$0.2423,$0.2528,"$5,127,966","$15,280,843"
"Dec 25, 2022",$0.2513,$0.2534,$0.2421,$0.2437,"$1,342,386","$14,729,302"
"Dec 24, 2022",$0.2867,$0.2936,$0.2502,$0.2513,"$7,535,961","$15,193,254"
"Dec 23, 2022",$0.238,$0.2976,$0.2379,$0.2836,"$6,796,689","$17,146,316"
"Dec 22, 2022",$0.2384,$0.2403,$0.2338,$0.238,"$828,458","$14,387,886"
"Dec 21, 2022",$0.2449,$0.2452,$0.2365,$0.2382,"$998,744","$14,400,094"
"Dec 20, 2022",$0.235,$0.2454,$0.2335,$0.244,"$911,912","$14,748,277"
"Dec 19, 2022",$0.2492,$0.2497,$0.2346,$0.235,"$1,053,416","$14,207,512"
"Dec 18, 2022",$0.2492,$0.2523,$0.2446,$0.2492,"$1,209,229","$15,061,965"
"Dec 17, 2022",$0.2486,$0.2504,$0.2401,$0.2491,"$1,663,445","$15,059,309"
"Dec 16, 2022",$0.2825,$0.2852,$0.2466,$0.2486,"$1,770,631","$15,026,257"
"Dec 15, 2022",$0.2911,$0.2911,$0.2813,$0.2816,"$894,392","$17,021,851"
"Dec 14, 2022",$0.2896,$0.2921,$0.2881,$0.2901,"$945,070","$17,538,859"
"Dec 13, 2022",$0.2927,$0.2928,$0.2802,$0.2896,"$1,983,264","$17,507,863"
"Dec 12, 2022",$0.3019,$0.3019,$0.2884,$0.2925,"$1,083,658","$17,682,544"
"Dec 11, 2022",$0.3035,$0.3059,$0.3014,$0.3019,"$1,921,574","$18,249,145"
