Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.101,$0.1019,$0.09841,$0.09915,"$3,139","$1,084,794"
"Dec 30, 2022",$0.09911,$0.101,$0.09512,$0.1003,"$2,956","$1,096,562"
"Dec 29, 2022",$0.09938,$0.1032,$0.09743,$0.09911,"$1,869","$1,083,310"
"Dec 28, 2022",$0.1051,$0.1072,$0.0971,$0.09938,"$3,117","$1,085,731"
"Dec 27, 2022",$0.1083,$0.1083,$0.102,$0.1051,"$2,309","$1,147,782"
"Dec 26, 2022",$0.1081,$0.1084,$0.1059,$0.1083,"$1,471","$1,181,824"
"Dec 25, 2022",$0.11,$0.11,$0.1068,$0.1081,"$1,997","$1,178,948"
"Dec 24, 2022",$0.1059,$0.1117,$0.1033,$0.11,"$1,930","$1,200,059"
"Dec 23, 2022",$0.1135,$0.118,$0.1057,$0.1059,"$1,763","$1,154,844"
"Dec 22, 2022",$0.1084,$0.1147,$0.1065,$0.1135,"$5,091","$1,236,330"
"Dec 21, 2022",$0.1024,$0.1132,$0.09987,$0.1084,"$5,005","$1,180,039"
"Dec 20, 2022",$0.09843,$0.1055,$0.09743,$0.1024,"$2,694","$1,114,493"
"Dec 19, 2022",$0.1103,$0.1105,$0.09832,$0.09842,"$2,327","$1,070,863"
"Dec 18, 2022",$0.1061,$0.1103,$0.103,$0.1103,"$1,622","$1,199,731"
"Dec 17, 2022",$0.1029,$0.1061,$0.1003,$0.1061,"$2,068","$1,153,008"
"Dec 16, 2022",$0.1073,$0.1092,$0.1022,$0.1029,"$1,808","$1,118,390"
"Dec 15, 2022",$0.1131,$0.1136,$0.1071,$0.1073,"$1,709","$1,165,056"
"Dec 14, 2022",$0.1123,$0.1168,$0.1099,$0.1131,"$2,061","$1,227,907"
"Dec 13, 2022",$0.1118,$0.1165,$0.1098,$0.1123,"$1,307","$1,218,907"
"Dec 12, 2022",$0.1126,$0.1128,$0.1093,$0.1118,"$3,063","$1,212,111"
"Dec 11, 2022",$0.1119,$0.1156,$0.1112,$0.1126,"$3,204","$1,220,922"
"Dec 10, 2022",$0.1235,$0.1243,$0.1116,$0.1119,"$1,555","$1,212,935"
"Dec 09, 2022",$0.1333,$0.1333,$0.1144,$0.1235,"$1,372","$1,337,935"
"Dec 08, 2022",$0.1296,$0.1334,$0.1174,$0.1333,"$4,590","$1,442,717"
"Dec 07, 2022",$0.1178,$0.1303,$0.1138,$0.1296,"$6,232","$1,402,643"
"Dec 06, 2022",$0.12,$0.1259,$0.1146,$0.1178,"$2,634","$1,273,782"
"Dec 05, 2022",$0.1289,$0.1376,$0.1179,$0.12,"$1,473","$1,297,035"
"Dec 04, 2022",$0.126,$0.1339,$0.121,$0.1289,"$5,973","$1,393,352"
"Dec 03, 2022",$0.1411,$0.1413,$0.1237,$0.126,"$10,732","$1,360,778"
"Dec 02, 2022",$0.1407,$0.15,$0.1327,$0.1411,"$6,460","$1,523,103"
"Dec 01, 2022",$0.1417,$0.1573,$0.1382,$0.1407,"$1,226","$1,518,222"
"Nov 30, 2022",$0.1398,$0.1574,$0.1374,$0.1417,"$1,735","$1,528,812"
"Nov 29, 2022",$0.1432,$0.1481,$0.1343,$0.1398,"$1,528","$1,507,028"
"Nov 28, 2022",$0.1435,$0.15,$0.1333,$0.1432,"$1,429","$1,543,507"
"Nov 27, 2022",$0.1512,$0.154,$0.1331,$0.1436,"$4,844","$1,546,236"
"Nov 26, 2022",$0.1462,$0.159,$0.1338,$0.1512,"$5,582","$1,627,579"
"Nov 25, 2022",$0.1465,$0.1501,$0.1332,$0.1462,"$3,474","$1,573,646"
"Nov 24, 2022",$0.1362,$0.1539,$0.1324,$0.1465,"$3,055","$1,576,154"
"Nov 23, 2022",$0.1452,$0.1568,$0.1317,$0.1362,"$2,329","$1,464,082"
"Nov 22, 2022",$0.141,$0.1484,$0.1335,$0.1452,"$2,588","$1,560,269"
"Nov 21, 2022",$0.1435,$0.1456,$0.1313,$0.141,"$2,974","$1,514,889"
"Nov 20, 2022",$0.1572,$0.1598,$0.1384,$0.1435,"$19,615","$1,539,706"
"Nov 19, 2022",$0.1848,$0.1879,$0.1394,$0.1572,"$22,218","$1,686,229"
"Nov 18, 2022",$0.1857,$0.1906,$0.1783,$0.1848,"$4,621","$1,982,113"
"Nov 17, 2022",$0.1833,$0.1868,$0.176,$0.1857,"$1,512","$1,991,064"
"Nov 16, 2022",$0.1897,$0.1945,$0.1786,$0.1833,"$1,733","$1,964,265"
"Nov 15, 2022",$0.192,$0.1996,$0.1872,$0.1897,"$3,183","$2,032,181"
"Nov 14, 2022",$0.1919,$0.1953,$0.1781,$0.192,"$2,644","$2,056,129"
"Nov 13, 2022",$0.1969,$0.1993,$0.18,$0.1919,"$2,390","$2,053,483"
"Nov 12, 2022",$0.2099,$0.2101,$0.1903,$0.1969,"$2,571","$2,105,989"
"Nov 11, 2022",$0.2034,$0.2101,$0.1925,$0.2099,"$3,240","$2,244,355"
"Nov 10, 2022",$0.1932,$0.2187,$0.1903,$0.2034,"$3,943","$2,174,096"
"Nov 09, 2022",$0.2268,$0.232,$0.183,$0.1932,"$2,402","$2,064,139"
"Nov 08, 2022",$0.2226,$0.2501,$0.199,$0.2268,"$2,947","$2,421,244"
