Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.0712,$0.07139,$0.06769,$0.06853,"$8,163","$1,295,708"
"Dec 30, 2022",$0.0718,$0.07196,$0.06992,$0.07108,"$2,420","$1,343,932"
"Dec 29, 2022",$0.07381,$0.07531,$0.07125,$0.0718,"$4,043","$1,357,565"
"Dec 28, 2022",$0.07415,$0.07454,$0.07262,$0.07381,"$2,071","$1,395,527"
"Dec 27, 2022",$0.07411,$0.07511,$0.07365,$0.07406,"$1,561","$1,400,274"
"Dec 26, 2022",$0.07515,$0.07532,$0.07392,$0.07446,$473,"$1,407,888"
"Dec 25, 2022",$0.07518,$0.0779,$0.07447,$0.0752,$671,"$1,421,894"
"Dec 24, 2022",$0.07567,$0.07616,$0.07497,$0.07518,$112,"$1,421,613"
"Dec 23, 2022",$0.07607,$0.07844,$0.07521,$0.07566,"$3,095","$1,430,680"
"Dec 22, 2022",$0.07609,$0.07716,$0.07356,$0.07609,"$2,247","$1,438,637"
"Dec 21, 2022",$0.07703,$0.07792,$0.07507,$0.07601,"$1,764","$1,437,177"
"Dec 20, 2022",$0.07481,$0.07837,$0.07452,$0.07703,$710,"$1,456,435"
"Dec 19, 2022",$0.07884,$0.07953,$0.07389,$0.07481,$511,"$1,414,484"
"Dec 18, 2022",$0.07552,$0.07969,$0.07414,$0.07884,"$1,865","$1,490,678"
"Dec 17, 2022",$0.07212,$0.07588,$0.06914,$0.07561,"$2,922","$1,429,583"
"Dec 16, 2022",$0.07892,$0.08131,$0.07087,$0.07228,"$5,756","$1,366,595"
"Dec 15, 2022",$0.07905,$0.08109,$0.07704,$0.0789,"$5,116","$1,491,828"
"Dec 14, 2022",$0.08287,$0.08451,$0.07775,$0.07912,"$10,282","$1,496,054"
"Dec 13, 2022",$0.08254,$0.08465,$0.07827,$0.08278,"$3,460","$1,565,144"
"Dec 12, 2022",$0.08814,$0.08928,$0.0822,$0.08266,"$9,567","$1,563,024"
"Dec 11, 2022",$0.09149,$0.09208,$0.08704,$0.08814,"$6,452","$1,666,604"
"Dec 10, 2022",$0.09237,$0.09297,$0.091,$0.09149,"$2,045","$1,729,963"
"Dec 09, 2022",$0.0944,$0.095,$0.09196,$0.09237,"$1,156","$1,746,547"
"Dec 08, 2022",$0.09277,$0.09502,$0.08988,$0.0944,"$2,080","$1,785,018"
"Dec 07, 2022",$0.09465,$0.09511,$0.08942,$0.09277,"$3,071","$1,754,201"
"Dec 06, 2022",$0.09488,$0.09577,$0.09203,$0.09457,"$5,178","$1,788,158"
"Dec 05, 2022",$0.09591,$0.09854,$0.09328,$0.09488,"$4,966","$1,794,074"
"Dec 04, 2022",$0.09512,$0.1051,$0.09359,$0.09617,"$16,965","$1,818,465"
"Dec 03, 2022",$0.09476,$0.09835,$0.09213,$0.09538,"$10,301","$1,803,391"
"Dec 02, 2022",$0.09544,$0.09764,$0.0928,$0.09479,"$6,365","$1,792,274"
"Dec 01, 2022",$0.09789,$0.09794,$0.09378,$0.09545,"$1,732","$1,804,775"
"Nov 30, 2022",$0.09485,$0.09859,$0.09485,$0.09789,"$1,814","$1,851,006"
"Nov 29, 2022",$0.09378,$0.09756,$0.0918,$0.09485,"$2,964","$1,793,418"
"Nov 28, 2022",$0.09808,$0.09918,$0.09346,$0.09376,"$3,585","$1,772,818"
"Nov 27, 2022",$0.09983,$0.1026,$0.09808,$0.09808,"$2,225","$1,854,527"
"Nov 26, 2022",$0.09502,$0.1013,$0.09485,$0.09987,"$4,882","$1,888,296"
"Nov 25, 2022",$0.09614,$0.09835,$0.09441,$0.09493,"$1,963","$1,795,019"
"Nov 24, 2022",$0.09424,$0.09704,$0.09353,$0.09614,"$2,616","$1,817,766"
"Nov 23, 2022",$0.08672,$0.096,$0.08541,$0.09431,"$4,037","$1,783,227"
"Nov 22, 2022",$0.0819,$0.08707,$0.07994,$0.08698,"$3,584","$1,644,566"
"Nov 21, 2022",$0.08327,$0.08351,$0.0806,$0.08186,"$1,812","$1,547,910"
"Nov 20, 2022",$0.08505,$0.08675,$0.08221,$0.08333,"$5,778","$1,575,711"
"Nov 19, 2022",$0.08479,$0.08566,$0.08286,$0.08505,"$6,405","$1,608,068"
"Nov 18, 2022",$0.08277,$0.08686,$0.08254,$0.0848,"$6,648","$1,603,392"
"Nov 17, 2022",$0.08452,$0.0848,$0.08218,$0.08265,"$3,657","$1,562,829"
"Nov 16, 2022",$0.08609,$0.08764,$0.08312,$0.08446,"$2,611","$1,597,030"
"Nov 15, 2022",$0.0882,$0.089,$0.08543,$0.08606,"$3,542","$1,627,333"
"Nov 14, 2022",$0.09247,$0.09629,$0.08629,$0.08791,"$11,333","$1,662,273"
"Nov 13, 2022",$0.09578,$0.09697,$0.0922,$0.0924,"$3,785","$1,747,184"
"Nov 12, 2022",$0.09818,$0.1174,$0.09318,$0.09581,"$3,372","$1,811,590"
"Nov 11, 2022",$0.1046,$0.105,$0.09599,$0.09797,"$6,333","$1,852,474"
"Nov 10, 2022",$0.09052,$0.1057,$0.09016,$0.1048,"$7,823","$1,980,729"
"Nov 09, 2022",$0.1103,$0.111,$0.08897,$0.09074,"$5,795","$1,715,660"
"Nov 08, 2022",$0.1168,$0.1306,$0.1021,$0.1103,"$9,179","$2,085,317"
"Nov 07, 2022",$0.1179,$0.1194,$0.1138,$0.1168,"$5,470","$2,207,572"
"Nov 06, 2022",$0.1196,$0.1233,$0.1178,$0.1179,"$1,453","$2,229,679"
"Nov 05, 2022",$0.1138,$0.1254,$0.1132,$0.1198,"$12,179","$2,264,389"
"Nov 04, 2022",$0.1013,$0.1138,$0.1012,$0.1136,"$7,098","$2,147,217"
"Nov 03, 2022",$0.09708,$0.1044,$0.09657,$0.1018,"$1,882","$1,924,638"
"Nov 02, 2022",$0.09947,$0.1017,$0.09618,$0.09708,"$5,758","$1,835,621"
"Nov 01, 2022",$0.09748,$0.1021,$0.09687,$0.09947,"$3,481","$1,880,797"
"Oct 31, 2022",$0.09741,$0.1014,$0.09531,$0.09748,"$4,172","$1,843,206"
"Oct 30, 2022",$0.0958,$0.1018,$0.09511,$0.09741,"$10,779","$1,841,810"
"Oct 29, 2022",$0.08031,$0.09632,$0.07975,$0.0958,"$12,151","$1,811,404"
"Oct 28, 2022",$0.06782,$0.08094,$0.06721,$0.08031,"$7,282","$1,518,444"
"Oct 27, 2022",$0.05632,$0.06805,$0.05527,$0.06782,"$18,053","$1,282,310"
"Oct 26, 2022",$0.05541,$0.05681,$0.05484,$0.05632,"$2,768","$1,064,997"
"Oct 25, 2022",$0.05149,$0.05596,$0.05073,$0.05537,$603,"$1,046,991"
"Oct 24, 2022",$0.05284,$0.05292,$0.05012,$0.05149,$801,"$973,594"
"Oct 23, 2022",$0.04968,$0.0533,$0.04829,$0.05284,$726,"$999,077"
"Oct 22, 2022",$0.04818,$0.05229,$0.04428,$0.04968,"$2,010","$939,335"
"Oct 21, 2022",$0.04827,$0.05286,$0.0464,$0.04818,"$1,949","$911,033"
"Oct 20, 2022",$0.04941,$0.05041,$0.04579,$0.0482,"$2,184","$911,294"
"Oct 19, 2022",$0.05176,$0.05218,$0.04824,$0.04942,$351,"$934,505"
"Oct 18, 2022",$0.05107,$0.05395,$0.04925,$0.05176,"$1,643","$978,766"
"Oct 17, 2022",$0.05277,$0.05344,$0.04996,$0.05107,"$5,394","$965,710"
"Oct 16, 2022",$0.05227,$0.05392,$0.05087,$0.05273,"$3,584","$997,103"
"Oct 15, 2022",$0.05226,$0.05295,$0.05122,$0.05232,"$2,314","$989,265"
"Oct 14, 2022",$0.05026,$0.05288,$0.05011,$0.05226,"$5,580","$988,104"
"Oct 13, 2022",$0.05126,$0.05168,$0.0486,$0.05026,"$2,256","$950,300"
"Oct 12, 2022",$0.05303,$0.05568,$0.0505,$0.05126,"$6,847","$969,214"
"Oct 11, 2022",$0.05384,$0.05562,$0.05223,$0.05303,"$2,047","$1,002,703"
"Oct 10, 2022",$0.05743,$0.05826,$0.05372,$0.05384,"$2,571","$1,017,933"
"Oct 09, 2022",$0.0564,$0.05791,$0.05526,$0.05744,"$1,861","$1,086,095"
"Oct 08, 2022",$0.05653,$0.05708,$0.05536,$0.05641,"$3,463","$1,066,679"
"Oct 07, 2022",$0.05675,$0.05867,$0.05564,$0.05639,"$1,537","$1,066,182"
"Oct 06, 2022",$0.05855,$0.06025,$0.05579,$0.05675,"$2,276","$1,073,007"
"Oct 05, 2022",$0.06021,$0.06045,$0.05813,$0.05864,"$4,746","$1,108,853"
"Oct 04, 2022",$0.05693,$0.06033,$0.05686,$0.06022,"$5,897","$1,138,704"
"Oct 03, 2022",$0.05642,$0.05808,$0.05628,$0.05694,"$2,723","$1,076,575"
"Oct 02, 2022",$0.05691,$0.05789,$0.05457,$0.05644,"$8,500","$1,067,113"
"Oct 01, 2022",$0.05669,$0.05756,$0.05483,$0.05691,"$3,484","$1,076,079"
"Sep 30, 2022",$0.0573,$0.05811,$0.05591,$0.0567,"$1,947","$1,072,035"
"Sep 29, 2022",$0.05674,$0.05784,$0.05636,$0.05748,"$1,952","$1,086,808"
