Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.01851,$0.01889,$0.01847,$0.01863,"$2,550,672","$73,044,770"
"Dec 30, 2022",$0.01876,$0.01884,$0.01831,$0.01851,"$1,791,734","$72,581,478"
"Dec 29, 2022",$0.01881,$0.01901,$0.01852,$0.01876,"$2,120,777","$73,566,013"
"Dec 28, 2022",$0.01998,$0.01998,$0.01862,$0.01881,"$3,538,898","$73,769,742"
"Dec 27, 2022",$0.02059,$0.02063,$0.0197,$0.01997,"$3,390,272","$78,332,260"
"Dec 26, 2022",$0.02084,$0.02093,$0.02028,$0.02059,"$2,079,815","$80,736,367"
"Dec 25, 2022",$0.02105,$0.02106,$0.02069,$0.02084,"$1,112,209","$81,735,914"
"Dec 24, 2022",$0.02097,$0.0211,$0.02094,$0.02105,"$989,891","$82,549,599"
"Dec 23, 2022",$0.02088,$0.02111,$0.02084,$0.02097,"$1,778,053","$82,229,642"
"Dec 22, 2022",$0.02083,$0.02122,$0.02044,$0.02088,"$2,537,627","$81,886,616"
"Dec 21, 2022",$0.02077,$0.021,$0.02054,$0.02083,"$1,974,719","$81,668,409"
"Dec 20, 2022",$0.01994,$0.02079,$0.01965,$0.02077,"$1,715,455","$81,437,425"
"Dec 19, 2022",$0.02086,$0.02098,$0.0197,$0.01994,"$2,121,413","$78,185,122"
"Dec 18, 2022",$0.02049,$0.02105,$0.02049,$0.02086,"$2,545,974","$81,249,283"
"Dec 17, 2022",$0.02061,$0.02074,$0.01996,$0.02049,"$1,475,910","$79,834,808"
"Dec 16, 2022",$0.02251,$0.02269,$0.02055,$0.02061,"$2,948,401","$80,305,800"
"Dec 15, 2022",$0.02313,$0.02315,$0.02243,$0.02251,"$1,558,316","$87,677,156"
"Dec 14, 2022",$0.02343,$0.02351,$0.02306,$0.02313,"$1,989,698","$80,265,807"
"Dec 13, 2022",$0.0228,$0.02369,$0.02237,$0.02343,"$6,807,718","$81,304,149"
"Dec 12, 2022",$0.02307,$0.02307,$0.02245,$0.0228,"$1,997,254","$79,118,839"
"Dec 11, 2022",$0.02351,$0.02361,$0.02305,$0.02307,"$2,279,932","$80,072,701"
"Dec 10, 2022",$0.02297,$0.02388,$0.02292,$0.0235,"$6,317,100","$81,569,411"
"Dec 09, 2022",$0.02263,$0.02329,$0.02263,$0.02298,"$3,611,455","$79,763,132"
"Dec 08, 2022",$0.02222,$0.02422,$0.02221,$0.02264,"$6,335,154","$78,583,404"
"Dec 07, 2022",$0.02287,$0.02289,$0.02199,$0.02222,"$2,197,828","$77,122,530"
"Dec 06, 2022",$0.02286,$0.02302,$0.02266,$0.02287,"$1,899,950","$79,377,970"
