Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.1417,$0.1605,$0.1415,$0.1457,"$4,698,707","$61,667,426"
"Dec 30, 2022",$0.1451,$0.1451,$0.1401,$0.1417,"$2,548,864","$60,001,724"
"Dec 29, 2022",$0.1462,$0.1465,$0.1413,$0.1451,"$2,851,841","$61,391,176"
"Dec 28, 2022",$0.1536,$0.1537,$0.1458,$0.1462,"$3,216,414","$61,854,362"
"Dec 27, 2022",$0.1576,$0.1578,$0.1531,$0.1537,"$2,578,066","$65,016,223"
"Dec 26, 2022",$0.1598,$0.1598,$0.1553,$0.1576,"$2,524,488","$66,680,737"
"Dec 25, 2022",$0.1634,$0.1634,$0.1587,$0.1597,"$2,609,954","$67,546,487"
"Dec 24, 2022",$0.1591,$0.1696,$0.1591,$0.1633,"$11,843,359","$69,064,826"
"Dec 23, 2022",$0.1571,$0.1596,$0.1569,$0.1591,"$2,210,912","$67,249,115"
"Dec 22, 2022",$0.1592,$0.1599,$0.1553,$0.157,"$2,097,773","$66,370,783"
"Dec 21, 2022",$0.1572,$0.1668,$0.1553,$0.1592,"$5,313,430","$67,257,547"
"Dec 20, 2022",$0.1497,$0.1594,$0.148,$0.1576,"$2,810,097","$66,579,274"
"Dec 19, 2022",$0.1577,$0.1584,$0.1467,$0.1496,"$1,762,285","$63,199,687"
"Dec 18, 2022",$0.1556,$0.1732,$0.1546,$0.1576,"$4,323,393","$66,566,137"
"Dec 17, 2022",$0.1573,$0.1596,$0.1505,$0.1556,"$2,217,362","$65,714,087"
"Dec 16, 2022",$0.172,$0.1736,$0.1554,$0.1571,"$4,836,111","$66,337,727"
"Dec 15, 2022",$0.1778,$0.1778,$0.1716,$0.172,"$8,527,175","$72,606,129"
"Dec 14, 2022",$0.1781,$0.1816,$0.1768,$0.1777,"$6,601,389","$74,993,305"
"Dec 13, 2022",$0.1736,$0.1786,$0.1688,$0.1782,"$8,039,479","$75,180,586"
"Dec 12, 2022",$0.1777,$0.1777,$0.1702,$0.1736,"$7,504,445","$73,231,637"
"Dec 11, 2022",$0.1829,$0.1844,$0.1776,$0.1778,"$6,108,041","$74,997,384"
"Dec 10, 2022",$0.1771,$0.1863,$0.1759,$0.1828,"$11,189,349","$77,103,063"
"Dec 09, 2022",$0.1759,$0.1796,$0.1759,$0.1769,"$7,581,627","$74,591,819"
"Dec 08, 2022",$0.1719,$0.1815,$0.1705,$0.176,"$8,635,015","$74,175,282"
