Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.1006,$0.1103,$0.1004,$0.1011,"$3,874,735","$31,122,460"
"Dec 30, 2022",$0.1033,$0.1036,$0.09943,$0.1005,"$2,485,716","$30,954,132"
"Dec 29, 2022",$0.1032,$0.1094,$0.1014,$0.1032,"$5,570,083","$31,784,900"
"Dec 28, 2022",$0.1174,$0.1198,$0.1015,$0.1032,"$20,223,096","$31,772,052"
"Dec 27, 2022",$0.09845,$0.1281,$0.09551,$0.1174,"$23,566,341","$36,151,792"
"Dec 26, 2022",$0.1,$0.1024,$0.09831,$0.09844,"$5,374,008","$30,306,906"
"Dec 25, 2022",$0.1206,$0.1232,$0.0989,$0.09995,"$22,959,291","$30,771,402"
"Dec 24, 2022",$0.09005,$0.1367,$0.08942,$0.1207,"$25,098,824","$37,169,436"
"Dec 23, 2022",$0.09274,$0.09336,$0.08876,$0.09005,"$2,626,325","$27,723,999"
"Dec 22, 2022",$0.09528,$0.09609,$0.09072,$0.09266,"$1,886,784","$28,525,273"
"Dec 21, 2022",$0.09901,$0.09903,$0.09463,$0.09526,"$1,926,368","$29,326,566"
"Dec 20, 2022",$0.0945,$0.1059,$0.09395,$0.09902,"$4,260,082","$30,485,541"
"Dec 19, 2022",$0.09638,$0.109,$0.09383,$0.09442,"$8,142,595","$29,068,725"
"Dec 18, 2022",$0.0971,$0.09769,$0.09357,$0.09638,"$1,298,319","$29,671,674"
"Dec 17, 2022",$0.09496,$0.09979,$0.09347,$0.0971,"$2,422,855","$29,894,375"
"Dec 16, 2022",$0.1087,$0.1097,$0.09441,$0.09497,"$2,470,971","$29,237,896"
"Dec 15, 2022",$0.1173,$0.1175,$0.1085,$0.1087,"$2,838,694","$33,460,470"
"Dec 14, 2022",$0.1164,$0.1202,$0.1164,$0.1173,"$2,227,405","$11,938,513"
"Dec 13, 2022",$0.1175,$0.1183,$0.1132,$0.1164,"$2,909,438","$11,845,355"
"Dec 12, 2022",$0.1206,$0.1207,$0.116,$0.1175,"$2,108,190","$11,956,962"
"Dec 11, 2022",$0.1235,$0.1238,$0.1203,$0.1206,"$2,465,978","$12,272,939"
"Dec 10, 2022",$0.1224,$0.1313,$0.122,$0.1235,"$6,032,397","$12,569,440"
"Dec 09, 2022",$0.1226,$0.1236,$0.1209,$0.1224,"$2,036,731","$12,451,435"
"Dec 08, 2022",$0.1201,$0.1232,$0.1198,$0.1226,"$2,845,613","$12,479,148"
"Dec 07, 2022",$0.1253,$0.1258,$0.1181,$0.1201,"$2,763,088","$12,220,511"
"Dec 06, 2022",$0.1264,$0.1286,$0.124,$0.1254,"$3,416,220","$12,758,368"
"Dec 05, 2022",$0.1263,$0.1285,$0.1239,$0.1264,"$2,663,405","$12,860,307"
"Dec 04, 2022",$0.126,$0.1304,$0.1245,$0.1264,"$3,437,421","$12,858,287"
"Dec 03, 2022",$0.1285,$0.1291,$0.1254,$0.1263,"$2,921,975","$12,851,380"
"Dec 02, 2022",$0.1281,$0.1331,$0.1267,$0.1285,"$5,053,463","$13,079,732"
"Dec 01, 2022",$0.1255,$0.1401,$0.1241,$0.1281,"$10,652,220","$13,032,470"
"Nov 30, 2022",$0.1184,$0.146,$0.1179,$0.1255,"$20,379,021","$12,774,110"
"Nov 29, 2022",$0.1178,$0.122,$0.1172,$0.1185,"$3,335,469","$12,054,664"
"Nov 28, 2022",$0.1236,$0.1239,$0.1137,$0.1177,"$4,400,100","$11,980,774"
"Nov 27, 2022",$0.1233,$0.1256,$0.121,$0.1237,"$4,166,209","$12,583,793"
"Nov 26, 2022",$0.1234,$0.1268,$0.1195,$0.1234,"$6,361,100","$12,551,862"
"Nov 25, 2022",$0.1312,$0.1327,$0.1227,$0.1234,"$10,639,782","$12,552,207"
"Nov 24, 2022",$0.1237,$0.1751,$0.1225,$0.1312,"$104,904,349","$13,352,822"
