Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.2028,$0.2036,$0.2,$0.2007,"$321,930","$200,696,789"
"Dec 30, 2022",$0.2029,$0.205,$0.1992,$0.2027,"$256,311","$202,654,034"
"Dec 29, 2022",$0.2028,$0.2042,$0.2017,$0.2029,"$230,815","$202,936,264"
"Dec 28, 2022",$0.2062,$0.2068,$0.2019,$0.2028,"$223,939","$202,752,019"
"Dec 27, 2022",$0.2078,$0.2089,$0.2049,$0.2062,"$200,812","$206,226,173"
"Dec 26, 2022",$0.208,$0.2086,$0.2053,$0.2078,"$104,664","$207,846,691"
"Dec 25, 2022",$0.209,$0.2102,$0.2058,$0.2078,"$209,329","$207,804,934"
"Dec 24, 2022",$0.2094,$0.2117,$0.2085,$0.209,"$80,973","$208,985,256"
"Dec 23, 2022",$0.2087,$0.21,$0.2082,$0.2094,"$226,894","$209,416,266"
"Dec 22, 2022",$0.212,$0.2131,$0.2065,$0.2087,"$288,985","$208,747,207"
"Dec 21, 2022",$0.215,$0.215,$0.2108,$0.2119,"$337,811","$211,937,325"
"Dec 20, 2022",$0.2119,$0.2189,$0.2116,$0.215,"$251,522","$214,992,548"
"Dec 19, 2022",$0.2128,$0.2147,$0.2091,$0.2119,"$191,429","$211,903,154"
"Dec 18, 2022",$0.2153,$0.2155,$0.2124,$0.2128,"$196,474","$212,767,951"
"Dec 17, 2022",$0.2136,$0.2157,$0.2129,$0.2153,"$148,401","$215,255,536"
"Dec 16, 2022",$0.2253,$0.2274,$0.2128,$0.2136,"$381,890","$213,621,209"
"Dec 15, 2022",$0.2308,$0.2311,$0.2247,$0.2253,"$303,368","$225,271,301"
"Dec 14, 2022",$0.2371,$0.2378,$0.2302,$0.2307,"$646,546","$230,669,921"
"Dec 13, 2022",$0.2386,$0.2462,$0.2357,$0.2371,"$869,574","$237,095,106"
"Dec 12, 2022",$0.2328,$0.2387,$0.2305,$0.2386,"$289,470","$238,554,057"
"Dec 11, 2022",$0.2434,$0.2441,$0.2285,$0.2328,"$195,494","$232,768,171"
"Dec 10, 2022",$0.2318,$0.2457,$0.2317,$0.2434,"$355,929","$243,444,159"
"Dec 09, 2022",$0.2329,$0.2345,$0.231,$0.2318,"$290,476","$231,832,625"
"Dec 08, 2022",$0.2311,$0.2339,$0.2282,$0.2329,"$251,354","$232,916,790"
"Dec 07, 2022",$0.2393,$0.2467,$0.2286,$0.2311,"$269,077","$231,133,440"
"Dec 06, 2022",$0.2372,$0.2394,$0.235,$0.2392,"$212,355","$239,248,654"
"Dec 05, 2022",$0.2392,$0.2425,$0.2353,$0.2372,"$296,016","$237,171,927"
"Dec 04, 2022",$0.2346,$0.2397,$0.2344,$0.2392,"$254,217","$239,227,620"
"Dec 03, 2022",$0.2489,$0.2498,$0.2271,$0.2345,"$337,263","$234,457,772"
"Dec 02, 2022",$0.244,$0.2491,$0.2421,$0.2491,"$296,456","$249,082,830"
"Dec 01, 2022",$0.2471,$0.249,$0.235,$0.2438,"$396,682","$243,817,914"
"Nov 30, 2022",$0.2374,$0.2507,$0.2372,$0.2471,"$464,145","$247,147,450"
"Nov 29, 2022",$0.2311,$0.2395,$0.23,$0.2374,"$390,768","$237,406,821"
"Nov 28, 2022",$0.2369,$0.2376,$0.2306,$0.2311,"$423,036","$231,113,320"
"Nov 27, 2022",$0.2377,$0.2408,$0.2367,$0.2369,"$294,959","$236,874,031"
"Nov 26, 2022",$0.2401,$0.2443,$0.2369,$0.2377,"$187,016","$237,743,527"
"Nov 25, 2022",$0.2308,$0.2407,$0.2276,$0.2402,"$631,216","$240,152,703"
"Nov 24, 2022",$0.2197,$0.231,$0.2193,$0.2308,"$557,323","$230,813,922"
"Nov 23, 2022",$0.2156,$0.2201,$0.2144,$0.2197,"$216,953","$219,720,235"
"Nov 22, 2022",$0.2178,$0.2188,$0.2115,$0.2156,"$420,366","$215,591,117"
"Nov 21, 2022",$0.2116,$0.2191,$0.2056,$0.2178,"$483,248","$217,824,374"
"Nov 20, 2022",$0.2208,$0.2214,$0.2111,$0.2117,"$283,688","$211,664,702"
"Nov 19, 2022",$0.2213,$0.2218,$0.2191,$0.2208,"$244,507","$220,755,905"
"Nov 18, 2022",$0.2162,$0.2234,$0.2161,$0.2214,"$296,406","$221,370,353"
"Nov 17, 2022",$0.2185,$0.2197,$0.2122,$0.2162,"$407,394","$216,209,998"
"Nov 16, 2022",$0.2305,$0.2316,$0.2183,$0.2186,"$330,350","$218,605,755"
"Nov 15, 2022",$0.2297,$0.2375,$0.2291,$0.2304,"$548,980","$230,446,978"
"Nov 14, 2022",$0.2224,$0.2398,$0.2179,$0.2297,"$927,228","$229,692,872"
"Nov 13, 2022",$0.2429,$0.2453,$0.2142,$0.2223,"$1,000,572","$222,330,840"
"Nov 12, 2022",$0.2513,$0.2516,$0.2422,$0.2428,"$468,079","$242,815,188"
"Nov 11, 2022",$0.2698,$0.2709,$0.233,$0.2513,"$1,251,891","$251,294,849"
