Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.1981,$0.2048,$0.1971,$0.2019,"$12,162,723","$102,789,110"
"Dec 30, 2022",$0.2038,$0.2044,$0.1979,$0.198,"$8,177,899","$100,816,740"
"Dec 29, 2022",$0.2101,$0.211,$0.2009,$0.2038,"$5,471,806","$103,721,489"
"Dec 28, 2022",$0.2153,$0.2157,$0.2073,$0.21,"$4,834,273","$106,872,679"
"Dec 27, 2022",$0.2166,$0.2175,$0.2115,$0.2154,"$4,328,108","$109,568,916"
"Dec 26, 2022",$0.2126,$0.2168,$0.212,$0.2167,"$3,935,626","$110,239,380"
"Dec 25, 2022",$0.215,$0.2157,$0.2098,$0.2126,"$4,099,413","$108,104,063"
"Dec 24, 2022",$0.2144,$0.2162,$0.2136,$0.215,"$2,968,908","$109,321,077"
"Dec 23, 2022",$0.2144,$0.2167,$0.2134,$0.2144,"$6,471,234","$108,969,218"
"Dec 22, 2022",$0.2101,$0.2234,$0.2094,$0.2144,"$30,529,406","$108,939,934"
"Dec 21, 2022",$0.2114,$0.2116,$0.2068,$0.2102,"$5,090,083","$106,777,767"
"Dec 20, 2022",$0.2025,$0.212,$0.2019,$0.2115,"$5,289,844","$107,448,541"
"Dec 19, 2022",$0.2165,$0.2185,$0.2007,$0.2025,"$5,925,389","$102,830,212"
"Dec 18, 2022",$0.2179,$0.2215,$0.2148,$0.2164,"$14,372,824","$109,903,628"
"Dec 17, 2022",$0.217,$0.2189,$0.2075,$0.2179,"$14,073,726","$110,616,998"
"Dec 16, 2022",$0.2368,$0.2395,$0.2156,$0.2171,"$10,214,981","$110,191,626"
"Dec 15, 2022",$0.2445,$0.2506,$0.2361,$0.2368,"$15,737,518","$120,157,624"
"Dec 14, 2022",$0.2469,$0.2548,$0.2423,$0.2445,"$14,266,592","$124,025,914"
"Dec 13, 2022",$0.2417,$0.2524,$0.2317,$0.2468,"$23,853,724","$125,169,329"
"Dec 12, 2022",$0.2463,$0.2463,$0.2355,$0.2417,"$7,124,673","$122,565,408"
"Dec 11, 2022",$0.2486,$0.2527,$0.2459,$0.2461,"$7,380,602","$124,765,279"
"Dec 10, 2022",$0.2437,$0.249,$0.2435,$0.2488,"$5,384,781","$126,094,673"
"Dec 09, 2022",$0.2458,$0.2466,$0.2427,$0.2435,"$4,416,624","$123,413,334"
"Dec 08, 2022",$0.2439,$0.2469,$0.24,$0.2457,"$5,160,255","$124,515,466"
"Dec 07, 2022",$0.254,$0.2548,$0.242,$0.2439,"$7,600,530","$123,546,745"
"Dec 06, 2022",$0.2486,$0.2546,$0.2464,$0.2539,"$9,467,330","$128,614,486"
"Dec 05, 2022",$0.2517,$0.2548,$0.2474,$0.2486,"$6,939,942","$125,876,409"
"Dec 04, 2022",$0.2485,$0.252,$0.246,$0.2517,"$7,683,096","$127,436,410"
"Dec 03, 2022",$0.2551,$0.2563,$0.2483,$0.2486,"$13,035,428","$125,819,516"
"Dec 02, 2022",$0.2463,$0.2614,$0.245,$0.2553,"$23,917,572","$129,184,005"
"Dec 01, 2022",$0.2475,$0.2493,$0.2436,$0.2463,"$8,301,942","$124,625,895"
"Nov 30, 2022",$0.241,$0.2484,$0.2402,$0.2476,"$10,184,177","$125,222,380"
"Nov 29, 2022",$0.2429,$0.2446,$0.2389,$0.2411,"$14,675,802","$121,911,676"
"Nov 28, 2022",$0.2383,$0.243,$0.2283,$0.2429,"$15,586,169","$122,793,700"
"Nov 27, 2022",$0.238,$0.2461,$0.2368,$0.2384,"$12,923,686","$120,507,545"
"Nov 26, 2022",$0.2383,$0.2442,$0.2374,$0.238,"$12,583,697","$120,299,569"
"Nov 25, 2022",$0.2351,$0.2402,$0.2297,$0.2383,"$9,620,030","$120,430,307"
"Nov 24, 2022",$0.2361,$0.2409,$0.2337,$0.2351,"$8,843,143","$118,788,896"
"Nov 23, 2022",$0.2228,$0.2365,$0.2227,$0.2361,"$12,181,110","$119,258,566"
"Nov 22, 2022",$0.2155,$0.2229,$0.2094,$0.2227,"$11,167,723","$112,478,357"
"Nov 21, 2022",$0.2278,$0.2297,$0.2117,$0.2156,"$21,366,624","$108,849,874"
"Nov 20, 2022",$0.2369,$0.2436,$0.2267,$0.2278,"$22,679,720","$115,002,100"
"Nov 19, 2022",$0.2398,$0.2399,$0.2327,$0.2369,"$7,134,466","$119,551,597"
"Nov 18, 2022",$0.2429,$0.2517,$0.2381,$0.2399,"$10,401,815","$121,058,760"
