Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.02774,$0.02807,$0.02724,$0.02772,"$249,755","$17,603,951"
"Dec 30, 2022",$0.02753,$0.0278,$0.02717,$0.02772,"$518,782","$17,603,921"
"Dec 29, 2022",$0.02791,$0.02859,$0.02719,$0.02753,"$364,965","$17,488,893"
"Dec 28, 2022",$0.0267,$0.02817,$0.02572,$0.02791,"$514,438","$17,729,414"
"Dec 27, 2022",$0.02793,$0.02805,$0.02668,$0.0267,"$361,553","$16,960,472"
"Dec 26, 2022",$0.02726,$0.02821,$0.02721,$0.02794,"$484,015","$17,744,265"
"Dec 25, 2022",$0.02903,$0.02912,$0.02695,$0.02723,"$537,644","$17,298,304"
"Dec 24, 2022",$0.02751,$0.02959,$0.02705,$0.02903,"$560,469","$18,439,315"
"Dec 23, 2022",$0.02622,$0.02753,$0.02566,$0.02751,"$461,023","$17,475,819"
"Dec 22, 2022",$0.0254,$0.02648,$0.02501,$0.02625,"$605,811","$16,670,851"
"Dec 21, 2022",$0.02714,$0.02717,$0.02523,$0.02538,"$455,973","$16,123,030"
"Dec 20, 2022",$0.02554,$0.02786,$0.02539,$0.02714,"$484,671","$17,237,847"
"Dec 19, 2022",$0.02599,$0.02679,$0.02327,$0.02554,"$699,548","$16,215,653"
"Dec 18, 2022",$0.02788,$0.02827,$0.02378,$0.02599,"$616,142","$16,504,355"
"Dec 17, 2022",$0.02785,$0.02807,$0.02675,$0.02787,"$646,740","$17,697,965"
"Dec 16, 2022",$0.02951,$0.02958,$0.02736,$0.02786,"$425,550","$17,691,020"
"Dec 15, 2022",$0.03105,$0.0311,$0.02842,$0.0295,"$350,265","$18,733,594"
"Dec 14, 2022",$0.03375,$0.03389,$0.03101,$0.03102,"$537,593","$19,696,488"
"Dec 13, 2022",$0.03122,$0.03461,$0.03115,$0.03374,"$637,082","$21,422,807"
"Dec 12, 2022",$0.03551,$0.03551,$0.0312,$0.03122,"$517,366","$19,819,388"
"Dec 11, 2022",$0.03601,$0.03638,$0.03475,$0.03551,"$147,770","$22,538,683"
"Dec 10, 2022",$0.03775,$0.03778,$0.03515,$0.03601,"$138,683","$22,855,379"
