Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.09858,$0.09996,$0.0982,$0.09875,"$1,302,581","$74,155,898"
"Dec 30, 2022",$0.1007,$0.1013,$0.09837,$0.09852,"$1,468,801","$73,986,602"
"Dec 29, 2022",$0.09982,$0.1015,$0.09977,$0.1007,"$1,392,726","$75,624,393"
"Dec 28, 2022",$0.103,$0.1033,$0.09954,$0.09974,"$1,718,069","$74,884,665"
"Dec 27, 2022",$0.1062,$0.1074,$0.1024,$0.103,"$1,930,418","$77,360,526"
"Dec 26, 2022",$0.1053,$0.1065,$0.105,$0.1062,"$1,464,853","$79,737,997"
"Dec 25, 2022",$0.1061,$0.1066,$0.1049,$0.1052,"$1,574,389","$78,929,797"
"Dec 24, 2022",$0.1071,$0.1074,$0.1059,$0.1061,"$1,606,792","$79,657,543"
"Dec 23, 2022",$0.1088,$0.1105,$0.1066,$0.1071,"$1,831,704","$80,360,359"
"Dec 22, 2022",$0.1059,$0.1114,$0.1052,$0.1088,"$2,954,057","$81,645,838"
"Dec 21, 2022",$0.1083,$0.1094,$0.1043,$0.1059,"$2,032,869","$79,472,653"
"Dec 20, 2022",$0.1134,$0.1135,$0.1055,$0.1083,"$3,392,196","$81,237,918"
"Dec 19, 2022",$0.104,$0.1197,$0.1032,$0.1134,"$9,518,480","$85,052,490"
"Dec 18, 2022",$0.1036,$0.1041,$0.1025,$0.104,"$1,259,971","$72,253,883"
"Dec 17, 2022",$0.1007,$0.1099,$0.09985,$0.1036,"$3,303,531","$72,018,553"
"Dec 16, 2022",$0.1107,$0.1119,$0.1003,$0.1007,"$1,898,306","$69,955,548"
"Dec 15, 2022",$0.1147,$0.1151,$0.1106,$0.1107,"$1,561,999","$74,447,270"
"Dec 14, 2022",$0.1153,$0.1179,$0.1136,$0.1147,"$2,030,210","$77,157,201"
"Dec 13, 2022",$0.1163,$0.1163,$0.1105,$0.1152,"$2,362,381","$77,571,950"
"Dec 12, 2022",$0.1188,$0.1189,$0.1148,$0.1163,"$1,641,801","$78,340,027"
"Dec 11, 2022",$0.119,$0.1201,$0.1184,$0.1188,"$2,469,032","$80,022,379"
"Dec 10, 2022",$0.12,$0.1245,$0.1186,$0.119,"$3,599,239","$80,192,455"
"Dec 09, 2022",$0.1182,$0.1222,$0.1179,$0.12,"$2,591,267","$80,848,433"
"Dec 08, 2022",$0.1159,$0.1188,$0.1156,$0.1182,"$1,518,595","$79,651,654"
"Dec 07, 2022",$0.1191,$0.1193,$0.1157,$0.1159,"$1,705,033","$78,104,319"
"Dec 06, 2022",$0.1169,$0.1205,$0.1169,$0.1191,"$2,171,563","$80,219,239"
"Dec 05, 2022",$0.1186,$0.1209,$0.1159,$0.1169,"$2,765,988","$78,729,031"
"Dec 04, 2022",$0.1183,$0.1203,$0.1173,$0.1186,"$2,747,951","$79,630,114"
"Dec 03, 2022",$0.1167,$0.1243,$0.1155,$0.1183,"$5,749,589","$79,479,038"
"Dec 02, 2022",$0.1154,$0.1172,$0.1143,$0.1167,"$2,577,712","$78,354,018"
"Dec 01, 2022",$0.1215,$0.1216,$0.1147,$0.1154,"$3,165,798","$77,449,947"
"Nov 30, 2022",$0.1176,$0.1218,$0.1175,$0.1215,"$2,536,657","$81,558,227"
"Nov 29, 2022",$0.1158,$0.1195,$0.115,$0.1175,"$1,903,719","$78,895,903"
"Nov 28, 2022",$0.1198,$0.1208,$0.1146,$0.116,"$2,021,537","$77,861,909"
"Nov 27, 2022",$0.1215,$0.1236,$0.1198,$0.1198,"$1,785,440","$80,377,881"
