Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.04672,$0.04767,$0.03425,$0.03755,"$132,823","$1,732,376"
"Dec 30, 2022",$0.04725,$0.04735,$0.04602,$0.04672,"$33,243","$2,152,915"
"Dec 29, 2022",$0.04666,$0.0476,$0.04639,$0.04725,"$43,640","$2,175,223"
"Dec 28, 2022",$0.04733,$0.04788,$0.04628,$0.04666,"$51,561","$2,145,714"
"Dec 27, 2022",$0.04786,$0.04823,$0.0466,$0.04733,"$47,740","$2,174,653"
"Dec 26, 2022",$0.04746,$0.04808,$0.04735,$0.04786,"$43,436","$2,196,508"
"Dec 25, 2022",$0.04774,$0.04783,$0.04693,$0.04735,"$40,749","$2,170,671"
"Dec 24, 2022",$0.04771,$0.04797,$0.04739,$0.04774,"$43,077","$2,186,527"
"Dec 23, 2022",$0.04767,$0.04833,$0.04755,$0.04777,"$42,388","$2,185,458"
"Dec 22, 2022",$0.04745,$0.04813,$0.04635,$0.0477,"$52,253","$2,180,164"
"Dec 21, 2022",$0.04752,$0.04759,$0.04677,$0.04747,"$44,908","$2,167,302"
"Dec 20, 2022",$0.04699,$0.04856,$0.04688,$0.04752,"$46,124","$2,167,480"
"Dec 19, 2022",$0.04815,$0.04861,$0.04649,$0.04699,"$51,393","$2,140,640"
"Dec 18, 2022",$0.04894,$0.04916,$0.04775,$0.04815,"$49,709","$2,191,190"
"Dec 17, 2022",$0.0476,$0.04904,$0.0473,$0.04896,"$58,809","$2,225,860"
"Dec 16, 2022",$0.05339,$0.05468,$0.04727,$0.04758,"$88,708","$2,160,768"
"Dec 15, 2022",$0.05538,$0.05566,$0.05323,$0.05338,"$60,446","$2,421,698"
"Dec 14, 2022",$0.05882,$0.05952,$0.05509,$0.05532,"$88,511","$2,506,786"
"Dec 13, 2022",$0.0546,$0.05958,$0.05324,$0.05883,"$96,666","$2,662,968"
"Dec 12, 2022",$0.05504,$0.0551,$0.05343,$0.0546,"$66,892","$2,469,063"
"Dec 11, 2022",$0.05575,$0.0565,$0.05492,$0.05504,"$56,452","$2,486,003"
"Dec 10, 2022",$0.05643,$0.0568,$0.0556,$0.05575,"$48,035","$2,515,711"
"Dec 09, 2022",$0.0563,$0.05729,$0.05581,$0.05643,"$56,408","$2,543,391"
"Dec 08, 2022",$0.05516,$0.0564,$0.05481,$0.0563,"$56,710","$2,534,668"
"Dec 07, 2022",$0.05809,$0.05816,$0.05475,$0.05516,"$68,922","$2,480,667"
"Dec 06, 2022",$0.05945,$0.06042,$0.05717,$0.05809,"$73,003","$2,609,509"
"Dec 05, 2022",$0.05762,$0.06036,$0.05714,$0.05945,"$105,434","$2,667,618"
"Dec 04, 2022",$0.05803,$0.05885,$0.05631,$0.05735,"$127,802","$2,570,584"
"Dec 03, 2022",$0.06166,$0.06207,$0.0581,$0.0581,"$156,488","$2,601,284"
"Dec 02, 2022",$0.06593,$0.06605,$0.0613,$0.06156,"$175,994","$2,753,057"
"Dec 01, 2022",$0.06807,$0.06807,$0.06186,$0.06581,"$245,314","$2,940,154"
"Nov 30, 2022",$0.05656,$0.07212,$0.05653,$0.06807,"$382,611","$3,037,781"
"Nov 29, 2022",$0.0504,$0.05732,$0.04942,$0.05656,"$177,921","$2,521,137"
"Nov 28, 2022",$0.04875,$0.05063,$0.04635,$0.05028,"$135,558","$2,238,696"
"Nov 27, 2022",$0.04899,$0.05123,$0.04867,$0.04875,"$108,538","$2,168,162"
"Nov 26, 2022",$0.04953,$0.05126,$0.04865,$0.04898,"$125,188","$2,175,883"
"Nov 25, 2022",$0.04738,$0.04974,$0.04585,$0.04956,"$110,786","$2,199,206"
"Nov 24, 2022",$0.04736,$0.04823,$0.04647,$0.04738,"$129,854","$2,100,178"
"Nov 23, 2022",$0.04459,$0.04745,$0.04378,$0.04729,"$125,732","$2,093,688"
"Nov 22, 2022",$0.04021,$0.04473,$0.03907,$0.04459,"$148,811","$1,971,873"
"Nov 21, 2022",$0.04067,$0.04118,$0.03948,$0.04007,"$100,383","$1,769,879"
"Nov 20, 2022",$0.04115,$0.04371,$0.04047,$0.04067,"$156,473","$1,794,430"
"Nov 19, 2022",$0.03746,$0.04159,$0.03706,$0.04115,"$118,610","$1,813,730"
"Nov 18, 2022",$0.03703,$0.03788,$0.03691,$0.03745,"$71,804","$1,648,694"
"Nov 17, 2022",$0.03767,$0.03788,$0.03673,$0.03703,"$73,368","$1,628,184"
"Nov 16, 2022",$0.03815,$0.03982,$0.03733,$0.03766,"$67,596","$1,653,780"
"Nov 15, 2022",$0.03697,$0.0388,$0.03677,$0.03809,"$39,340","$1,671,059"
"Nov 14, 2022",$0.03658,$0.03722,$0.03524,$0.03697,"$54,154","$1,619,867"
"Nov 13, 2022",$0.03723,$0.03803,$0.03617,$0.03659,"$51,845","$1,601,185"
"Nov 12, 2022",$0.039,$0.03909,$0.03707,$0.03718,"$40,554","$1,625,302"
"Nov 11, 2022",$0.04025,$0.04025,$0.03752,$0.03901,"$49,038","$1,703,397"
"Nov 10, 2022",$0.03706,$0.0409,$0.03705,$0.04014,"$106,072","$1,750,438"
"Nov 09, 2022",$0.04406,$0.04456,$0.03684,$0.0371,"$109,790","$1,615,880"
"Nov 08, 2022",$0.05355,$0.05474,$0.04238,$0.0441,"$152,759","$1,918,652"
"Nov 07, 2022",$0.05373,$0.05451,$0.05206,$0.05355,"$66,195","$2,327,100"
"Nov 06, 2022",$0.05686,$0.05721,$0.05362,$0.05369,"$56,998","$2,330,358"
"Nov 05, 2022",$0.05521,$0.05985,$0.05498,$0.05685,"$110,483","$2,464,369"
"Nov 04, 2022",$0.05243,$0.05692,$0.05205,$0.05529,"$94,324","$2,394,012"
"Nov 03, 2022",$0.04705,$0.0575,$0.04682,$0.05243,"$113,855","$2,267,550"
