Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.0144,$0.01495,$0.01379,$0.01493,"$130,911","$8,820,886"
"Dec 30, 2022",$0.01536,$0.01566,$0.01405,$0.01439,"$90,480","$8,504,461"
"Dec 29, 2022",$0.01526,$0.0155,$0.01524,$0.01536,"$109,935","$9,076,695"
"Dec 28, 2022",$0.01673,$0.01676,$0.01519,$0.01526,"$188,846","$9,018,602"
"Dec 27, 2022",$0.0173,$0.01747,$0.01647,$0.01673,"$303,586","$9,886,669"
"Dec 26, 2022",$0.01553,$0.02075,$0.01552,$0.0173,"$1,279,246","$10,222,011"
"Dec 25, 2022",$0.01492,$0.01552,$0.01473,$0.01552,"$78,823","$9,169,343"
"Dec 24, 2022",$0.01536,$0.01538,$0.01489,$0.01492,"$54,355","$8,814,838"
"Dec 23, 2022",$0.01589,$0.01638,$0.01517,$0.01536,"$61,524","$9,075,741"
"Dec 22, 2022",$0.016,$0.01608,$0.01552,$0.0159,"$49,150","$9,392,445"
"Dec 21, 2022",$0.01591,$0.01603,$0.01576,$0.016,"$48,317","$9,450,850"
"Dec 20, 2022",$0.01588,$0.01647,$0.01562,$0.01592,"$126,454","$9,405,589"
"Dec 19, 2022",$0.01613,$0.01628,$0.0157,$0.01588,"$34,463","$9,383,256"
"Dec 18, 2022",$0.01659,$0.01671,$0.016,$0.01613,"$56,919","$9,530,828"
"Dec 17, 2022",$0.0161,$0.01783,$0.01549,$0.01659,"$198,472","$9,800,008"
"Dec 16, 2022",$0.01685,$0.01734,$0.01547,$0.01611,"$165,747","$9,517,987"
"Dec 15, 2022",$0.01752,$0.01837,$0.01625,$0.01685,"$134,369","$9,955,871"
"Dec 14, 2022",$0.01706,$0.01805,$0.01701,$0.0175,"$162,672","$10,339,714"
"Dec 13, 2022",$0.018,$0.01882,$0.01688,$0.01706,"$67,397","$10,078,995"
"Dec 12, 2022",$0.0188,$0.0188,$0.01766,$0.018,"$121,987","$10,635,901"
"Dec 11, 2022",$0.01893,$0.01934,$0.0188,$0.0188,"$126,050","$11,107,837"
"Dec 10, 2022",$0.01908,$0.01916,$0.01865,$0.01893,"$162,557","$11,187,417"
"Dec 09, 2022",$0.01972,$0.01982,$0.019,$0.01908,"$88,650","$11,275,767"
"Dec 08, 2022",$0.0192,$0.01981,$0.01855,$0.01972,"$52,034","$11,650,649"
"Dec 07, 2022",$0.01927,$0.0194,$0.01878,$0.0192,"$68,554","$11,343,837"
"Dec 06, 2022",$0.01955,$0.01971,$0.01896,$0.01926,"$52,935","$11,379,678"
"Dec 05, 2022",$0.01995,$0.02022,$0.01877,$0.01955,"$160,147","$11,553,729"
"Dec 04, 2022",$0.01947,$0.02025,$0.01944,$0.01996,"$114,355","$11,794,589"
"Dec 03, 2022",$0.01916,$0.01954,$0.01848,$0.01945,"$175,904","$11,492,833"
"Dec 02, 2022",$0.01849,$0.02241,$0.01835,$0.01918,"$476,288","$11,331,921"
"Dec 01, 2022",$0.01897,$0.01944,$0.01838,$0.01848,"$182,221","$10,916,228"
"Nov 30, 2022",$0.01885,$0.0221,$0.0188,$0.01897,"$483,368","$11,206,979"
"Nov 29, 2022",$0.01847,$0.01942,$0.01836,$0.01885,"$137,557","$11,134,566"
"Nov 28, 2022",$0.01881,$0.0189,$0.01812,$0.01847,"$80,399","$10,914,437"
"Nov 27, 2022",$0.01943,$0.01983,$0.01803,$0.01881,"$69,477","$11,114,211"
"Nov 26, 2022",$0.0187,$0.01969,$0.01868,$0.01945,"$124,584","$11,489,156"
"Nov 25, 2022",$0.019,$0.0192,$0.01851,$0.01871,"$218,311","$11,051,786"
"Nov 24, 2022",$0.02148,$0.02151,$0.01868,$0.019,"$202,606","$11,226,551"
"Nov 23, 2022",$0.01998,$0.02162,$0.01985,$0.02148,"$313,777","$12,688,414"
"Nov 22, 2022",$0.01905,$0.02019,$0.01802,$0.01999,"$189,979","$11,808,780"
"Nov 21, 2022",$0.02097,$0.02104,$0.01872,$0.01905,"$423,609","$11,254,570"
"Nov 20, 2022",$0.02278,$0.02342,$0.02083,$0.02098,"$155,105","$12,395,065"
"Nov 19, 2022",$0.02118,$0.02297,$0.02104,$0.02278,"$141,248","$13,461,851"
"Nov 18, 2022",$0.02201,$0.02375,$0.02102,$0.02119,"$108,864","$12,522,193"
"Nov 17, 2022",$0.02159,$0.02344,$0.0211,$0.02201,"$355,199","$13,003,644"
"Nov 16, 2022",$0.02292,$0.02302,$0.02124,$0.02161,"$279,160","$12,766,029"
"Nov 15, 2022",$0.02091,$0.02363,$0.0209,$0.02291,"$578,673","$13,536,138"
"Nov 14, 2022",$0.02198,$0.02285,$0.01994,$0.0209,"$302,381","$12,351,008"
"Nov 13, 2022",$0.02366,$0.02382,$0.02193,$0.02197,"$401,763","$12,981,818"
"Nov 12, 2022",$0.0234,$0.02463,$0.02308,$0.02364,"$214,942","$13,969,790"
"Nov 11, 2022",$0.02652,$0.02733,$0.02285,$0.0234,"$856,660","$13,824,783"
"Nov 10, 2022",$0.02375,$0.03076,$0.02053,$0.02654,"$2,662,385","$15,683,281"
"Nov 09, 2022",$0.02368,$0.02798,$0.01923,$0.02381,"$1,368,738","$13,994,107"
"Nov 08, 2022",$0.02748,$0.02859,$0.02327,$0.02368,"$574,682","$13,919,682"
"Nov 07, 2022",$0.02782,$0.03025,$0.02639,$0.02748,"$428,545","$16,155,989"
"Nov 06, 2022",$0.03051,$0.0306,$0.02779,$0.02783,"$493,003","$16,361,367"
"Nov 05, 2022",$0.03029,$0.03141,$0.03016,$0.03051,"$635,169","$17,937,637"
"Nov 04, 2022",$0.0314,$0.03316,$0.03016,$0.03032,"$746,714","$17,820,789"
"Nov 03, 2022",$0.03264,$0.0339,$0.03131,$0.0314,"$712,747","$18,455,186"
"Nov 02, 2022",$0.03327,$0.03338,$0.03018,$0.03266,"$1,451,791","$19,200,521"
"Nov 01, 2022",$0.03395,$0.03671,$0.03206,$0.03327,"$2,149,513","$19,555,040"
"Oct 31, 2022",$0.03707,$0.04028,$0.03377,$0.03395,"$3,623,868","$19,957,998"
"Oct 30, 2022",$0.03251,$0.04392,$0.02881,$0.03707,"$5,979,779","$21,788,330"
"Oct 29, 2022",$0.03662,$0.0383,$0.03016,$0.03251,"$3,983,283","$19,109,579"
"Oct 28, 2022",$0.0401,$0.05473,$0.03563,$0.03662,"$13,441,112","$21,527,864"
"Oct 27, 2022",$0.02381,$0.04076,$0.02381,$0.0401,"$10,344,372","$23,172,973"
"Oct 26, 2022",$0.02286,$0.02541,$0.02151,$0.02381,"$702,241","$13,641,499"
"Oct 25, 2022",$0.02255,$0.02971,$0.02131,$0.02289,"$3,472,591","$13,109,832"
"Oct 24, 2022",$0.01777,$0.02604,$0.01741,$0.02255,"$2,054,587","$12,919,020"
"Oct 23, 2022",$0.01679,$0.0195,$0.0166,$0.01761,"$231,551","$10,086,801"
"Oct 22, 2022",$0.01779,$0.01822,$0.01661,$0.01679,"$287,281","$9,618,011"
"Oct 21, 2022",$0.02084,$0.02183,$0.01676,$0.01792,"$868,290","$10,263,391"
"Oct 20, 2022",$0.01601,$0.02447,$0.01596,$0.02082,"$1,780,822","$11,925,687"
"Oct 19, 2022",$0.01577,$0.01659,$0.01558,$0.01601,"$114,251","$9,169,881"
"Oct 18, 2022",$0.01577,$0.01832,$0.01556,$0.01577,"$404,056","$9,031,033"
"Oct 17, 2022",$0.01583,$0.01734,$0.01559,$0.01577,"$210,675","$9,031,022"
"Oct 16, 2022",$0.0161,$0.01644,$0.01556,$0.01583,"$103,337","$9,068,724"
"Oct 15, 2022",$0.01734,$0.01739,$0.01555,$0.01624,"$157,219","$9,303,623"
"Oct 14, 2022",$0.0193,$0.01941,$0.01639,$0.01734,"$687,339","$9,934,888"
"Oct 13, 2022",$0.02194,$0.0257,$0.01862,$0.01922,"$2,250,415","$11,009,641"
"Oct 12, 2022",$0.01359,$0.02896,$0.01346,$0.02239,"$3,773,381","$12,824,756"
"Oct 11, 2022",$0.01401,$0.01426,$0.0134,$0.01359,"$43,067","$7,783,122"
"Oct 10, 2022",$0.01429,$0.01468,$0.01401,$0.01401,"$55,558","$8,024,096"
"Oct 09, 2022",$0.01458,$0.01628,$0.01412,$0.01429,"$203,089","$8,184,701"
"Oct 08, 2022",$0.01487,$0.01533,$0.01412,$0.01458,"$144,296","$8,350,433"
"Oct 07, 2022",$0.0149,$0.01518,$0.01464,$0.01487,"$72,403","$8,518,082"
"Oct 06, 2022",$0.01527,$0.01569,$0.0149,$0.0149,"$77,282","$8,533,595"
"Oct 05, 2022",$0.01523,$0.01629,$0.0145,$0.01527,"$189,233","$8,747,697"
"Oct 04, 2022",$0.01463,$0.01847,$0.01439,$0.0154,"$801,497","$8,820,293"
"Oct 03, 2022",$0.01438,$0.01466,$0.01429,$0.01463,"$16,339","$8,380,388"
"Oct 02, 2022",$0.01476,$0.01485,$0.01419,$0.01437,"$31,006","$8,234,166"
"Oct 01, 2022",$0.01484,$0.01515,$0.01441,$0.01476,"$37,782","$8,453,788"
"Sep 30, 2022",$0.01526,$0.01531,$0.01475,$0.01484,"$28,683","$8,502,284"
"Sep 29, 2022",$0.01534,$0.0155,$0.01492,$0.01526,"$21,324","$8,738,754"
"Sep 28, 2022",$0.01551,$0.01574,$0.01519,$0.01534,"$40,966","$8,787,840"
"Sep 27, 2022",$0.01584,$0.01584,$0.01503,$0.01551,"$105,507","$8,883,845"
"Sep 26, 2022",$0.01583,$0.01615,$0.01486,$0.01584,"$93,974","$9,071,862"
"Sep 25, 2022",$0.01642,$0.0174,$0.01513,$0.01583,"$196,528","$9,067,840"
"Sep 24, 2022",$0.01509,$0.01833,$0.01501,$0.01643,"$501,072","$9,410,187"
"Sep 23, 2022",$0.01603,$0.01603,$0.01488,$0.01509,"$42,005","$8,643,948"
"Sep 22, 2022",$0.01506,$0.01642,$0.01501,$0.01603,"$191,317","$9,181,497"
"Sep 21, 2022",$0.01574,$0.01862,$0.01381,$0.01506,"$599,696","$8,629,453"
"Sep 20, 2022",$0.01591,$0.01619,$0.01502,$0.01567,"$104,156","$8,974,309"
"Sep 19, 2022",$0.01573,$0.01612,$0.01553,$0.01591,"$53,122","$9,112,402"
"Sep 18, 2022",$0.01634,$0.01647,$0.01551,$0.01573,"$63,423","$9,011,847"
"Sep 17, 2022",$0.01692,$0.01716,$0.01611,$0.01634,"$101,384","$9,358,455"
"Sep 16, 2022",$0.01772,$0.01784,$0.01674,$0.01694,"$106,617","$9,701,061"
"Sep 15, 2022",$0.01849,$0.01896,$0.01771,$0.01772,"$233,225","$10,150,805"
"Sep 14, 2022",$0.01685,$0.01886,$0.01682,$0.01859,"$201,810","$10,650,976"
"Sep 13, 2022",$0.01995,$0.02013,$0.01663,$0.01758,"$261,088","$10,072,534"
"Sep 12, 2022",$0.02374,$0.02394,$0.0185,$0.01996,"$835,387","$11,436,379"
"Sep 11, 2022",$0.01682,$0.02554,$0.01668,$0.02393,"$4,441,700","$13,706,696"
"Sep 10, 2022",$0.01594,$0.01693,$0.01532,$0.01682,"$147,315","$9,634,464"
"Sep 09, 2022",$0.01549,$0.01695,$0.01532,$0.01594,"$93,464","$9,130,161"
"Sep 08, 2022",$0.01585,$0.01642,$0.01526,$0.01549,"$49,865","$8,872,571"
"Sep 07, 2022",$0.0154,$0.01627,$0.01531,$0.01585,"$49,533","$9,079,884"
"Sep 06, 2022",$0.01632,$0.0165,$0.01541,$0.0155,"$112,186","$8,876,186"
"Sep 05, 2022",$0.01657,$0.0166,$0.01597,$0.01632,"$49,521","$9,347,753"
"Sep 04, 2022",$0.01633,$0.017,$0.01607,$0.01657,"$54,116","$9,490,693"
"Sep 03, 2022",$0.01667,$0.01816,$0.016,$0.01633,"$201,469","$9,355,088"
"Sep 02, 2022",$0.0164,$0.01952,$0.01603,$0.01667,"$402,279","$9,547,604"
"Sep 01, 2022",$0.01662,$0.01715,$0.0159,$0.0163,"$146,902","$9,337,469"
"Aug 31, 2022",$0.01669,$0.01998,$0.01657,$0.01663,"$330,887","$9,527,177"
"Aug 30, 2022",$0.01891,$0.01912,$0.01616,$0.01669,"$182,510","$9,561,896"
"Aug 29, 2022",$0.01762,$0.01924,$0.01574,$0.01898,"$427,946","$10,871,472"
"Aug 28, 2022",$0.01867,$0.01891,$0.0175,$0.01762,"$103,464","$10,092,246"
"Aug 27, 2022",$0.0182,$0.02045,$0.01798,$0.01866,"$256,344","$10,690,107"
"Aug 26, 2022",$0.02013,$0.02064,$0.01786,$0.01819,"$200,682","$10,422,434"
"Aug 25, 2022",$0.02004,$0.02184,$0.01918,$0.02019,"$396,289","$11,564,402"
"Aug 24, 2022",$0.0195,$0.02307,$0.01889,$0.02003,"$398,742","$11,471,331"
"Aug 23, 2022",$0.02,$0.02169,$0.01924,$0.01957,"$653,845","$11,210,684"
"Aug 22, 2022",$0.02092,$0.02269,$0.01963,$0.01992,"$422,547","$11,410,948"
"Aug 21, 2022",$0.02111,$0.03161,$0.02021,$0.02091,"$2,665,606","$11,979,055"
"Aug 20, 2022",$0.01946,$0.02577,$0.01934,$0.02099,"$530,786","$12,024,828"
"Aug 19, 2022",$0.02099,$0.02123,$0.01934,$0.01946,"$160,906","$11,147,918"
"Aug 18, 2022",$0.0218,$0.02513,$0.02099,$0.02099,"$411,071","$12,021,280"
"Aug 17, 2022",$0.0227,$0.02803,$0.02119,$0.0218,"$1,184,437","$12,490,226"
"Aug 16, 2022",$0.02311,$0.02343,$0.02262,$0.02269,"$134,088","$12,997,604"
"Aug 15, 2022",$0.02394,$0.02458,$0.02305,$0.02311,"$88,777","$13,237,660"
"Aug 14, 2022",$0.02534,$0.02549,$0.02387,$0.02394,"$136,418","$13,714,699"
"Aug 13, 2022",$0.02549,$0.0258,$0.025,$0.02549,"$186,912","$14,599,488"
"Aug 12, 2022",$0.0259,$0.02605,$0.02502,$0.02549,"$194,661","$14,602,474"
"Aug 11, 2022",$0.02749,$0.02755,$0.02515,$0.02578,"$256,214","$14,769,711"
"Aug 10, 2022",$0.02516,$0.02785,$0.02489,$0.02749,"$306,449","$15,745,776"
"Aug 09, 2022",$0.0266,$0.02719,$0.02492,$0.02516,"$456,434","$14,412,207"
"Aug 08, 2022",$0.02788,$0.02879,$0.02629,$0.02658,"$368,745","$15,227,749"
"Aug 07, 2022",$0.02738,$0.02824,$0.02603,$0.02788,"$685,783","$15,970,967"
"Aug 06, 2022",$0.03089,$0.03197,$0.02711,$0.02745,"$475,005","$15,724,045"
"Aug 05, 2022",$0.02638,$0.03321,$0.02621,$0.0308,"$2,191,776","$17,645,183"
"Aug 04, 2022",$0.0275,$0.02861,$0.02506,$0.02637,"$944,750","$15,107,210"
"Aug 03, 2022",$0.0322,$0.03314,$0.02638,$0.0275,"$1,289,977","$15,753,440"
