Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.001906,$0.001937,$0.001884,$0.001899,"$605,932","$123,367,691"
"Dec 30, 2022",$0.001952,$0.001973,$0.001873,$0.001902,"$740,597","$123,556,394"
"Dec 29, 2022",$0.001887,$0.001987,$0.00188,$0.001952,"$743,598","$126,856,780"
"Dec 28, 2022",$0.002083,$0.002105,$0.001879,$0.001887,"$869,283","$122,197,069"
"Dec 27, 2022",$0.002233,$0.002252,$0.002078,$0.002084,"$615,064","$134,929,353"
"Dec 26, 2022",$0.002163,$0.002255,$0.002162,$0.002239,"$578,630","$144,953,389"
"Dec 25, 2022",$0.002171,$0.002198,$0.00215,$0.002163,"$151,194","$140,071,147"
"Dec 24, 2022",$0.002173,$0.002201,$0.002153,$0.002171,"$175,115","$140,530,863"
"Dec 23, 2022",$0.002186,$0.002204,$0.002161,$0.002172,"$246,796","$140,607,051"
"Dec 22, 2022",$0.002153,$0.002234,$0.002117,$0.002186,"$570,258","$141,511,738"
"Dec 21, 2022",$0.002318,$0.00233,$0.002124,$0.002153,"$551,515","$139,411,149"
"Dec 20, 2022",$0.002312,$0.002391,$0.002296,$0.002318,"$610,990","$150,066,903"
"Dec 19, 2022",$0.002215,$0.002436,$0.002191,$0.002312,"$1,348,255","$149,662,618"
"Dec 18, 2022",$0.002143,$0.002221,$0.002107,$0.002215,"$416,561","$143,436,995"
"Dec 17, 2022",$0.00211,$0.002145,$0.00206,$0.002143,"$613,295","$138,725,762"
"Dec 16, 2022",$0.002324,$0.002407,$0.002108,$0.00211,"$1,207,859","$136,589,818"
"Dec 15, 2022",$0.002566,$0.002575,$0.00224,$0.002324,"$1,871,568","$150,436,281"
"Dec 14, 2022",$0.002652,$0.002717,$0.002557,$0.002566,"$914,536","$166,148,376"
"Dec 13, 2022",$0.002651,$0.002774,$0.00259,$0.002652,"$1,197,212","$171,685,478"
"Dec 12, 2022",$0.002802,$0.002806,$0.002528,$0.002651,"$1,167,188","$171,623,490"
"Dec 11, 2022",$0.002849,$0.00288,$0.002787,$0.002808,"$508,651","$181,790,173"
"Dec 10, 2022",$0.002891,$0.002959,$0.00284,$0.002848,"$517,871","$184,416,284"
"Dec 09, 2022",$0.002953,$0.00299,$0.00288,$0.002891,"$475,912","$187,144,126"
"Dec 08, 2022",$0.002992,$0.002992,$0.00279,$0.002954,"$1,234,257","$191,222,187"
"Dec 07, 2022",$0.003047,$0.00306,$0.002905,$0.002974,"$1,213,921","$192,558,740"
"Dec 06, 2022",$0.003125,$0.003153,$0.003026,$0.003047,"$820,371","$197,301,176"
"Dec 05, 2022",$0.003222,$0.00333,$0.002983,$0.003124,"$2,090,890","$202,279,774"
"Dec 04, 2022",$0.002944,$0.003234,$0.002944,$0.003222,"$1,524,445","$208,632,392"
"Dec 03, 2022",$0.003003,$0.003022,$0.00291,$0.002944,"$730,568","$190,573,833"
"Dec 02, 2022",$0.003079,$0.003095,$0.002915,$0.003003,"$1,281,816","$194,449,158"
"Dec 01, 2022",$0.002971,$0.003101,$0.00284,$0.003078,"$2,217,254","$199,287,085"
"Nov 30, 2022",$0.002899,$0.003116,$0.002711,$0.002971,"$3,125,448","$192,363,710"
"Nov 29, 2022",$0.002392,$0.003078,$0.002368,$0.002899,"$3,757,107","$187,685,810"
"Nov 28, 2022",$0.002494,$0.002521,$0.002327,$0.002391,"$1,295,351","$153,488,062"
"Nov 27, 2022",$0.002221,$0.002608,$0.002217,$0.002495,"$7,293,896","$160,144,628"
"Nov 26, 2022",$0.002192,$0.002273,$0.002192,$0.002221,"$843,694","$142,592,708"
"Nov 25, 2022",$0.002276,$0.002278,$0.002189,$0.002193,"$405,870","$140,787,536"
"Nov 24, 2022",$0.002275,$0.002301,$0.002178,$0.002276,"$858,073","$146,109,988"
"Nov 23, 2022",$0.00211,$0.002431,$0.002044,$0.002275,"$4,364,489","$146,056,154"
"Nov 22, 2022",$0.001676,$0.002155,$0.001654,$0.002113,"$2,342,091","$135,628,902"
"Nov 21, 2022",$0.001767,$0.001803,$0.001653,$0.001677,"$812,251","$107,621,775"
"Nov 20, 2022",$0.002048,$0.002072,$0.001767,$0.001767,"$988,598","$113,428,318"
"Nov 19, 2022",$0.001889,$0.002071,$0.001867,$0.002048,"$920,623","$131,437,334"
"Nov 18, 2022",$0.001751,$0.001932,$0.001751,$0.001889,"$1,159,927","$121,247,670"
"Nov 17, 2022",$0.001725,$0.00179,$0.001702,$0.001751,"$883,630","$112,398,685"
"Nov 16, 2022",$0.001778,$0.001802,$0.001685,$0.001725,"$1,425,615","$110,721,312"
"Nov 15, 2022",$0.001735,$0.001899,$0.00173,$0.001776,"$1,145,807","$114,011,666"
"Nov 14, 2022",$0.00163,$0.001774,$0.001563,$0.001735,"$1,348,189","$111,364,741"
"Nov 13, 2022",$0.001742,$0.00182,$0.001616,$0.00163,"$1,058,732","$104,665,747"
"Nov 12, 2022",$0.001857,$0.001857,$0.001735,$0.001742,"$937,990","$111,798,358"
"Nov 11, 2022",$0.002,$0.002047,$0.00177,$0.001858,"$2,317,699","$119,245,147"
"Nov 10, 2022",$0.001361,$0.002219,$0.001361,$0.002004,"$4,517,655","$128,669,180"
"Nov 09, 2022",$0.001942,$0.001943,$0.001334,$0.001361,"$2,680,669","$87,384,329"
"Nov 08, 2022",$0.002434,$0.00244,$0.001797,$0.001944,"$4,843,180","$124,761,938"
"Nov 07, 2022",$0.002101,$0.00256,$0.002086,$0.002434,"$5,756,251","$153,253,351"
"Nov 06, 2022",$0.001762,$0.002216,$0.001757,$0.002102,"$3,435,860","$132,370,716"
"Nov 05, 2022",$0.001858,$0.001927,$0.001754,$0.001762,"$1,286,925","$110,979,533"
"Nov 04, 2022",$0.001543,$0.001914,$0.001537,$0.001858,"$2,404,293","$116,994,021"
"Nov 03, 2022",$0.001464,$0.001607,$0.001457,$0.001543,"$1,085,548","$97,140,354"
"Nov 02, 2022",$0.001594,$0.001596,$0.001445,$0.001468,"$1,561,193","$92,445,169"
"Nov 01, 2022",$0.0016,$0.001697,$0.001569,$0.001594,"$2,182,052","$100,342,859"
"Oct 31, 2022",$0.001407,$0.001613,$0.001385,$0.0016,"$2,115,913","$100,769,255"
"Oct 30, 2022",$0.00138,$0.001413,$0.00135,$0.001407,"$1,196,730","$88,600,947"
"Oct 29, 2022",$0.001265,$0.00139,$0.00126,$0.00138,"$1,302,489","$86,921,413"
"Oct 28, 2022",$0.001235,$0.001274,$0.001226,$0.001265,"$745,365","$79,642,307"
"Oct 27, 2022",$0.00127,$0.00128,$0.001234,$0.001235,"$693,022","$77,793,005"
"Oct 26, 2022",$0.001239,$0.001276,$0.001235,$0.00127,"$853,934","$79,967,134"
"Oct 25, 2022",$0.001203,$0.001265,$0.001194,$0.001239,"$741,060","$78,016,058"
"Oct 24, 2022",$0.00124,$0.001241,$0.001203,$0.001203,"$614,212","$75,761,870"
"Oct 23, 2022",$0.00121,$0.00124,$0.001199,$0.001239,"$541,161","$78,044,277"
"Oct 22, 2022",$0.001206,$0.00122,$0.001193,$0.00121,"$608,979","$76,195,213"
"Oct 21, 2022",$0.001198,$0.001213,$0.001183,$0.001206,"$691,283","$75,958,732"
"Oct 20, 2022",$0.001194,$0.001215,$0.001173,$0.001198,"$821,691","$75,433,921"
"Oct 19, 2022",$0.001248,$0.00125,$0.001191,$0.001193,"$650,882","$75,138,289"
"Oct 18, 2022",$0.00126,$0.001271,$0.001225,$0.001248,"$705,513","$78,595,602"
"Oct 17, 2022",$0.001246,$0.001264,$0.001232,$0.00126,"$730,007","$79,337,500"
"Oct 16, 2022",$0.00122,$0.001251,$0.001214,$0.001246,"$609,317","$78,466,960"
"Oct 15, 2022",$0.00123,$0.001241,$0.001214,$0.00122,"$529,467","$76,827,142"
"Oct 14, 2022",$0.001235,$0.001268,$0.001219,$0.00123,"$754,667","$77,450,540"
"Oct 13, 2022",$0.001245,$0.001246,$0.001171,$0.001235,"$832,842","$77,760,076"
"Oct 12, 2022",$0.001247,$0.00126,$0.001238,$0.001247,"$677,108","$78,501,698"
