Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.01195,$0.01202,$0.01162,$0.01185,"$16,673","$2,432,750"
"Dec 30, 2022",$0.01197,$0.01209,$0.0118,$0.01195,"$16,148","$2,452,965"
"Dec 29, 2022",$0.01212,$0.01215,$0.01184,$0.01196,"$24,289","$2,455,157"
"Dec 28, 2022",$0.01239,$0.01247,$0.01194,$0.01212,"$19,562","$2,486,874"
"Dec 27, 2022",$0.01283,$0.01283,$0.01219,$0.01239,"$14,129","$2,542,399"
"Dec 26, 2022",$0.01286,$0.01291,$0.01255,$0.01283,"$11,478","$2,632,967"
"Dec 25, 2022",$0.01265,$0.01289,$0.01242,$0.01287,"$17,916","$2,640,194"
"Dec 24, 2022",$0.01246,$0.0129,$0.01241,$0.01265,"$16,261","$2,595,047"
"Dec 23, 2022",$0.01257,$0.01318,$0.01237,$0.01241,"$22,290","$2,546,312"
"Dec 22, 2022",$0.01206,$0.01269,$0.01206,$0.0126,"$16,466","$2,586,586"
"Dec 21, 2022",$0.01214,$0.01251,$0.01193,$0.01206,"$8,739","$2,474,770"
"Dec 20, 2022",$0.01224,$0.01272,$0.01213,$0.01214,"$6,810","$2,490,721"
"Dec 19, 2022",$0.01269,$0.01277,$0.01213,$0.01223,"$23,288","$2,508,861"
"Dec 18, 2022",$0.0128,$0.01303,$0.01267,$0.01269,"$13,894","$2,604,116"
"Dec 17, 2022",$0.01313,$0.01321,$0.01276,$0.0128,"$20,439","$2,626,406"
"Dec 16, 2022",$0.01367,$0.01383,$0.01307,$0.01312,"$18,869","$2,692,753"
"Dec 15, 2022",$0.01412,$0.01423,$0.01345,$0.01367,"$13,594","$2,806,087"
"Dec 14, 2022",$0.01379,$0.01422,$0.01358,$0.01412,"$13,046","$2,897,867"
"Dec 13, 2022",$0.01358,$0.01426,$0.01346,$0.0138,"$17,514","$2,832,147"
"Dec 12, 2022",$0.01374,$0.01398,$0.0135,$0.01357,"$17,746","$2,784,634"
"Dec 11, 2022",$0.01369,$0.01427,$0.01315,$0.01376,"$35,227","$2,824,050"
"Dec 10, 2022",$0.01366,$0.0138,$0.01322,$0.01369,"$8,194","$2,809,586"
"Dec 09, 2022",$0.01372,$0.01391,$0.0135,$0.01366,"$12,185","$2,802,643"
"Dec 08, 2022",$0.01298,$0.01419,$0.01272,$0.01371,"$54,365","$2,813,228"
"Dec 07, 2022",$0.01391,$0.01395,$0.01272,$0.01298,"$22,712","$2,664,702"
"Dec 06, 2022",$0.01383,$0.01421,$0.01373,$0.0139,"$21,543","$2,852,769"
"Dec 05, 2022",$0.01373,$0.01546,$0.0137,$0.01383,"$97,033","$2,837,209"
"Dec 04, 2022",$0.01386,$0.01386,$0.01326,$0.01373,"$13,303","$2,816,730"
"Dec 03, 2022",$0.0139,$0.01417,$0.01378,$0.01386,"$7,566","$2,844,234"
"Dec 02, 2022",$0.01411,$0.01418,$0.01381,$0.0139,"$10,986","$2,852,238"
"Dec 01, 2022",$0.01442,$0.01448,$0.01409,$0.0141,"$6,335","$2,894,412"
"Nov 30, 2022",$0.01332,$0.01532,$0.0133,$0.01442,"$42,821","$2,960,187"
"Nov 29, 2022",$0.01365,$0.01397,$0.0133,$0.01332,"$17,077","$2,733,224"
"Nov 28, 2022",$0.01325,$0.01499,$0.01255,$0.01364,"$109,501","$2,799,153"
"Nov 27, 2022",$0.01307,$0.01339,$0.01302,$0.01325,"$19,820","$2,719,174"
"Nov 26, 2022",$0.01305,$0.0133,$0.01295,$0.01308,"$17,828","$2,683,253"
"Nov 25, 2022",$0.01311,$0.01318,$0.01258,$0.01305,"$17,714","$2,678,161"
"Nov 24, 2022",$0.01319,$0.01354,$0.01293,$0.01311,"$18,478","$2,689,720"
"Nov 23, 2022",$0.01274,$0.01354,$0.01217,$0.0133,"$21,810","$2,729,201"
"Nov 22, 2022",$0.01336,$0.01346,$0.01013,$0.01249,"$64,021","$2,562,418"
"Nov 21, 2022",$0.0135,$0.01368,$0.01288,$0.01335,"$45,275","$2,739,578"
"Nov 20, 2022",$0.01366,$0.01375,$0.01247,$0.01351,"$48,609","$2,772,870"
"Nov 19, 2022",$0.01388,$0.01391,$0.01317,$0.01366,"$41,795","$2,802,577"
"Nov 18, 2022",$0.01149,$0.01431,$0.01149,$0.01385,"$51,236","$2,842,511"
"Nov 17, 2022",$0.01368,$0.0142,$0.01145,$0.01148,"$40,202","$2,356,506"
"Nov 16, 2022",$0.01431,$0.01441,$0.01351,$0.01364,"$58,781","$2,799,597"
"Nov 15, 2022",$0.01387,$0.01442,$0.01325,$0.01422,"$58,453","$2,918,395"
"Nov 14, 2022",$0.01354,$0.01408,$0.01124,$0.01388,"$60,206","$2,848,111"
"Nov 13, 2022",$0.01506,$0.01513,$0.01125,$0.01172,"$53,523","$2,404,993"
"Nov 12, 2022",$0.01447,$0.0151,$0.01415,$0.01506,"$49,966","$3,091,338"
"Nov 11, 2022",$0.01269,$0.01454,$0.01181,$0.01451,"$38,292","$2,977,675"
"Nov 10, 2022",$0.01385,$0.01522,$0.01224,$0.01232,"$51,234","$2,527,985"
"Nov 09, 2022",$0.01603,$0.01606,$0.01381,$0.01385,"$45,943","$2,842,319"
"Nov 08, 2022",$0.01721,$0.0173,$0.01585,$0.01598,"$64,938","$3,279,612"
"Nov 07, 2022",$0.01725,$0.0174,$0.01702,$0.01718,"$45,560","$3,525,369"
"Nov 06, 2022",$0.01789,$0.0179,$0.01718,$0.01719,"$32,244","$3,527,025"
"Nov 05, 2022",$0.01692,$0.0184,$0.01646,$0.01789,"$40,043","$3,670,921"
"Nov 04, 2022",$0.01731,$0.01756,$0.01511,$0.01696,"$50,147","$3,480,522"
"Nov 03, 2022",$0.01732,$0.01787,$0.01722,$0.0173,"$44,807","$3,549,730"
"Nov 02, 2022",$0.01749,$0.01781,$0.0171,$0.01725,"$65,315","$3,539,298"
"Nov 01, 2022",$0.01672,$0.01872,$0.0101,$0.01749,"$84,652","$3,589,905"
