Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022","$1,817.19","$1,817.66","$1,811.87","$1,814.80","$228,027","$447,392,962"
"Dec 30, 2022","$1,813.72","$1,817.63","$1,805.94","$1,817.15","$875,749","$447,971,356"
"Dec 29, 2022","$1,803.65","$1,818.02","$1,798.75","$1,813.83","$1,411,957","$447,152,381"
"Dec 28, 2022","$1,796.23","$1,818.00","$1,789.92","$1,804.73","$1,525,675","$444,908,031"
"Dec 27, 2022","$1,793.18","$1,807.39","$1,786.46","$1,796.88","$515,390","$442,972,904"
"Dec 26, 2022","$1,788.85","$1,798.82","$1,783.41","$1,791.88","$482,381","$441,741,948"
"Dec 25, 2022","$1,786.86","$1,789.88","$1,782.27","$1,788.92","$298,072","$441,011,336"
"Dec 24, 2022","$1,781.18","$1,788.85","$1,779.45","$1,786.01","$252,676","$440,293,421"
"Dec 23, 2022","$1,776.04","$1,785.75","$1,771.99","$1,782.70","$800,658","$439,479,169"
"Dec 22, 2022","$1,795.68","$1,801.55","$1,769.74","$1,777.46","$799,490","$438,187,120"
"Dec 21, 2022","$1,795.39","$1,802.66","$1,786.09","$1,796.87","$722,036","$442,970,491"
"Dec 20, 2022","$1,772.55","$1,800.57","$1,765.74","$1,794.99","$1,728,120","$442,507,260"
"Dec 19, 2022","$1,774.56","$1,780.67","$1,763.96","$1,772.08","$281,159","$436,860,932"
"Dec 18, 2022","$1,776.69","$1,783.10","$1,771.63","$1,775.96","$316,436","$437,817,571"
"Dec 17, 2022","$1,789.79","$1,793.64","$1,771.15","$1,777.94","$249,986","$438,304,787"
"Dec 16, 2022","$1,770.88","$1,791.30","$1,755.04","$1,789.50","$473,552","$441,155,327"
"Dec 15, 2022","$1,788.40","$1,792.88","$1,759.84","$1,770.86","$255,336","$436,558,472"
"Dec 14, 2022","$1,790.47","$1,802.61","$1,781.31","$1,789.15","$391,198","$441,067,734"
"Dec 13, 2022","$1,761.07","$1,791.85","$1,751.77","$1,788.62","$900,735","$440,938,729"
"Dec 12, 2022","$1,779.57","$1,780.44","$1,756.97","$1,763.85","$309,299","$434,830,161"
"Dec 11, 2022","$1,782.89","$1,787.37","$1,773.92","$1,779.83","$314,744","$438,770,963"
"Dec 10, 2022","$1,784.91","$1,791.60","$1,779.00","$1,783.87","$120,544","$439,766,990"
"Dec 09, 2022","$1,776.52","$1,792.01","$1,774.11","$1,784.95","$189,181","$440,032,151"
"Dec 08, 2022","$1,776.44","$1,781.03","$1,768.97","$1,776.57","$249,754","$437,966,563"
"Dec 07, 2022","$1,762.05","$1,777.77","$1,753.89","$1,772.65","$735,264","$437,000,030"
"Dec 06, 2022","$1,765.79","$1,767.64","$1,756.18","$1,762.05","$124,016","$434,387,562"
"Dec 05, 2022","$1,782.12","$1,790.02","$1,761.27","$1,765.94","$187,747","$435,346,621"
"Dec 04, 2022","$1,782.77","$1,786.65","$1,778.04","$1,785.42","$103,129","$440,149,733"
"Dec 03, 2022","$1,779.08","$1,783.31","$1,772.51","$1,781.45","$108,713","$439,169,256"
