Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.3875,$0.3912,$0.38,$0.383,"$75,464,999","$574,250,487"
"Dec 30, 2022",$0.4017,$0.4022,$0.3819,$0.3875,"$106,067,124","$581,109,048"
"Dec 29, 2022",$0.4116,$0.4131,$0.3939,$0.4017,"$93,642,972","$602,356,026"
"Dec 28, 2022",$0.4383,$0.4388,$0.4088,$0.4116,"$105,242,843","$617,213,535"
"Dec 27, 2022",$0.4446,$0.4483,$0.4348,$0.4383,"$73,064,196","$657,206,581"
"Dec 26, 2022",$0.4424,$0.4461,$0.4382,$0.4446,"$64,206,394","$666,657,451"
"Dec 25, 2022",$0.4492,$0.4502,$0.4357,$0.4424,"$49,779,237","$663,433,869"
"Dec 24, 2022",$0.456,$0.456,$0.4468,$0.4492,"$40,718,576","$673,542,639"
"Dec 23, 2022",$0.4454,$0.4583,$0.4426,$0.456,"$78,784,360","$683,791,464"
"Dec 22, 2022",$0.441,$0.4497,$0.4246,$0.4454,"$79,867,574","$667,857,454"
"Dec 21, 2022",$0.4514,$0.4522,$0.4324,$0.4409,"$66,598,732","$661,119,179"
"Dec 20, 2022",$0.4313,$0.452,$0.4312,$0.4515,"$71,549,616","$676,935,834"
"Dec 19, 2022",$0.4725,$0.4767,$0.4266,$0.4312,"$89,411,101","$646,561,610"
"Dec 18, 2022",$0.4807,$0.4807,$0.4671,$0.4724,"$59,682,893","$708,384,035"
"Dec 17, 2022",$0.4696,$0.4811,$0.4692,$0.4807,"$98,254,001","$720,773,854"
"Dec 16, 2022",$0.5413,$0.543,$0.465,$0.4695,"$146,216,385","$704,030,721"
"Dec 15, 2022",$0.5548,$0.5568,$0.5397,$0.5413,"$89,433,749","$811,628,889"
"Dec 14, 2022",$0.5669,$0.5811,$0.5537,$0.5547,"$118,365,294","$831,825,055"
"Dec 13, 2022",$0.5588,$0.5733,$0.5364,$0.567,"$126,954,385","$850,162,067"
"Dec 12, 2022",$0.5651,$0.5651,$0.547,$0.5588,"$82,777,935","$837,887,791"
"Dec 11, 2022",$0.5824,$0.5852,$0.5631,$0.5651,"$61,452,019","$847,379,412"
"Dec 10, 2022",$0.5798,$0.5864,$0.579,$0.5824,"$59,369,275","$873,291,003"
"Dec 09, 2022",$0.5934,$0.594,$0.5781,$0.5798,"$76,684,721","$869,394,778"
"Dec 08, 2022",$0.5822,$0.5984,$0.5755,$0.5934,"$89,860,341","$889,739,525"
"Dec 07, 2022",$0.6145,$0.6222,$0.5712,$0.5822,"$134,014,004","$872,934,563"
"Dec 06, 2022",$0.6169,$0.619,$0.6022,$0.6144,"$126,380,120","$921,236,598"
"Dec 05, 2022",$0.5902,$0.6315,$0.5887,$0.6171,"$212,567,811","$925,325,259"
"Dec 04, 2022",$0.5774,$0.5913,$0.5771,$0.5904,"$66,296,023","$885,301,242"
"Dec 03, 2022",$0.6051,$0.6056,$0.5758,$0.5774,"$82,527,530","$865,766,260"
"Dec 02, 2022",$0.578,$0.6062,$0.5778,$0.6051,"$119,559,729","$907,400,594"
"Dec 01, 2022",$0.5902,$0.5943,$0.5748,$0.5778,"$89,325,651","$866,444,182"
"Nov 30, 2022",$0.5623,$0.5907,$0.5623,$0.5902,"$109,282,389","$884,948,682"
"Nov 29, 2022",$0.5533,$0.5709,$0.5486,$0.5623,"$88,953,755","$843,109,863"
"Nov 28, 2022",$0.5699,$0.5745,$0.5402,$0.5534,"$105,628,886","$829,760,210"
"Nov 27, 2022",$0.5647,$0.5896,$0.5634,$0.5699,"$93,761,717","$854,529,558"
"Nov 26, 2022",$0.564,$0.5801,$0.5591,$0.5647,"$79,540,821","$846,764,665"
"Nov 25, 2022",$0.5638,$0.5652,$0.5487,$0.5641,"$82,476,597","$845,832,317"
"Nov 24, 2022",$0.5714,$0.5902,$0.5558,$0.5639,"$129,750,792","$845,590,829"
"Nov 23, 2022",$0.5542,$0.5718,$0.5517,$0.5713,"$119,538,448","$856,706,327"
"Nov 22, 2022",$0.5339,$0.5547,$0.5207,$0.5541,"$130,953,027","$830,834,375"
"Nov 21, 2022",$0.5477,$0.5575,$0.5244,$0.534,"$153,012,664","$800,768,018"
"Nov 20, 2022",$0.5982,$0.6011,$0.5461,$0.5477,"$124,111,177","$821,248,901"
"Nov 19, 2022",$0.5796,$0.6173,$0.569,$0.5981,"$151,215,780","$896,898,551"
"Nov 18, 2022",$0.5794,$0.5895,$0.5719,$0.5795,"$81,850,488","$869,016,254"
"Nov 17, 2022",$0.5865,$0.5904,$0.5666,$0.5793,"$87,076,838","$868,684,789"
"Nov 16, 2022",$0.6016,$0.6073,$0.5727,$0.5864,"$107,864,517","$879,286,397"
"Nov 15, 2022",$0.5891,$0.6171,$0.581,$0.6016,"$145,787,580","$902,094,155"
"Nov 14, 2022",$0.5915,$0.6072,$0.5506,$0.5891,"$256,907,163","$883,362,557"
"Nov 13, 2022",$0.5935,$0.6415,$0.574,$0.5916,"$322,296,663","$887,127,495"
"Nov 12, 2022",$0.6335,$0.6347,$0.5919,$0.5935,"$161,418,869","$889,999,946"
"Nov 11, 2022",$0.6735,$0.6773,$0.6083,$0.6333,"$249,227,094","$949,654,861"
"Nov 10, 2022",$0.5677,$0.6817,$0.5618,$0.6736,"$374,281,074","$1,010,058,742"
"Nov 09, 2022",$0.7117,$0.7169,$0.5605,$0.5673,"$538,134,586","$850,690,092"
"Nov 08, 2022",$0.8404,$0.861,$0.6277,$0.7116,"$572,117,548","$1,067,089,939"
"Nov 07, 2022",$0.847,$0.8594,$0.8208,$0.8405,"$264,132,715","$1,260,293,015"
"Nov 06, 2022",$0.912,$0.9175,$0.8446,$0.847,"$250,360,521","$1,269,994,830"
"Nov 05, 2022",$0.8881,$0.9775,$0.8877,$0.9119,"$558,276,636","$1,367,356,799"
"Nov 04, 2022",$0.8105,$0.8906,$0.8083,$0.8884,"$354,569,299","$1,332,060,143"
"Nov 03, 2022",$0.8112,$0.8472,$0.805,$0.8106,"$291,124,003","$1,215,422,497"
"Nov 02, 2022",$0.8624,$0.8624,$0.7954,$0.8111,"$306,350,482","$1,216,169,729"
"Nov 01, 2022",$0.8749,$0.9107,$0.8626,$0.8628,"$316,532,034","$1,293,704,928"
"Oct 31, 2022",$0.8624,$0.9064,$0.8511,$0.875,"$480,485,843","$1,312,046,363"
"Oct 30, 2022",$0.8113,$0.9368,$0.8033,$0.8627,"$756,119,928","$1,293,586,816"
"Oct 29, 2022",$0.7981,$0.8318,$0.7975,$0.8115,"$245,764,541","$1,216,774,699"
"Oct 28, 2022",$0.7732,$0.8048,$0.7639,$0.7981,"$171,062,768","$1,196,711,401"
"Oct 27, 2022",$0.7796,$0.8164,$0.7687,$0.7733,"$231,917,072","$1,159,547,532"
"Oct 26, 2022",$0.7638,$0.7862,$0.7587,$0.7795,"$181,638,518","$1,168,860,116"
"Oct 25, 2022",$0.7352,$0.7788,$0.7345,$0.7641,"$154,425,193","$1,145,790,174"
"Oct 24, 2022",$0.7609,$0.7636,$0.7305,$0.7352,"$126,971,225","$1,102,421,881"
