Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.7283,$0.7363,$0.7181,$0.7218,"$8,609,285","$721,784,516"
"Dec 30, 2022",$0.7261,$0.7322,$0.7092,$0.7283,"$14,360,015","$728,349,580"
"Dec 29, 2022",$0.7513,$0.7525,$0.7164,$0.7261,"$10,889,096","$726,099,925"
"Dec 28, 2022",$0.7563,$0.7628,$0.7291,$0.7514,"$15,308,630","$751,352,187"
"Dec 27, 2022",$0.7751,$0.7779,$0.7494,$0.7564,"$8,015,875","$756,424,434"
"Dec 26, 2022",$0.7591,$0.7756,$0.7572,$0.7751,"$7,432,369","$775,083,918"
"Dec 25, 2022",$0.7753,$0.778,$0.7527,$0.7591,"$7,264,322","$759,108,244"
"Dec 24, 2022",$0.7777,$0.7842,$0.7725,$0.7753,"$4,086,262","$775,343,050"
"Dec 23, 2022",$0.7856,$0.7888,$0.7774,$0.7779,"$7,238,762","$777,851,259"
"Dec 22, 2022",$0.77,$0.7863,$0.7611,$0.7856,"$9,244,308","$785,591,890"
"Dec 21, 2022",$0.7747,$0.7753,$0.7566,$0.7699,"$7,975,562","$769,850,552"
"Dec 20, 2022",$0.734,$0.7766,$0.7317,$0.7748,"$11,779,172","$774,846,934"
"Dec 19, 2022",$0.7507,$0.76,$0.7219,$0.734,"$12,622,641","$733,989,321"
"Dec 18, 2022",$0.7529,$0.7593,$0.7448,$0.7505,"$7,075,215","$750,549,343"
"Dec 17, 2022",$0.7432,$0.7535,$0.7148,$0.7529,"$14,714,851","$752,879,259"
"Dec 16, 2022",$0.8226,$0.8401,$0.7342,$0.7432,"$24,664,750","$743,212,880"
"Dec 15, 2022",$0.8279,$0.8322,$0.8134,$0.8226,"$10,297,937","$822,588,547"
"Dec 14, 2022",$0.8454,$0.8534,$0.8247,$0.828,"$14,410,702","$827,958,806"
"Dec 13, 2022",$0.8281,$0.8482,$0.7968,$0.8451,"$22,960,125","$845,055,739"
"Dec 12, 2022",$0.8447,$0.8447,$0.813,$0.8282,"$14,769,020","$828,246,469"
"Dec 11, 2022",$0.8524,$0.8696,$0.8444,$0.8447,"$9,921,851","$844,660,533"
"Dec 10, 2022",$0.8581,$0.866,$0.8513,$0.8523,"$9,710,790","$852,337,898"
"Dec 09, 2022",$0.8763,$0.8801,$0.8539,$0.8579,"$11,138,612","$857,917,356"
"Dec 08, 2022",$0.8757,$0.8789,$0.8447,$0.8764,"$17,031,059","$876,402,667"
"Dec 07, 2022",$0.9029,$0.904,$0.8558,$0.8757,"$18,392,634","$875,674,180"
"Dec 06, 2022",$0.8775,$0.9038,$0.8746,$0.9027,"$13,546,519","$902,679,676"
"Dec 05, 2022",$0.8913,$0.9086,$0.8749,$0.8775,"$16,726,770","$877,450,017"
"Dec 04, 2022",$0.8865,$0.9015,$0.8854,$0.8915,"$13,565,279","$891,529,097"
"Dec 03, 2022",$0.9205,$0.923,$0.8793,$0.8865,"$11,326,857","$886,540,047"
"Dec 02, 2022",$0.9216,$0.9287,$0.9,$0.9205,"$16,421,126","$920,540,328"
"Dec 01, 2022",$0.9603,$0.9617,$0.9149,$0.9214,"$21,331,446","$921,375,632"
"Nov 30, 2022",$0.9266,$0.9652,$0.9246,$0.9601,"$26,592,529","$960,148,407"
"Nov 29, 2022",$0.9205,$0.9581,$0.9127,$0.9266,"$23,048,654","$926,591,450"
"Nov 28, 2022",$0.9545,$0.9575,$0.8887,$0.9208,"$25,288,285","$920,817,055"
"Nov 27, 2022",$0.9131,$0.9768,$0.9104,$0.9545,"$26,158,136","$954,516,542"
"Nov 26, 2022",$0.917,$0.9374,$0.9081,$0.9131,"$16,242,557","$913,123,478"
"Nov 25, 2022",$0.894,$0.9277,$0.8712,$0.9174,"$21,329,664","$917,422,843"
"Nov 24, 2022",$0.8866,$0.9,$0.8719,$0.8942,"$24,439,849","$894,186,274"
"Nov 23, 2022",$0.85,$0.8876,$0.8485,$0.8862,"$18,265,625","$886,214,445"
"Nov 22, 2022",$0.83,$0.851,$0.804,$0.8497,"$18,462,358","$849,731,352"
"Nov 21, 2022",$0.8472,$0.8532,$0.813,$0.8301,"$22,746,546","$830,050,095"
"Nov 20, 2022",$0.9021,$0.9115,$0.8435,$0.8471,"$17,490,493","$847,131,600"
"Nov 19, 2022",$0.9004,$0.9039,$0.8822,$0.902,"$9,860,316","$902,016,715"
"Nov 18, 2022",$0.8808,$0.9161,$0.8806,$0.9008,"$16,927,843","$900,802,508"
"Nov 17, 2022",$0.8954,$0.9015,$0.8691,$0.8808,"$14,404,706","$880,803,964"
"Nov 16, 2022",$0.9201,$0.9366,$0.8805,$0.8954,"$18,384,654","$895,397,258"
"Nov 15, 2022",$0.8962,$0.941,$0.8877,$0.9199,"$21,768,701","$919,910,430"
"Nov 14, 2022",$0.8748,$0.9079,$0.826,$0.8962,"$29,509,018","$896,197,346"
"Nov 13, 2022",$0.8918,$0.9128,$0.8645,$0.875,"$25,282,637","$875,010,038"
"Nov 12, 2022",$0.9521,$0.955,$0.8874,$0.8915,"$23,796,819","$891,497,611"
"Nov 11, 2022",$1.00,$1.02,$0.9253,$0.9519,"$37,335,944","$951,895,691"
"Nov 10, 2022",$0.8887,$1.03,$0.8788,$1.00,"$61,347,170","$1,004,075,895"
"Nov 09, 2022",$1.03,$1.04,$0.8584,$0.8887,"$71,368,935","$888,701,384"
"Nov 08, 2022",$1.21,$1.23,$0.9597,$1.03,"$85,529,836","$1,030,763,537"
"Nov 07, 2022",$1.20,$1.24,$1.17,$1.21,"$39,589,464","$1,210,120,305"
"Nov 06, 2022",$1.29,$1.32,$1.20,$1.20,"$40,984,803","$1,201,475,426"
"Nov 05, 2022",$1.29,$1.31,$1.27,$1.29,"$46,281,831","$1,286,771,197"
"Nov 04, 2022",$1.24,$1.33,$1.22,$1.29,"$64,945,672","$1,293,666,801"
"Nov 03, 2022",$1.15,$1.27,$1.14,$1.24,"$71,625,416","$1,235,317,767"
"Nov 02, 2022",$1.20,$1.24,$1.12,$1.15,"$60,466,678","$1,147,172,172"
"Nov 01, 2022",$1.17,$1.20,$1.15,$1.20,"$32,277,009","$1,202,593,210"
"Oct 31, 2022",$1.17,$1.19,$1.14,$1.17,"$36,391,686","$1,167,258,982"
"Oct 30, 2022",$1.24,$1.25,$1.16,$1.17,"$47,105,373","$1,174,244,609"
"Oct 29, 2022",$1.16,$1.25,$1.15,$1.25,"$68,622,527","$1,245,074,310"
"Oct 28, 2022",$1.11,$1.18,$1.10,$1.16,"$48,037,506","$1,156,068,284"
"Oct 27, 2022",$1.12,$1.15,$1.09,$1.11,"$37,988,803","$1,108,581,122"
"Oct 26, 2022",$1.08,$1.13,$1.08,$1.12,"$41,216,194","$1,121,339,114"
"Oct 25, 2022",$1.05,$1.09,$1.05,$1.08,"$53,189,324","$1,077,147,129"
"Oct 24, 2022",$1.02,$1.06,$0.9975,$1.05,"$36,107,922","$1,050,377,029"
"Oct 23, 2022",$0.9968,$1.03,$0.9837,$1.02,"$18,866,513","$1,020,838,903"
"Oct 22, 2022",$0.9947,$1.01,$0.9836,$0.9966,"$12,188,814","$996,592,488"
"Oct 21, 2022",$0.9787,$0.9956,$0.9443,$0.9946,"$20,741,078","$994,639,869"
"Oct 20, 2022",$0.9832,$1.01,$0.9685,$0.9787,"$18,354,216","$978,737,029"
"Oct 19, 2022",$1.01,$1.03,$0.9802,$0.9833,"$24,812,763","$983,299,413"
"Oct 18, 2022",$1.02,$1.03,$0.9799,$1.01,"$20,094,892","$1,009,006,086"
"Oct 17, 2022",$1.01,$1.02,$0.997,$1.02,"$15,516,799","$1,020,154,363"
"Oct 16, 2022",$0.9921,$1.01,$0.9919,$1.01,"$11,847,764","$1,006,650,055"
"Oct 15, 2022",$0.9907,$1.01,$0.986,$0.9922,"$10,884,148","$992,154,444"
"Oct 14, 2022",$1.01,$1.04,$0.9802,$0.9908,"$18,655,769","$990,846,612"
"Oct 13, 2022",$1.01,$1.02,$0.9262,$1.01,"$32,700,038","$1,006,697,228"
"Oct 12, 2022",$1.02,$1.03,$1.01,$1.01,"$13,385,197","$1,014,858,155"
"Oct 11, 2022",$1.02,$1.03,$0.9886,$1.02,"$21,654,785","$1,020,378,224"
"Oct 10, 2022",$1.06,$1.07,$1.02,$1.02,"$19,001,438","$1,019,462,496"
"Oct 09, 2022",$1.05,$1.06,$1.04,$1.06,"$10,431,792","$1,061,960,803"
"Oct 08, 2022",$1.06,$1.07,$1.05,$1.05,"$11,904,280","$1,052,529,680"
"Oct 07, 2022",$1.08,$1.08,$1.05,$1.06,"$16,870,439","$1,063,076,747"
"Oct 06, 2022",$1.09,$1.11,$1.07,$1.08,"$25,076,792","$1,075,023,197"
"Oct 05, 2022",$1.08,$1.09,$1.05,$1.09,"$16,407,517","$1,088,444,476"
"Oct 04, 2022",$1.07,$1.09,$1.06,$1.08,"$17,509,370","$1,082,624,000"
"Oct 03, 2022",$1.03,$1.07,$1.02,$1.07,"$19,114,010","$1,065,796,569"
"Oct 02, 2022",$1.06,$1.07,$1.03,$1.03,"$15,483,754","$1,030,243,357"
"Oct 01, 2022",$1.07,$1.08,$1.05,$1.06,"$15,731,018","$1,060,866,155"
"Sep 30, 2022",$1.09,$1.11,$1.07,$1.07,"$26,109,865","$1,074,354,895"
"Sep 29, 2022",$1.09,$1.10,$1.07,$1.09,"$27,382,738","$1,093,057,361"
"Sep 28, 2022",$1.09,$1.11,$1.06,$1.09,"$36,671,879","$1,091,176,766"
"Sep 27, 2022",$1.10,$1.15,$1.07,$1.09,"$51,359,029","$1,088,371,383"
"Sep 26, 2022",$1.08,$1.10,$1.06,$1.10,"$36,316,213","$1,095,467,293"
"Sep 25, 2022",$1.10,$1.13,$1.07,$1.08,"$28,244,183","$1,081,395,485"
"Sep 24, 2022",$1.14,$1.15,$1.10,$1.10,"$24,109,898","$1,102,071,372"
