Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.01517,$0.01958,$0.01516,$0.01614,"$13,693,299","$133,119,714"
"Dec 30, 2022",$0.01512,$0.01533,$0.01478,$0.01515,"$2,618,996","$124,941,323"
"Dec 29, 2022",$0.01513,$0.01532,$0.01473,$0.01513,"$2,088,294","$124,732,420"
"Dec 28, 2022",$0.01573,$0.01583,$0.01502,$0.01513,"$2,334,871","$124,771,803"
"Dec 27, 2022",$0.01591,$0.01601,$0.01554,$0.01573,"$1,957,196","$129,708,948"
"Dec 26, 2022",$0.01612,$0.01612,$0.01571,$0.0159,"$6,048,088","$131,104,014"
"Dec 25, 2022",$0.01652,$0.01652,$0.01592,$0.01611,"$3,107,033","$132,867,488"
"Dec 24, 2022",$0.01637,$0.0167,$0.01621,$0.01651,"$3,718,508","$136,131,847"
"Dec 23, 2022",$0.01619,$0.01724,$0.01609,$0.01637,"$6,843,665","$134,970,287"
"Dec 22, 2022",$0.0162,$0.01653,$0.01571,$0.01619,"$4,672,575","$133,478,832"
"Dec 21, 2022",$0.01627,$0.01651,$0.01592,$0.0162,"$4,281,895","$133,554,689"
"Dec 20, 2022",$0.01512,$0.01775,$0.01499,$0.01626,"$11,767,124","$134,092,980"
"Dec 19, 2022",$0.01603,$0.01605,$0.0149,$0.01512,"$3,818,161","$124,632,446"
"Dec 18, 2022",$0.01565,$0.01729,$0.01565,$0.01604,"$9,774,539","$132,294,057"
"Dec 17, 2022",$0.01573,$0.01604,$0.01511,$0.01565,"$3,031,110","$129,055,886"
"Dec 16, 2022",$0.01783,$0.01798,$0.0155,$0.01573,"$3,861,272","$129,718,317"
"Dec 15, 2022",$0.01839,$0.01839,$0.01769,$0.01783,"$3,043,936","$147,006,649"
"Dec 14, 2022",$0.01852,$0.01856,$0.01822,$0.01839,"$2,550,110","$151,606,829"
"Dec 13, 2022",$0.01884,$0.01886,$0.01766,$0.01853,"$5,574,178","$152,797,937"
"Dec 12, 2022",$0.01824,$0.01971,$0.01823,$0.01883,"$25,464,561","$155,279,978"
"Dec 11, 2022",$0.01869,$0.01872,$0.01825,$0.01825,"$3,815,956","$150,493,909"
"Dec 10, 2022",$0.01996,$0.01996,$0.01868,$0.01869,"$9,880,094","$154,071,438"
"Dec 09, 2022",$0.01815,$0.02261,$0.01815,$0.01998,"$66,837,613","$164,741,200"
"Dec 08, 2022",$0.01772,$0.02105,$0.01754,$0.01815,"$8,710,665","$149,662,285"
"Dec 07, 2022",$0.01832,$0.01836,$0.01727,$0.01765,"$3,685,083","$145,522,991"
"Dec 06, 2022",$0.0182,$0.01872,$0.01807,$0.01832,"$4,274,162","$151,076,607"
"Dec 05, 2022",$0.01846,$0.01869,$0.01808,$0.0182,"$3,818,410","$150,060,094"
"Dec 04, 2022",$0.0182,$0.01861,$0.01813,$0.01846,"$3,768,491","$152,209,161"
"Dec 03, 2022",$0.01846,$0.01855,$0.01812,$0.0182,"$3,734,502","$150,082,145"
"Dec 02, 2022",$0.01828,$0.01848,$0.01791,$0.01848,"$4,822,152","$152,355,739"
"Dec 01, 2022",$0.01868,$0.01972,$0.01814,$0.01828,"$8,231,487","$150,700,833"
"Nov 30, 2022",$0.01784,$0.01903,$0.01779,$0.01867,"$5,907,035","$153,914,363"
"Nov 29, 2022",$0.01766,$0.01795,$0.01753,$0.01784,"$5,463,788","$147,066,643"
"Nov 28, 2022",$0.01819,$0.01892,$0.01702,$0.01766,"$18,816,779","$145,577,110"
"Nov 27, 2022",$0.01807,$0.01845,$0.01791,$0.01819,"$13,721,477","$149,985,240"
"Nov 26, 2022",$0.01776,$0.01835,$0.01766,$0.01806,"$13,872,332","$148,945,343"
"Nov 25, 2022",$0.0178,$0.01801,$0.0171,$0.01776,"$13,071,335","$146,416,956"
"Nov 24, 2022",$0.01771,$0.01965,$0.01727,$0.01781,"$24,149,107","$146,875,281"
"Nov 23, 2022",$0.01701,$0.0178,$0.01698,$0.01771,"$13,905,027","$146,043,547"
"Nov 22, 2022",$0.01661,$0.01706,$0.01607,$0.01701,"$12,603,450","$140,264,548"
"Nov 21, 2022",$0.01729,$0.01752,$0.01624,$0.01661,"$12,543,946","$136,962,766"
"Nov 20, 2022",$0.01889,$0.02035,$0.01715,$0.01729,"$37,669,796","$142,573,623"
"Nov 19, 2022",$0.0168,$0.02418,$0.01673,$0.0189,"$131,709,354","$155,861,727"
"Nov 18, 2022",$0.01663,$0.01697,$0.01653,$0.01681,"$9,822,436","$138,566,931"
"Nov 17, 2022",$0.01682,$0.01699,$0.01626,$0.01662,"$8,971,266","$137,048,722"
"Nov 16, 2022",$0.01684,$0.01733,$0.01633,$0.01682,"$11,378,898","$138,659,763"
"Nov 15, 2022",$0.01627,$0.01725,$0.01624,$0.01684,"$11,642,942","$138,813,926"
"Nov 14, 2022",$0.01643,$0.01666,$0.01503,$0.01626,"$10,196,362","$134,076,335"
"Nov 13, 2022",$0.01777,$0.01784,$0.01594,$0.01642,"$11,374,919","$135,397,279"
"Nov 12, 2022",$0.0176,$0.01956,$0.01724,$0.01779,"$21,064,472","$146,712,737"
"Nov 11, 2022",$0.01848,$0.01884,$0.01705,$0.0176,"$9,383,143","$145,113,294"
"Nov 10, 2022",$0.01564,$0.01871,$0.01553,$0.01849,"$11,472,149","$152,435,695"
