Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$1.05,$1.08,$1.05,$1.07,"$1,280,841","$2,926,525"
"Dec 30, 2022",$1.07,$1.07,$1.04,$1.05,"$500,879","$2,859,300"
"Dec 29, 2022",$1.05,$1.07,$1.03,$1.07,"$594,343","$2,907,129"
"Dec 28, 2022",$1.07,$1.07,$1.04,$1.05,"$680,821","$2,853,833"
"Dec 27, 2022",$1.08,$1.08,$1.06,$1.07,"$1,235,363","$2,915,951"
"Dec 26, 2022",$1.08,$1.09,$1.07,$1.08,"$555,625","$2,943,140"
"Dec 25, 2022",$1.09,$1.09,$1.07,$1.08,"$636,112","$2,957,009"
"Dec 24, 2022",$1.08,$1.09,$1.08,$1.09,"$740,092","$2,968,868"
"Dec 23, 2022",$1.08,$1.10,$1.08,$1.08,"$1,876,990","$2,947,851"
"Dec 22, 2022",$1.09,$1.09,$1.07,$1.08,"$614,175","$2,946,162"
"Dec 21, 2022",$1.07,$1.09,$1.06,$1.09,"$2,204,808","$2,976,170"
"Dec 20, 2022",$1.05,$1.07,$1.04,$1.07,"$5,656,470","$2,922,581"
"Dec 19, 2022",$1.08,$1.09,$1.05,$1.05,"$1,812,627","$2,876,335"
"Dec 18, 2022",$1.09,$1.09,$1.08,$1.08,"$537,739","$2,955,124"
"Dec 17, 2022",$1.15,$1.15,$1.07,$1.09,"$728,881","$2,965,632"
"Dec 16, 2022",$1.24,$1.25,$1.14,$1.14,"$1,145,176","$3,119,857"
"Dec 15, 2022",$1.24,$1.27,$1.23,$1.24,"$1,147,609","$3,376,729"
"Dec 14, 2022",$1.23,$1.27,$1.22,$1.24,"$5,417,620","$3,384,663"
"Dec 13, 2022",$1.22,$1.23,$1.19,$1.23,"$3,593,140","$3,350,657"
"Dec 12, 2022",$1.23,$1.23,$1.20,$1.22,"$648,319","$3,320,893"
"Dec 11, 2022",$1.25,$1.26,$1.23,$1.23,"$4,642,066","$3,349,598"
"Dec 10, 2022",$1.21,$1.25,$1.20,$1.24,"$1,557,581","$3,393,279"
"Dec 09, 2022",$1.20,$1.22,$1.20,$1.21,"$3,070,190","$3,310,468"
"Dec 08, 2022",$1.19,$1.21,$1.18,$1.20,"$502,072","$3,267,146"
"Dec 07, 2022",$1.21,$1.21,$1.17,$1.19,"$779,728","$3,248,971"
"Dec 06, 2022",$1.21,$1.22,$1.20,$1.21,"$819,740","$3,293,598"
"Dec 05, 2022",$1.21,$1.22,$1.20,$1.21,"$730,164","$3,290,710"
"Dec 04, 2022",$1.21,$1.22,$1.21,$1.21,"$2,141,467","$3,303,459"
"Dec 03, 2022",$1.20,$1.22,$1.20,$1.21,"$379,892","$3,301,441"
"Dec 02, 2022",$1.21,$1.25,$1.20,$1.20,"$675,654","$3,280,745"
"Dec 01, 2022",$1.21,$1.24,$1.20,$1.21,"$1,872,829","$3,295,859"
"Nov 30, 2022",$1.20,$1.22,$1.19,$1.21,"$956,042","$3,289,535"
"Nov 29, 2022",$1.18,$1.20,$1.18,$1.20,"$503,039","$3,263,024"
"Nov 28, 2022",$1.22,$1.22,$1.18,$1.18,"$1,037,901","$3,226,357"
"Nov 27, 2022",$1.21,$1.22,$1.20,$1.22,"$1,290,492","$3,324,411"
"Nov 26, 2022",$1.21,$1.22,$1.20,$1.21,"$849,121","$3,299,301"
"Nov 25, 2022",$1.22,$1.22,$1.20,$1.21,"$1,396,060","$3,313,078"
"Nov 24, 2022",$1.25,$1.26,$1.21,$1.22,"$2,966,320","$3,327,636"
"Nov 23, 2022",$1.20,$1.25,$1.20,$1.25,"$4,013,592","$3,398,954"
"Nov 22, 2022",$1.17,$1.20,$1.14,$1.20,"$2,154,432","$3,278,143"
"Nov 21, 2022",$1.16,$1.20,$1.15,$1.17,"$9,281,556","$3,193,891"
"Nov 20, 2022",$1.19,$1.22,$1.16,$1.16,"$4,657,240","$3,162,123"
"Nov 19, 2022",$1.14,$1.21,$1.12,$1.19,"$5,866,789","$3,233,188"
"Nov 18, 2022",$1.12,$1.14,$1.12,$1.14,"$901,801","$3,112,339"
