Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$2.10,$2.19,$2.08,$2.18,"$37,417,672","$2,661,281,448"
"Dec 30, 2022",$2.11,$2.11,$2.02,$2.10,"$36,762,263","$2,562,251,446"
"Dec 29, 2022",$1.97,$2.20,$1.95,$2.11,"$42,770,874","$2,581,757,356"
"Dec 28, 2022",$2.15,$2.16,$1.96,$1.97,"$46,255,763","$2,400,131,491"
"Dec 27, 2022",$2.32,$2.34,$2.13,$2.15,"$54,264,490","$2,626,086,864"
"Dec 26, 2022",$2.43,$2.45,$2.32,$2.32,"$55,021,046","$2,831,148,730"
"Dec 25, 2022",$2.45,$2.46,$2.43,$2.43,"$60,397,926","$2,969,682,083"
"Dec 24, 2022",$2.39,$2.47,$2.37,$2.45,"$51,485,476","$2,987,528,246"
"Dec 23, 2022",$2.39,$2.44,$2.37,$2.39,"$45,503,109","$2,915,160,302"
"Dec 22, 2022",$2.52,$2.55,$2.33,$2.39,"$54,144,029","$2,922,709,013"
"Dec 21, 2022",$2.41,$2.60,$2.40,$2.52,"$47,880,747","$3,076,226,053"
"Dec 20, 2022",$2.29,$2.48,$2.26,$2.41,"$61,297,763","$2,941,465,664"
"Dec 19, 2022",$2.66,$2.80,$2.29,$2.29,"$61,710,144","$2,796,138,073"
"Dec 18, 2022",$2.51,$2.81,$2.51,$2.66,"$43,869,425","$3,245,887,994"
"Dec 17, 2022",$2.38,$2.55,$2.33,$2.51,"$59,664,694","$3,070,688,839"
"Dec 16, 2022",$2.25,$2.55,$2.25,$2.37,"$68,496,330","$2,897,815,065"
"Dec 15, 2022",$2.47,$2.52,$2.23,$2.25,"$69,497,396","$2,746,115,322"
"Dec 14, 2022",$2.34,$2.86,$2.34,$2.47,"$102,283,238","$3,019,716,550"
"Dec 13, 2022",$2.09,$2.38,$2.08,$2.34,"$75,566,051","$2,856,789,686"
"Dec 12, 2022",$2.04,$2.13,$1.97,$2.09,"$45,653,734","$2,552,823,354"
"Dec 11, 2022",$1.85,$2.15,$1.84,$2.04,"$39,215,816","$2,495,078,409"
"Dec 10, 2022",$1.86,$1.87,$1.84,$1.85,"$31,030,472","$2,263,064,272"
"Dec 09, 2022",$1.83,$1.86,$1.81,$1.86,"$26,603,823","$2,265,980,224"
"Dec 08, 2022",$1.82,$1.86,$1.82,$1.83,"$25,218,591","$2,233,638,616"
"Dec 07, 2022",$1.81,$1.89,$1.80,$1.82,"$25,719,602","$2,224,453,142"
"Dec 06, 2022",$1.84,$1.85,$1.79,$1.81,"$10,981,385","$2,214,032,280"
"Dec 05, 2022",$1.81,$1.85,$1.81,$1.84,"$6,587,259","$2,252,466,202"
"Dec 04, 2022",$1.80,$1.83,$1.80,$1.81,"$3,742,990","$2,216,062,911"
"Dec 03, 2022",$1.80,$1.81,$1.79,$1.80,"$4,878,618","$2,204,426,781"
"Dec 02, 2022",$1.81,$1.82,$1.77,$1.80,"$6,770,797","$2,201,014,829"
"Dec 01, 2022",$1.76,$1.82,$1.74,$1.81,"$9,046,817","$2,214,728,313"
"Nov 30, 2022",$1.72,$1.89,$1.72,$1.76,"$14,727,401","$2,154,769,054"
"Nov 29, 2022",$1.72,$1.73,$1.71,$1.72,"$4,337,960","$2,099,226,753"
"Nov 28, 2022",$1.73,$1.74,$1.70,$1.72,"$4,879,232","$2,099,725,445"
"Nov 27, 2022",$1.72,$1.74,$1.71,$1.73,"$3,695,703","$2,113,618,446"
"Nov 26, 2022",$1.72,$1.74,$1.71,$1.72,"$4,374,032","$2,099,376,128"
"Nov 25, 2022",$1.75,$1.75,$1.69,$1.72,"$5,583,191","$2,102,492,106"
"Nov 24, 2022",$1.77,$1.77,$1.70,$1.75,"$7,209,731","$2,134,830,543"
"Nov 23, 2022",$1.75,$1.77,$1.73,$1.76,"$5,566,757","$2,154,517,992"
"Nov 22, 2022",$1.72,$1.75,$1.70,$1.75,"$6,142,826","$2,133,368,377"
