Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.01785,$0.01832,$0.01764,$0.0177,"$716,097","$2,990,220"
"Dec 30, 2022",$0.01831,$0.0184,$0.0177,$0.01785,"$627,763","$3,014,601"
"Dec 29, 2022",$0.01835,$0.0185,$0.01815,$0.01831,"$554,227","$3,092,967"
"Dec 28, 2022",$0.01851,$0.01859,$0.01826,$0.01835,"$575,052","$3,098,950"
"Dec 27, 2022",$0.01857,$0.01865,$0.01825,$0.01851,"$591,087","$3,126,492"
"Dec 26, 2022",$0.01983,$0.0199,$0.01852,$0.01858,"$593,147","$3,137,409"
"Dec 25, 2022",$0.01991,$0.02054,$0.01924,$0.01981,"$615,997","$3,346,527"
"Dec 24, 2022",$0.01994,$0.0204,$0.01929,$0.01991,"$550,915","$3,362,202"
"Dec 23, 2022",$0.01965,$0.02014,$0.01927,$0.01994,"$595,338","$3,368,411"
"Dec 22, 2022",$0.01932,$0.01987,$0.0191,$0.01967,"$557,086","$3,322,105"
"Dec 21, 2022",$0.01961,$0.01964,$0.01897,$0.01931,"$462,284","$3,260,996"
"Dec 20, 2022",$0.01887,$0.01969,$0.0188,$0.01961,"$392,952","$3,312,293"
"Dec 19, 2022",$0.0196,$0.01978,$0.01863,$0.01886,"$657,852","$3,186,232"
"Dec 18, 2022",$0.01902,$0.01988,$0.01897,$0.0196,"$804,925","$3,309,958"
"Dec 17, 2022",$0.0191,$0.0193,$0.01866,$0.01903,"$733,193","$3,213,297"
"Dec 16, 2022",$0.01983,$0.02258,$0.01896,$0.0191,"$705,240","$3,225,931"
"Dec 15, 2022",$0.02071,$0.02075,$0.01975,$0.01983,"$559,074","$3,348,821"
"Dec 14, 2022",$0.02131,$0.02151,$0.02064,$0.0207,"$645,604","$3,495,674"
"Dec 13, 2022",$0.02104,$0.02191,$0.02066,$0.0213,"$624,446","$3,597,677"
"Dec 12, 2022",$0.01926,$0.02106,$0.01909,$0.02103,"$652,005","$3,552,205"
"Dec 11, 2022",$0.02018,$0.02067,$0.01925,$0.01926,"$608,360","$3,252,658"
"Dec 10, 2022",$0.02,$0.0204,$0.01999,$0.02018,"$609,586","$3,408,434"
"Dec 09, 2022",$0.0213,$0.02141,$0.01992,$0.02,"$578,340","$3,378,287"
"Dec 08, 2022",$0.02011,$0.02157,$0.01999,$0.0213,"$638,098","$3,597,446"
"Dec 07, 2022",$0.02141,$0.02144,$0.01999,$0.02011,"$563,063","$3,397,076"
"Dec 06, 2022",$0.02159,$0.02166,$0.02099,$0.0214,"$484,435","$3,615,113"
"Dec 05, 2022",$0.02253,$0.02258,$0.0214,$0.02159,"$678,903","$3,645,848"
"Dec 04, 2022",$0.02216,$0.02255,$0.02201,$0.02255,"$533,966","$3,808,068"
"Dec 03, 2022",$0.0235,$0.02362,$0.02209,$0.02214,"$549,755","$3,739,444"
"Dec 02, 2022",$0.02394,$0.02456,$0.02332,$0.02352,"$636,851","$3,973,220"
"Dec 01, 2022",$0.02873,$0.02875,$0.02389,$0.02392,"$739,095","$4,040,688"
"Nov 30, 2022",$0.0221,$0.03169,$0.02205,$0.02873,"$1,162,985","$4,851,829"
"Nov 29, 2022",$0.02169,$0.02237,$0.02136,$0.0221,"$431,703","$3,732,336"
"Nov 28, 2022",$0.0229,$0.02299,$0.02147,$0.0217,"$473,281","$3,664,617"
"Nov 27, 2022",$0.02155,$0.02347,$0.02155,$0.0229,"$382,964","$3,867,553"
"Nov 26, 2022",$0.02027,$0.0223,$0.02019,$0.02156,"$510,633","$3,642,122"
"Nov 25, 2022",$0.02162,$0.02162,$0.01981,$0.02027,"$458,284","$3,424,375"
"Nov 24, 2022",$0.0205,$0.02169,$0.02042,$0.02162,"$456,261","$3,650,926"
