Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$1.35,$1.44,$1.35,$1.42,"$55,320,363","$592,867,390"
"Dec 30, 2022",$1.34,$1.36,$1.29,$1.35,"$33,422,960","$563,629,836"
"Dec 29, 2022",$1.25,$1.38,$1.24,$1.34,"$64,537,386","$558,731,471"
"Dec 28, 2022",$1.34,$1.35,$1.25,$1.25,"$32,091,226","$521,944,688"
"Dec 27, 2022",$1.36,$1.38,$1.31,$1.34,"$30,009,500","$559,514,686"
"Dec 26, 2022",$1.37,$1.43,$1.33,$1.36,"$47,277,755","$566,041,747"
"Dec 25, 2022",$1.44,$1.44,$1.28,$1.37,"$80,475,783","$568,980,411"
"Dec 24, 2022",$1.49,$1.50,$1.43,$1.44,"$25,292,199","$601,495,043"
"Dec 23, 2022",$1.50,$1.53,$1.48,$1.49,"$25,606,881","$619,891,077"
"Dec 22, 2022",$1.53,$1.53,$1.46,$1.50,"$31,321,715","$622,971,850"
"Dec 21, 2022",$1.63,$1.63,$1.50,$1.53,"$38,752,986","$636,220,659"
"Dec 20, 2022",$1.47,$1.63,$1.47,$1.63,"$67,523,952","$678,441,177"
"Dec 19, 2022",$1.71,$1.72,$1.44,$1.47,"$73,997,010","$611,114,135"
"Dec 18, 2022",$1.69,$1.74,$1.62,$1.71,"$90,786,793","$711,272,173"
"Dec 17, 2022",$1.73,$1.74,$1.32,$1.69,"$181,847,110","$704,104,307"
"Dec 16, 2022",$2.14,$2.16,$1.67,$1.73,"$117,328,457","$719,604,485"
"Dec 15, 2022",$2.21,$2.22,$2.11,$2.14,"$50,769,204","$892,436,274"
"Dec 14, 2022",$2.24,$2.32,$2.20,$2.21,"$74,540,077","$921,981,975"
"Dec 13, 2022",$2.35,$2.36,$2.07,$2.24,"$148,631,390","$932,916,791"
"Dec 12, 2022",$2.65,$2.71,$2.20,$2.35,"$158,177,590","$980,875,412"
"Dec 11, 2022",$2.54,$2.72,$2.53,$2.65,"$71,640,634","$1,105,756,297"
"Dec 10, 2022",$2.57,$2.62,$2.54,$2.54,"$42,439,110","$1,057,664,118"
