Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.004613,$0.004723,$0.004593,$0.004663,"$62,215","$3,558,164"
"Dec 30, 2022",$0.004431,$0.004793,$0.004422,$0.004613,"$22,524","$3,519,896"
"Dec 29, 2022",$0.004685,$0.005031,$0.004413,$0.004431,"$91,393","$3,374,736"
"Dec 28, 2022",$0.005158,$0.005277,$0.00467,$0.004685,"$195,583","$3,567,940"
"Dec 27, 2022",$0.004839,$0.00529,$0.004794,$0.005158,"$205,055","$3,910,021"
"Dec 26, 2022",$0.005552,$0.005559,$0.004796,$0.00484,"$60,837","$3,668,668"
"Dec 25, 2022",$0.005648,$0.005649,$0.005185,$0.005552,"$62,695","$4,208,478"
"Dec 24, 2022",$0.005417,$0.005648,$0.004903,$0.005648,"$90,754","$4,281,635"
"Dec 23, 2022",$0.004781,$0.005427,$0.004772,$0.005417,"$172,458","$4,106,281"
"Dec 22, 2022",$0.004737,$0.005138,$0.004694,$0.004781,"$80,298","$3,624,026"
"Dec 21, 2022",$0.004867,$0.00487,$0.004732,$0.004737,"$52,387","$3,590,648"
"Dec 20, 2022",$0.004698,$0.00528,$0.004698,$0.004867,"$28,073","$3,689,484"
"Dec 19, 2022",$0.004973,$0.005421,$0.004698,$0.004698,"$85,168","$3,561,518"
"Dec 18, 2022",$0.004944,$0.005509,$0.00492,$0.004973,"$60,170","$3,769,809"
"Dec 17, 2022",$0.005405,$0.005583,$0.004833,$0.004944,"$263,352","$3,747,841"
"Dec 16, 2022",$0.005666,$0.005755,$0.005098,$0.005418,"$399,338","$4,106,832"
"Dec 15, 2022",$0.005741,$0.005812,$0.00521,$0.005666,"$398,312","$4,295,311"
"Dec 14, 2022",$0.005346,$0.006414,$0.005282,$0.005741,"$454,708","$4,352,036"
"Dec 13, 2022",$0.005734,$0.006407,$0.00532,$0.005366,"$423,672","$4,067,360"
"Dec 12, 2022",$0.006557,$0.006616,$0.005299,$0.005733,"$440,473","$4,346,050"
"Dec 11, 2022",$0.006935,$0.007294,$0.005392,$0.006541,"$2,278,730","$4,958,061"
"Dec 10, 2022",$0.005326,$0.00915,$0.005306,$0.006988,"$6,631,936","$5,296,996"
"Dec 09, 2022",$0.005208,$0.006607,$0.005205,$0.005295,"$112,360","$4,013,753"
"Dec 08, 2022",$0.005919,$0.006396,$0.005127,$0.005208,"$8,301","$3,947,590"
"Dec 07, 2022",$0.006349,$0.006355,$0.005104,$0.005919,"$42,643","$4,486,604"
"Dec 06, 2022",$0.005244,$0.006349,$0.005188,$0.006349,"$13,448","$4,812,957"
"Dec 05, 2022",$0.005127,$0.006522,$0.005127,$0.005243,"$35,170","$3,974,704"
"Dec 04, 2022",$0.005278,$0.006599,$0.00512,$0.005127,"$24,161","$3,886,247"
"Dec 03, 2022",$0.005932,$0.006414,$0.005167,$0.005278,"$144,753","$4,001,149"
"Dec 02, 2022",$0.005257,$0.006088,$0.005155,$0.005937,"$102,845","$4,500,354"
"Dec 01, 2022",$0.005319,$0.006573,$0.00522,$0.005257,"$41,886","$3,984,885"
"Nov 30, 2022",$0.006581,$0.006584,$0.00521,$0.005319,"$183,571","$4,031,990"
"Nov 29, 2022",$0.005166,$0.006625,$0.005139,$0.006524,"$228,923","$4,944,997"
"Nov 28, 2022",$0.005177,$0.006409,$0.005055,$0.005166,"$28,487","$3,915,764"
"Nov 27, 2022",$0.005309,$0.005372,$0.005133,$0.005177,"$17,553","$3,924,552"
"Nov 26, 2022",$0.005464,$0.005583,$0.004935,$0.005309,"$44,065","$4,024,491"
"Nov 25, 2022",$0.005561,$0.005778,$0.005398,$0.005464,"$56,683","$4,142,042"
"Nov 24, 2022",$0.00562,$0.006051,$0.005552,$0.005561,"$110,527","$4,215,435"
"Nov 23, 2022",$0.005758,$0.005936,$0.005482,$0.005619,"$25,275","$4,259,537"
"Nov 22, 2022",$0.005349,$0.005757,$0.005012,$0.005757,"$34,068","$4,364,133"
"Nov 21, 2022",$0.005476,$0.005636,$0.005016,$0.005349,"$75,406","$4,054,836"
"Nov 20, 2022",$0.005674,$0.005781,$0.00547,$0.005476,"$142,800","$4,150,634"
"Nov 19, 2022",$0.005382,$0.005719,$0.005334,$0.00568,"$400,977","$4,305,307"
"Nov 18, 2022",$0.005142,$0.005544,$0.005062,$0.005383,"$46,131","$4,080,369"
"Nov 17, 2022",$0.005147,$0.005247,$0.004928,$0.005141,"$78,082","$3,897,238"
"Nov 16, 2022",$0.005515,$0.005614,$0.004976,$0.005147,"$36,709","$3,901,756"
"Nov 15, 2022",$0.004773,$0.005727,$0.004719,$0.005518,"$80,565","$4,182,643"
"Nov 14, 2022",$0.005977,$0.005977,$0.004488,$0.004773,"$107,915","$3,618,304"
"Nov 13, 2022",$0.005845,$0.006191,$0.005671,$0.005977,"$58,449","$4,530,930"
"Nov 12, 2022",$0.00565,$0.006124,$0.005502,$0.005849,"$119,562","$4,433,342"
"Nov 11, 2022",$0.005522,$0.005673,$0.005419,$0.00565,"$127,206","$4,282,591"
"Nov 10, 2022",$0.005473,$0.00592,$0.005326,$0.005522,"$63,104","$4,186,121"
"Nov 09, 2022",$0.006549,$0.006676,$0.005392,$0.005473,"$106,453","$4,148,538"
"Nov 08, 2022",$0.007143,$0.007145,$0.006432,$0.006546,"$142,087","$4,962,135"
"Nov 07, 2022",$0.006898,$0.007318,$0.006627,$0.007143,"$30,624","$5,414,592"
"Nov 06, 2022",$0.007529,$0.00781,$0.006611,$0.006898,"$35,657","$5,228,592"
"Nov 05, 2022",$0.006702,$0.007674,$0.006687,$0.007529,"$37,839","$5,706,916"
"Nov 04, 2022",$0.00653,$0.007536,$0.006452,$0.006701,"$65,492","$5,079,881"
"Nov 03, 2022",$0.007484,$0.007586,$0.006442,$0.00653,"$84,553","$4,950,165"
"Nov 02, 2022",$0.006817,$0.007912,$0.006559,$0.007487,"$326,214","$5,450,552"
"Nov 01, 2022",$0.007057,$0.00754,$0.00661,$0.006817,"$112,912","$4,962,949"
"Oct 31, 2022",$0.006931,$0.007954,$0.006818,$0.007057,"$980,769","$5,137,813"
"Oct 30, 2022",$0.006642,$0.007604,$0.006521,$0.006931,"$27,661","$5,045,796"
