Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.0008747,$0.0008888,$0.0008654,$0.0008843,"$115,794","$1,250,861"
"Dec 30, 2022",$0.0008963,$0.0008986,$0.0008695,$0.0008731,"$194,220","$1,234,992"
"Dec 29, 2022",$0.0008857,$0.0009234,$0.0008644,$0.0008963,"$248,820","$1,261,421"
"Dec 28, 2022",$0.0009033,$0.0009079,$0.0008822,$0.0008857,"$308,580","$1,246,546"
"Dec 27, 2022",$0.0009088,$0.0009171,$0.0008959,$0.0009021,"$236,718","$1,269,677"
"Dec 26, 2022",$0.0008941,$0.0009135,$0.0008769,$0.0009135,"$191,003","$1,285,698"
"Dec 25, 2022",$0.0009179,$0.000924,$0.0008879,$0.0008947,"$129,471","$1,258,843"
"Dec 24, 2022",$0.0009988,$0.001003,$0.0009117,$0.0009179,"$239,652","$1,291,450"
"Dec 23, 2022",$0.0009261,$0.00105,$0.0009253,$0.0009987,"$203,573","$1,405,124"
"Dec 22, 2022",$0.00093,$0.001012,$0.0008945,$0.0009262,"$131,418","$1,300,507"
"Dec 21, 2022",$0.0009179,$0.0009542,$0.0009111,$0.0009291,"$160,091","$1,303,296"
"Dec 20, 2022",$0.0009012,$0.0009314,$0.0008978,$0.0009216,"$120,834","$1,292,642"
"Dec 19, 2022",$0.0009243,$0.0009404,$0.0008897,$0.0009012,"$110,912","$1,264,048"
"Dec 18, 2022",$0.0009526,$0.001113,$0.0008623,$0.0009243,"$151,692","$1,296,522"
"Dec 17, 2022",$0.0008324,$0.001018,$0.0008008,$0.0009537,"$133,275","$1,337,704"
"Dec 16, 2022",$0.0009664,$0.0009877,$0.000852,$0.0009637,"$109,416","$1,351,761"
"Dec 15, 2022",$0.0009579,$0.001081,$0.0009489,$0.000966,"$96,192","$1,321,071"
"Dec 14, 2022",$0.00097,$0.001064,$0.0009242,$0.0009588,"$128,205","$1,311,225"
"Dec 13, 2022",$0.0009882,$0.001024,$0.0009509,$0.0009689,"$116,939","$1,323,834"
"Dec 12, 2022",$0.001196,$0.001197,$0.0009469,$0.00099,"$125,571","$1,352,727"
"Dec 11, 2022",$0.001243,$0.00126,$0.001185,$0.001196,"$180,799","$1,600,539"
"Dec 10, 2022",$0.001099,$0.001437,$0.001095,$0.001243,"$235,424","$1,662,641"
"Dec 09, 2022",$0.001001,$0.001099,$0.0009899,$0.001099,"$198,321","$1,470,724"
"Dec 08, 2022",$0.0009617,$0.001001,$0.0009548,$0.001001,"$121,244","$1,339,063"
"Dec 07, 2022",$0.0009795,$0.001088,$0.0009487,$0.0009617,"$135,067","$1,286,466"
"Dec 06, 2022",$0.00107,$0.001072,$0.0009777,$0.0009787,"$72,548","$1,309,173"
"Dec 05, 2022",$0.0009871,$0.001196,$0.0009839,$0.00107,"$223,199","$1,431,953"
"Dec 04, 2022",$0.0009666,$0.001023,$0.0009654,$0.0009897,"$207,950","$1,323,994"
"Dec 03, 2022",$0.0009959,$0.001011,$0.0009588,$0.0009693,"$153,229","$1,296,617"
"Dec 02, 2022",$0.0009724,$0.0009964,$0.0009555,$0.0009964,"$159,809","$1,332,705"
"Dec 01, 2022",$0.001008,$0.001043,$0.0009679,$0.0009723,"$220,414","$1,300,389"
"Nov 30, 2022",$0.001005,$0.001053,$0.0009879,$0.001008,"$223,716","$1,348,266"
"Nov 29, 2022",$0.0009942,$0.001109,$0.0009664,$0.001005,"$189,375","$1,344,059"
"Nov 28, 2022",$0.001061,$0.001071,$0.0009908,$0.0009939,"$85,334","$1,323,568"
"Nov 27, 2022",$0.001027,$0.001142,$0.001025,$0.001061,"$54,351","$1,412,451"
"Nov 26, 2022",$0.0009886,$0.001049,$0.0009732,$0.001027,"$98,269","$1,366,854"
"Nov 25, 2022",$0.0009841,$0.001049,$0.0009641,$0.0009878,"$135,843","$1,314,498"
"Nov 24, 2022",$0.0009821,$0.00103,$0.0009747,$0.0009841,"$112,106","$1,309,631"
"Nov 23, 2022",$0.0009834,$0.001094,$0.0009587,$0.0009827,"$135,195","$1,307,804"
"Nov 22, 2022",$0.001012,$0.001055,$0.0009449,$0.0009868,"$120,202","$1,311,603"
"Nov 21, 2022",$0.001049,$0.001146,$0.001,$0.001012,"$131,107","$1,344,442"
"Nov 20, 2022",$0.001006,$0.001078,$0.001005,$0.001049,"$78,000","$1,378,853"
"Nov 19, 2022",$0.001002,$0.001013,$0.0009847,$0.001006,"$109,159","$1,320,812"
"Nov 18, 2022",$0.0009871,$0.00101,$0.0009794,$0.001002,"$119,280","$1,315,098"
"Nov 17, 2022",$0.0009631,$0.001022,$0.0009332,$0.0009865,"$170,277","$1,294,636"
"Nov 16, 2022",$0.0009556,$0.000971,$0.0009494,$0.0009635,"$106,690","$1,261,300"
"Nov 15, 2022",$0.001002,$0.001022,$0.00095,$0.0009554,"$133,849","$1,250,757"
"Nov 14, 2022",$0.001008,$0.001029,$0.0009741,$0.0009985,"$123,002","$1,297,020"
"Nov 13, 2022",$0.001018,$0.001036,$0.001005,$0.001007,"$45,138","$1,308,450"
"Nov 12, 2022",$0.001261,$0.001364,$0.0009596,$0.001019,"$87,877","$1,323,306"
"Nov 11, 2022",$0.001099,$0.001402,$0.001009,$0.001273,"$123,802","$1,653,169"
"Nov 10, 2022",$0.0009763,$0.001174,$0.0009703,$0.0011,"$58,655","$1,426,425"
"Nov 09, 2022",$0.001276,$0.00129,$0.000965,$0.0009798,"$85,421","$1,270,505"
"Nov 08, 2022",$0.00132,$0.001416,$0.001181,$0.001276,"$127,362","$1,654,224"
"Nov 07, 2022",$0.001274,$0.00135,$0.001273,$0.00132,"$85,351","$1,511,083"
"Nov 06, 2022",$0.001317,$0.001341,$0.001273,$0.001274,"$63,841","$1,457,984"
"Nov 05, 2022",$0.001357,$0.001364,$0.001305,$0.001318,"$67,458","$1,508,897"
"Nov 04, 2022",$0.001276,$0.001454,$0.001275,$0.001356,"$96,392","$1,551,320"
"Nov 03, 2022",$0.001266,$0.001317,$0.001255,$0.001282,"$81,655","$1,467,067"
"Nov 02, 2022",$0.001258,$0.001297,$0.001225,$0.001266,"$53,426","$1,448,902"
