Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.1534,$0.1546,$0.1455,$0.1515,"$87,591","$22,719,425"
"Dec 30, 2022",$0.1522,$0.1566,$0.1494,$0.1534,"$114,697","$23,006,200"
"Dec 29, 2022",$0.1484,$0.1535,$0.147,$0.1522,"$21,098","$22,824,759"
"Dec 28, 2022",$0.1557,$0.1564,$0.1478,$0.1484,"$37,407","$22,259,211"
"Dec 27, 2022",$0.1552,$0.1558,$0.1529,$0.1558,"$34,870","$23,365,347"
"Dec 26, 2022",$0.1592,$0.1593,$0.1538,$0.1552,"$9,674","$23,285,342"
"Dec 25, 2022",$0.1566,$0.1592,$0.1472,$0.1592,"$34,440","$23,876,178"
"Dec 24, 2022",$0.1539,$0.1675,$0.1535,$0.1566,"$47,748","$23,490,725"
"Dec 23, 2022",$0.1517,$0.1561,$0.147,$0.1538,"$32,931","$23,077,233"
"Dec 22, 2022",$0.1533,$0.1535,$0.1474,$0.1517,"$96,319","$22,754,778"
"Dec 21, 2022",$0.1424,$0.1592,$0.1402,$0.1533,"$212,484","$22,992,977"
"Dec 20, 2022",$0.1384,$0.1441,$0.1327,$0.1424,"$38,772","$21,356,423"
"Dec 19, 2022",$0.1434,$0.1445,$0.1328,$0.1384,"$29,967","$20,754,892"
"Dec 18, 2022",$0.1377,$0.1439,$0.1363,$0.1434,"$35,469","$21,508,006"
"Dec 17, 2022",$0.1388,$0.1393,$0.1333,$0.1377,"$28,559","$20,651,936"
"Dec 16, 2022",$0.148,$0.149,$0.135,$0.1387,"$12,932","$20,810,821"
"Dec 15, 2022",$0.1505,$0.1511,$0.1474,$0.148,"$30,577","$22,204,931"
"Dec 14, 2022",$0.1488,$0.1535,$0.1488,$0.1505,"$30,272","$22,571,466"
"Dec 13, 2022",$0.148,$0.1549,$0.143,$0.1488,"$101,584","$22,317,097"
"Dec 12, 2022",$0.1447,$0.148,$0.1417,$0.148,"$32,007","$22,199,621"
"Dec 11, 2022",$0.1454,$0.1487,$0.1436,$0.1447,"$13,267","$21,699,152"
"Dec 10, 2022",$0.1466,$0.1509,$0.1409,$0.1454,"$36,113","$21,806,886"
"Dec 09, 2022",$0.1456,$0.1481,$0.1437,$0.1466,"$13,457","$21,995,861"
"Dec 08, 2022",$0.1369,$0.1457,$0.1367,$0.1456,"$31,261","$21,842,228"
"Dec 07, 2022",$0.1503,$0.1503,$0.1353,$0.1369,"$86,738","$20,540,610"
"Dec 06, 2022",$0.1515,$0.1523,$0.1428,$0.1503,"$53,289","$22,548,815"
"Dec 05, 2022",$0.1488,$0.159,$0.1471,$0.1515,"$33,612","$22,720,829"
"Dec 04, 2022",$0.1362,$0.1493,$0.1362,$0.1488,"$49,883","$22,320,738"
"Dec 03, 2022",$0.141,$0.1421,$0.1361,$0.1362,"$29,128","$20,429,632"
"Dec 02, 2022",$0.1464,$0.1471,$0.1384,$0.141,"$99,337","$21,157,470"
"Dec 01, 2022",$0.1502,$0.1597,$0.1463,$0.1464,"$15,087","$21,955,496"
"Nov 30, 2022",$0.1429,$0.1515,$0.1429,$0.1502,"$82,632","$22,526,741"
"Nov 29, 2022",$0.134,$0.1465,$0.1321,$0.1429,"$29,687","$21,438,465"
"Nov 28, 2022",$0.1387,$0.1394,$0.1322,$0.134,"$36,177","$20,095,387"
"Nov 27, 2022",$0.14,$0.145,$0.1376,$0.1387,"$23,387","$20,812,465"
"Nov 26, 2022",$0.1478,$0.1516,$0.1391,$0.14,"$18,577","$21,005,059"
"Nov 25, 2022",$0.1462,$0.1491,$0.1394,$0.1479,"$28,118","$22,178,215"
"Nov 24, 2022",$0.1405,$0.1466,$0.1397,$0.1462,"$14,685","$21,933,144"
"Nov 23, 2022",$0.1311,$0.1443,$0.13,$0.1405,"$22,180","$21,075,663"
"Nov 22, 2022",$0.1254,$0.1346,$0.1239,$0.1311,"$78,394","$19,664,898"
"Nov 21, 2022",$0.1295,$0.1321,$0.1209,$0.1254,"$173,974","$18,806,575"
"Nov 20, 2022",$0.1369,$0.1374,$0.1276,$0.1296,"$56,651","$19,439,885"
"Nov 19, 2022",$0.1301,$0.1388,$0.1257,$0.1369,"$128,488","$20,535,001"
"Nov 18, 2022",$0.1424,$0.1458,$0.1258,$0.1302,"$90,728","$19,528,151"
"Nov 17, 2022",$0.1456,$0.1494,$0.14,$0.1424,"$84,231","$21,361,854"
"Nov 16, 2022",$0.1573,$0.1638,$0.1451,$0.1455,"$113,499","$21,822,579"
"Nov 15, 2022",$0.1613,$0.1658,$0.1548,$0.1573,"$34,123","$23,595,622"
"Nov 14, 2022",$0.1386,$0.168,$0.1326,$0.1614,"$51,351","$24,203,977"
"Nov 13, 2022",$0.1602,$0.1642,$0.1355,$0.1384,"$33,558","$20,756,726"
"Nov 12, 2022",$0.1707,$0.1713,$0.1533,$0.1602,"$34,954","$24,026,493"
"Nov 11, 2022",$0.1731,$0.1738,$0.1458,$0.1706,"$137,582","$25,591,393"
"Nov 10, 2022",$0.1441,$0.1931,$0.1432,$0.1732,"$148,251","$25,979,307"
"Nov 09, 2022",$0.1871,$0.1883,$0.1408,$0.1433,"$206,396","$21,491,571"
"Nov 08, 2022",$0.2012,$0.2025,$0.1651,$0.186,"$120,547","$27,898,877"
"Nov 07, 2022",$0.2077,$0.2114,$0.1903,$0.2012,"$42,277","$30,182,596"
"Nov 06, 2022",$0.2184,$0.223,$0.2075,$0.2078,"$47,128","$31,163,686"
"Nov 05, 2022",$0.217,$0.224,$0.2144,$0.2184,"$44,280","$32,761,933"
"Nov 04, 2022",$0.2006,$0.2189,$0.1898,$0.2176,"$52,158","$32,633,974"
"Nov 03, 2022",$0.2083,$0.2214,$0.1977,$0.2008,"$63,982","$30,118,804"
"Nov 02, 2022",$0.2147,$0.2223,$0.2008,$0.2083,"$56,828","$31,250,450"
"Nov 01, 2022",$0.2047,$0.2241,$0.2,$0.2147,"$44,818","$32,209,640"
"Oct 31, 2022",$0.2285,$0.2311,$0.1995,$0.2222,"$87,814","$33,330,078"
"Oct 30, 2022",$0.2128,$0.2386,$0.2117,$0.2256,"$58,646","$33,846,972"
"Oct 29, 2022",$0.2095,$0.2439,$0.2091,$0.2127,"$71,640","$31,905,892"
"Oct 28, 2022",$0.2141,$0.217,$0.202,$0.2095,"$116,843","$31,426,768"
"Oct 27, 2022",$0.2287,$0.2378,$0.2119,$0.2141,"$119,514","$32,122,441"
"Oct 26, 2022",$0.2258,$0.2403,$0.2223,$0.2305,"$146,340","$34,570,503"
"Oct 25, 2022",$0.2286,$0.2465,$0.2092,$0.2219,"$295,112","$33,285,365"
"Oct 24, 2022",$0.2137,$0.2426,$0.2014,$0.2286,"$197,720","$34,287,828"
"Oct 23, 2022",$0.1995,$0.2143,$0.1937,$0.2143,"$40,940","$32,137,853"
"Oct 22, 2022",$0.187,$0.2157,$0.1854,$0.1995,"$98,734","$29,921,527"
"Oct 21, 2022",$0.1857,$0.1901,$0.1726,$0.187,"$26,460","$28,055,051"
"Oct 20, 2022",$0.1831,$0.1873,$0.1745,$0.1856,"$23,004","$27,846,234"
"Oct 19, 2022",$0.1845,$0.1929,$0.1816,$0.1865,"$134,580","$27,968,822"
"Oct 18, 2022",$0.1834,$0.2106,$0.1793,$0.1821,"$239,430","$27,311,209"
"Oct 17, 2022",$0.1693,$0.2212,$0.1648,$0.1834,"$255,745","$27,510,460"
"Oct 16, 2022",$0.1473,$0.1741,$0.1467,$0.1693,"$124,890","$25,395,785"
"Oct 15, 2022",$0.1479,$0.1512,$0.1443,$0.1465,"$26,429","$21,980,023"
"Oct 14, 2022",$0.1471,$0.1546,$0.1463,$0.1479,"$77,456","$22,185,315"
"Oct 13, 2022",$0.1501,$0.1504,$0.1406,$0.1465,"$57,521","$21,981,446"
"Oct 12, 2022",$0.1404,$0.1518,$0.138,$0.1484,"$38,016","$22,261,947"
"Oct 11, 2022",$0.1441,$0.1472,$0.1377,$0.1389,"$57,173","$20,831,125"
"Oct 10, 2022",$0.1516,$0.1541,$0.1422,$0.1427,"$18,041","$21,406,118"
"Oct 09, 2022",$0.1421,$0.1577,$0.1409,$0.1516,"$19,049","$22,747,409"
"Oct 08, 2022",$0.1419,$0.1448,$0.1413,$0.1438,"$29,841","$21,566,941"
"Oct 07, 2022",$0.1559,$0.1824,$0.1376,$0.1419,"$51,291","$21,290,495"
"Oct 06, 2022",$0.1489,$0.1574,$0.1481,$0.1549,"$78,730","$23,239,852"
"Oct 05, 2022",$0.1408,$0.1495,$0.1384,$0.1481,"$43,196","$22,211,409"
"Oct 04, 2022",$0.1384,$0.1422,$0.1323,$0.1408,"$36,416","$21,123,891"
"Oct 03, 2022",$0.1382,$0.139,$0.1295,$0.1384,"$21,966","$20,757,419"
"Oct 02, 2022",$0.1407,$0.1458,$0.1372,$0.1378,"$12,993","$20,675,506"
"Oct 01, 2022",$0.1435,$0.1445,$0.1327,$0.1408,"$25,726","$21,118,272"
"Sep 30, 2022",$0.1487,$0.1494,$0.1393,$0.1428,"$59,980","$21,412,936"
"Sep 29, 2022",$0.1454,$0.1566,$0.1341,$0.1487,"$99,558","$22,308,070"
"Sep 28, 2022",$0.1398,$0.1469,$0.1306,$0.1454,"$93,960","$21,810,492"
"Sep 27, 2022",$0.1408,$0.1469,$0.1379,$0.1398,"$99,719","$20,977,431"
"Sep 26, 2022",$0.1391,$0.1433,$0.1365,$0.141,"$119,781","$21,142,547"
"Sep 25, 2022",$0.1416,$0.1454,$0.1379,$0.1391,"$120,210","$20,868,843"
"Sep 24, 2022",$0.1536,$0.1536,$0.1405,$0.1416,"$171,340","$21,246,296"
"Sep 23, 2022",$0.1527,$0.1544,$0.142,$0.1534,"$169,191","$23,015,098"
"Sep 22, 2022",$0.1405,$0.1537,$0.1396,$0.1526,"$201,332","$22,885,086"
"Sep 21, 2022",$0.1463,$0.1529,$0.1378,$0.1405,"$143,416","$21,078,667"
"Sep 20, 2022",$0.1466,$0.1523,$0.1455,$0.1463,"$164,494","$21,945,596"
"Sep 19, 2022",$0.1479,$0.1481,$0.1359,$0.1472,"$171,010","$22,075,219"
"Sep 18, 2022",$0.1447,$0.156,$0.1424,$0.1472,"$129,330","$22,082,386"
"Sep 17, 2022",$0.1474,$0.1502,$0.1436,$0.1447,"$140,611","$21,704,710"
"Sep 16, 2022",$0.148,$0.1491,$0.144,$0.1474,"$143,775","$22,112,177"
"Sep 15, 2022",$0.1587,$0.1594,$0.1446,$0.1479,"$116,559","$22,182,324"
"Sep 14, 2022",$0.1518,$0.1644,$0.1478,$0.1566,"$236,444","$23,485,076"
