Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022","$23,644.47","$25,251.27","$23,509.59","$25,170.57","$8,825","$7,601,511"
"Dec 30, 2022","$24,817.05","$24,840.57","$23,528.50","$23,627.39","$2,770","$7,135,471"
"Dec 29, 2022","$25,492.55","$25,492.55","$24,505.49","$24,817.05","$2,357","$7,494,750"
"Dec 28, 2022","$25,488.60","$25,492.55","$25,488.60","$25,492.55",$0,"$7,698,751"
"Dec 27, 2022","$25,822.79","$25,931.07","$25,327.79","$25,491.96",$0,"$7,698,572"
"Dec 26, 2022","$25,086.08","$25,850.16","$25,010.27","$25,826.15","$1,121","$7,799,498"
"Dec 25, 2022","$25,133.12","$25,155.31","$24,740.44","$25,063.55",$63,"$7,569,193"
"Dec 24, 2022","$25,115.75","$25,243.21","$25,012.11","$25,133.12",$0,"$7,590,203"
"Dec 23, 2022","$25,241.05","$25,473.25","$25,081.41","$25,121.71",$22,"$7,586,755"
"Dec 22, 2022","$26,510.39","$26,702.93","$18,408.62","$25,263.11","$108,359","$7,629,459"
"Dec 21, 2022","$26,429.01","$26,602.83","$26,161.00","$26,497.84",$631,"$8,002,349"
"Dec 20, 2022","$25,397.60","$26,931.51","$25,334.88","$26,417.20","$4,771","$7,977,996"
"Dec 19, 2022","$24,959.25","$25,675.95","$24,300.20","$25,397.60","$10,781","$7,670,077"
"Dec 18, 2022","$24,574.65","$25,186.46","$24,209.65","$24,959.25","$9,015","$7,537,694"
"Dec 17, 2022","$24,594.56","$25,035.75","$24,269.42","$24,569.22",$568,"$7,419,904"
"Dec 16, 2022","$26,446.43","$26,724.38","$24,410.29","$24,606.18","$1,213","$7,431,065"
"Dec 15, 2022","$27,832.68","$27,882.62","$26,340.00","$26,442.33","$6,781","$7,985,585"
"Dec 14, 2022","$27,657.71","$28,927.14","$26,779.01","$27,808.03","$57,014","$8,398,024"
"Dec 13, 2022","$26,558.53","$28,113.52","$25,830.07","$27,648.46","$1,534","$8,349,836"
"Dec 12, 2022","$26,558.57","$26,558.57","$26,558.53","$26,558.53",$0,"$8,020,676"
"Dec 11, 2022","$26,633.57","$26,983.00","$26,476.95","$26,558.57",$0,"$8,020,689"
"Dec 10, 2022","$28,168.96","$28,291.06","$26,581.21","$26,633.57","$8,856","$8,043,338"
"Dec 09, 2022","$27,901.55","$28,314.50","$27,550.48","$28,168.96","$1,193","$8,507,026"
"Dec 08, 2022","$25,469.61","$28,073.25","$25,442.99","$27,901.55","$46,753","$8,426,269"
"Dec 07, 2022","$25,253.53","$25,516.60","$24,236.38","$25,469.61","$9,637","$7,691,822"
"Dec 06, 2022","$25,460.25","$25,657.67","$24,638.69","$25,244.13",$411,"$7,623,727"
"Dec 05, 2022","$25,879.75","$26,360.51","$25,240.13","$25,460.25",$1,"$7,688,994"
"Dec 04, 2022","$25,089.50","$25,902.03","$25,053.95","$25,896.00",$0,"$7,820,593"
"Dec 03, 2022","$25,617.73","$25,936.75","$25,019.88","$25,065.29",$242,"$7,569,719"
"Dec 02, 2022","$24,384.12","$25,642.68","$24,123.71","$25,642.68","$7,715","$7,744,091"
