Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$4.39,$4.61,$4.23,$4.60,"$2,392,094","$45,970,929"
"Dec 30, 2022",$4.42,$4.45,$4.28,$4.39,"$2,328,372","$43,907,752"
"Dec 29, 2022",$4.41,$4.47,$4.32,$4.42,"$2,373,808","$44,169,128"
"Dec 28, 2022",$4.43,$4.46,$4.36,$4.41,"$2,212,180","$44,109,983"
"Dec 27, 2022",$4.46,$4.47,$4.39,$4.43,"$2,276,667","$44,343,339"
"Dec 26, 2022",$4.42,$4.45,$4.33,$4.45,"$2,154,819","$44,549,212"
"Dec 25, 2022",$4.39,$4.43,$4.27,$4.42,"$2,135,559","$44,238,283"
"Dec 24, 2022",$4.27,$4.44,$4.21,$4.39,"$2,208,135","$43,872,081"
"Dec 23, 2022",$4.45,$4.46,$4.20,$4.27,"$2,149,061","$42,729,409"
"Dec 22, 2022",$4.45,$4.46,$4.36,$4.45,"$2,383,653","$44,455,309"
"Dec 21, 2022",$4.49,$4.50,$4.43,$4.45,"$2,606,546","$44,513,641"
"Dec 20, 2022",$4.29,$4.50,$4.28,$4.49,"$2,515,322","$44,937,865"
"Dec 19, 2022",$4.41,$4.44,$4.24,$4.29,"$2,456,836","$42,881,139"
"Dec 18, 2022",$4.44,$4.45,$4.35,$4.41,"$2,524,393","$44,092,466"
"Dec 17, 2022",$4.36,$4.44,$4.33,$4.44,"$2,516,205","$44,373,154"
"Dec 16, 2022",$4.64,$4.68,$4.31,$4.36,"$2,738,159","$43,644,888"
"Dec 15, 2022",$4.78,$4.79,$4.64,$4.64,"$2,654,544","$46,407,988"
"Dec 14, 2022",$4.78,$4.88,$4.77,$4.78,"$2,853,288","$47,841,612"
"Dec 13, 2022",$4.65,$4.80,$4.61,$4.78,"$2,771,675","$47,769,594"
"Dec 12, 2022",$4.84,$5.17,$4.65,$4.65,"$4,038,821","$46,510,026"
"Dec 11, 2022",$4.78,$4.86,$4.76,$4.84,"$408,196","$48,446,227"
"Dec 10, 2022",$5.27,$5.28,$4.77,$4.78,"$436,887","$47,803,299"
"Dec 09, 2022",$5.27,$5.29,$5.27,$5.27,"$337,583","$52,731,575"
"Dec 08, 2022",$5.28,$5.30,$5.27,$5.27,"$308,700","$52,699,796"
"Dec 07, 2022",$5.38,$5.39,$5.25,$5.28,"$4,014,329","$52,837,031"
"Dec 06, 2022",$5.38,$5.39,$5.34,$5.38,"$4,028,333","$53,773,476"
"Dec 05, 2022",$5.46,$5.57,$5.36,$5.38,"$3,903,010","$53,795,167"
"Dec 04, 2022",$5.44,$5.53,$5.44,$5.46,"$4,106,841","$54,631,759"
"Dec 03, 2022",$5.56,$5.57,$5.42,$5.44,"$4,170,245","$54,358,567"
"Dec 02, 2022",$5.78,$5.78,$5.52,$5.56,"$4,207,065","$55,605,919"
"Dec 01, 2022",$6.04,$6.07,$5.77,$5.78,"$4,218,397","$57,774,353"
"Nov 30, 2022",$5.73,$6.07,$5.73,$6.05,"$4,439,929","$60,450,373"
"Nov 29, 2022",$5.67,$5.77,$5.63,$5.73,"$4,236,170","$57,298,365"
"Nov 28, 2022",$5.77,$5.77,$5.62,$5.67,"$4,551,931","$56,679,150"
"Nov 27, 2022",$5.54,$5.82,$5.53,$5.77,"$4,350,574","$57,676,098"
