Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.1109,$0.1138,$0.1098,$0.113,"$255,989","$3,491,398"
"Dec 30, 2022",$0.1137,$0.1141,$0.1104,$0.1109,"$74,651","$3,427,907"
"Dec 29, 2022",$0.1152,$0.1159,$0.1122,$0.1137,"$40,655","$3,512,871"
"Dec 28, 2022",$0.1197,$0.1198,$0.1147,$0.1152,"$13,949","$3,559,195"
"Dec 27, 2022",$0.1225,$0.1227,$0.1192,$0.1197,"$14,458","$3,698,532"
"Dec 26, 2022",$0.1214,$0.1225,$0.1208,$0.1225,"$1,760","$3,785,301"
"Dec 25, 2022",$0.1201,$0.1214,$0.1198,$0.1214,"$4,134","$3,752,851"
"Dec 24, 2022",$0.1205,$0.1209,$0.1197,$0.1201,"$123,756","$3,711,473"
"Dec 23, 2022",$0.1218,$0.1226,$0.1204,$0.1205,"$4,133","$3,725,566"
"Dec 22, 2022",$0.1213,$0.1222,$0.1193,$0.1218,"$5,653","$3,763,309"
"Dec 21, 2022",$0.1221,$0.1224,$0.1197,$0.1213,"$80,501","$3,749,799"
"Dec 20, 2022",$0.1175,$0.1237,$0.1172,$0.1221,"$469,558","$3,774,378"
"Dec 19, 2022",$0.121,$0.1226,$0.1165,$0.1175,"$206,727","$3,630,433"
"Dec 18, 2022",$0.1223,$0.1227,$0.1207,$0.121,"$74,598","$3,738,509"
"Dec 17, 2022",$0.1196,$0.1226,$0.1181,$0.1223,"$50,839","$3,780,145"
"Dec 16, 2022",$0.1309,$0.1325,$0.1182,$0.1197,"$263,079","$3,698,777"
"Dec 15, 2022",$0.1365,$0.1365,$0.1303,$0.1308,"$27,646","$4,044,187"
"Dec 14, 2022",$0.1402,$0.1407,$0.1363,$0.1365,"$88,918","$4,218,043"
"Dec 13, 2022",$0.1357,$0.1422,$0.1319,$0.1402,"$214,487","$4,332,384"
"Dec 12, 2022",$0.1362,$0.1362,$0.1328,$0.1357,"$26,687","$4,194,549"
"Dec 11, 2022",$0.139,$0.1409,$0.136,$0.1362,$599,"$4,208,916"
"Dec 10, 2022",$0.1391,$0.1401,$0.137,$0.139,"$118,003","$4,295,444"
"Dec 09, 2022",$0.1421,$0.1428,$0.1382,$0.1391,"$90,017","$4,299,415"
"Dec 08, 2022",$0.1397,$0.143,$0.138,$0.1421,"$106,932","$4,391,481"
