Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.0793,$0.08341,$0.07725,$0.07739,"$41,287","$17,368,477"
"Dec 30, 2022",$0.0767,$0.09489,$0.07551,$0.07931,"$484,164","$17,799,447"
"Dec 29, 2022",$0.0756,$0.07672,$0.07529,$0.0767,"$7,589","$17,214,862"
"Dec 28, 2022",$0.07679,$0.07744,$0.07552,$0.07568,"$7,483","$16,984,195"
"Dec 27, 2022",$0.08037,$0.0805,$0.07666,$0.07678,"$36,924","$17,231,829"
"Dec 26, 2022",$0.07711,$0.08724,$0.07593,$0.08042,"$109,992","$18,048,033"
"Dec 25, 2022",$0.07849,$0.07867,$0.07574,$0.07711,"$15,149","$17,305,910"
"Dec 24, 2022",$0.07628,$0.0792,$0.07529,$0.07849,"$42,163","$17,615,758"
"Dec 23, 2022",$0.07525,$0.07633,$0.07512,$0.0763,"$7,112","$17,123,190"
"Dec 22, 2022",$0.07615,$0.07668,$0.07416,$0.07526,"$60,491","$16,891,987"
"Dec 21, 2022",$0.07659,$0.07773,$0.07445,$0.07617,"$30,673","$17,094,397"
"Dec 20, 2022",$0.07292,$0.07666,$0.07277,$0.0766,"$4,333","$17,192,686"
"Dec 19, 2022",$0.07572,$0.07703,$0.07196,$0.07292,"$29,842","$16,365,313"
"Dec 18, 2022",$0.07659,$0.07707,$0.07528,$0.07573,"$40,339","$16,996,629"
"Dec 17, 2022",$0.07661,$0.07695,$0.07184,$0.07657,"$205,139","$17,184,188"
"Dec 16, 2022",$0.08273,$0.08279,$0.07633,$0.07663,"$105,564","$17,198,211"
"Dec 15, 2022",$0.08501,$0.08505,$0.08216,$0.08273,"$546,173","$18,567,188"
"Dec 14, 2022",$0.08596,$0.08684,$0.08447,$0.08499,"$75,392","$19,074,240"
"Dec 13, 2022",$0.08942,$0.08956,$0.08478,$0.08569,"$189,057","$19,232,741"
"Dec 12, 2022",$0.08705,$0.09479,$0.08588,$0.08938,"$45,335","$20,060,135"
"Dec 11, 2022",$0.08637,$0.08979,$0.08559,$0.08706,"$65,568","$19,540,230"
"Dec 10, 2022",$0.08283,$0.09727,$0.08283,$0.08637,"$268,043","$19,384,728"
"Dec 09, 2022",$0.08315,$0.08502,$0.08252,$0.08284,"$9,890","$18,591,135"
