Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$3.94,$4.15,$3.84,$3.85,"$4,474,789","$54,921,535"
"Dec 30, 2022",$3.81,$4.72,$3.75,$3.94,"$9,920,520","$56,284,321"
"Dec 29, 2022",$3.76,$3.81,$3.74,$3.81,"$1,431,054","$54,435,783"
"Dec 28, 2022",$3.82,$3.85,$3.75,$3.76,"$1,415,615","$53,706,380"
"Dec 27, 2022",$4.00,$4.00,$3.81,$3.82,"$2,063,181","$54,489,434"
"Dec 26, 2022",$3.83,$4.34,$3.78,$4.00,"$4,720,409","$57,070,386"
"Dec 25, 2022",$3.90,$3.91,$3.77,$3.83,"$1,245,652","$54,723,690"
"Dec 24, 2022",$3.79,$3.94,$3.74,$3.90,"$1,708,037","$55,703,469"
"Dec 23, 2022",$3.74,$3.79,$3.74,$3.79,"$1,077,171","$54,145,904"
"Dec 22, 2022",$3.79,$3.81,$3.69,$3.75,"$1,542,945","$53,529,284"
"Dec 21, 2022",$3.81,$3.87,$3.70,$3.79,"$1,579,387","$54,054,854"
"Dec 20, 2022",$3.63,$3.81,$3.62,$3.81,"$1,468,335","$54,365,660"
"Dec 19, 2022",$3.77,$3.83,$3.58,$3.63,"$1,430,506","$44,127,471"
"Dec 18, 2022",$3.81,$3.83,$3.74,$3.77,"$1,054,351","$45,829,755"
"Dec 17, 2022",$3.81,$3.83,$3.57,$3.81,"$2,281,461","$46,335,487"
"Dec 16, 2022",$4.11,$4.12,$3.80,$3.81,"$2,256,321","$46,373,299"
"Dec 15, 2022",$4.23,$4.23,$4.09,$4.11,"$2,168,680","$50,064,613"
"Dec 14, 2022",$4.27,$4.32,$4.20,$4.23,"$1,997,697","$51,431,830"
"Dec 13, 2022",$4.45,$4.45,$4.22,$4.26,"$3,566,095","$51,859,213"
"Dec 12, 2022",$4.33,$4.71,$4.27,$4.44,"$5,809,189","$54,090,201"
"Dec 11, 2022",$4.29,$4.46,$4.26,$4.33,"$4,759,315","$52,688,326"
"Dec 10, 2022",$4.12,$4.84,$4.12,$4.29,"$11,127,527","$52,269,031"
"Dec 09, 2022",$4.13,$4.23,$4.10,$4.12,"$1,542,832","$50,129,184"
"Dec 08, 2022",$4.05,$4.16,$3.97,$4.13,"$2,181,690","$50,323,134"
"Dec 07, 2022",$4.24,$4.29,$4.03,$4.05,"$1,599,336","$49,250,324"
"Dec 06, 2022",$4.20,$4.25,$4.13,$4.24,"$1,696,276","$51,581,771"
"Dec 05, 2022",$4.30,$4.41,$4.19,$4.20,"$2,044,807","$51,174,568"
"Dec 04, 2022",$4.13,$4.34,$4.11,$4.30,"$2,113,667","$52,292,424"
"Dec 03, 2022",$4.17,$4.21,$4.11,$4.12,"$1,596,824","$50,110,089"
