Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$37.15,$49.10,$27.41,$40.44,"$39,677","$86,927,310"
"Dec 30, 2022",$39.53,$39.67,$35.44,$37.15,"$12,821","$79,860,998"
"Dec 29, 2022",$44.37,$46.01,$36.69,$39.53,"$25,497","$84,982,368"
"Dec 28, 2022",$39.23,$44.72,$37.73,$44.37,"$11,095","$95,379,138"
"Dec 27, 2022",$44.00,$44.29,$39.09,$39.23,"$4,446","$84,329,088"
"Dec 26, 2022",$40.08,$44.14,$39.12,$44.01,"$12,897","$94,601,492"
"Dec 25, 2022",$38.59,$40.50,$37.71,$40.08,"$26,673","$86,168,559"
"Dec 24, 2022",$39.43,$40.22,$38.45,$38.59,"$27,787","$82,956,115"
"Dec 23, 2022",$42.40,$42.84,$39.40,$39.43,"$8,575","$84,753,979"
"Dec 22, 2022",$43.09,$43.84,$38.22,$42.40,"$14,065","$91,135,243"
"Dec 21, 2022",$42.04,$45.46,$40.43,$43.07,"$16,613","$92,578,865"
"Dec 20, 2022",$42.16,$44.22,$39.63,$42.05,"$8,805","$90,386,056"
"Dec 19, 2022",$42.28,$42.68,$40.63,$42.15,"$26,575","$90,608,044"
"Dec 18, 2022",$39.28,$45.20,$33.95,$42.28,"$12,150","$90,896,200"
"Dec 17, 2022",$41.54,$41.78,$38.10,$39.28,"$18,280","$84,429,873"
"Dec 16, 2022",$47.11,$47.39,$41.36,$41.55,"$7,342","$89,311,804"
"Dec 15, 2022",$41.81,$48.50,$41.77,$47.10,"$11,880","$101,249,756"
"Dec 14, 2022",$49.60,$60.68,$41.76,$41.77,"$8,423","$89,794,996"
"Dec 13, 2022",$50.85,$51.85,$49.25,$49.60,"$19,221","$106,622,090"
"Dec 12, 2022",$48.14,$52.44,$44.31,$50.85,"$15,858","$109,302,933"
"Dec 11, 2022",$52.92,$53.14,$48.11,$48.15,"$14,501","$103,508,909"
"Dec 10, 2022",$50.06,$53.67,$49.99,$52.92,"$10,144","$113,755,977"
"Dec 09, 2022",$52.62,$52.78,$49.13,$50.05,"$11,339","$107,595,606"
"Dec 08, 2022",$52.15,$52.69,$43.21,$52.63,"$31,048","$113,130,258"
"Dec 07, 2022",$52.98,$53.22,$50.33,$52.15,"$6,458","$112,095,397"
"Dec 06, 2022",$55.38,$58.78,$52.45,$52.98,"$17,741","$113,897,272"
"Dec 05, 2022",$55.65,$60.52,$55.13,$55.37,"$13,129","$119,027,699"
"Dec 04, 2022",$57.99,$58.72,$54.62,$55.69,"$6,933","$119,718,917"
"Dec 03, 2022",$61.66,$62.15,$56.12,$57.99,"$20,082","$124,657,320"
"Dec 02, 2022",$53.74,$63.13,$53.59,$61.72,"$14,892","$132,668,003"
"Dec 01, 2022",$61.32,$62.05,$53.55,$53.67,"$25,322","$115,381,939"
"Nov 30, 2022",$51.24,$62.20,$50.91,$61.32,"$34,557","$131,820,141"
"Nov 29, 2022",$59.09,$62.52,$51.03,$51.24,"$25,347","$110,142,028"
"Nov 28, 2022",$57.31,$60.34,$55.09,$58.96,"$14,905","$126,738,091"
"Nov 27, 2022",$59.28,$67.11,$57.14,$57.31,"$18,005","$123,198,974"
"Nov 26, 2022",$51.55,$59.39,$50.81,$59.31,"$28,226","$127,502,838"
"Nov 25, 2022",$59.98,$71.42,$51.45,$51.55,"$23,944","$110,820,484"
"Nov 24, 2022",$58.72,$63.64,$58.52,$59.99,"$25,529","$128,952,168"
"Nov 23, 2022",$56.31,$63.04,$56.08,$58.71,"$16,291","$126,208,323"
"Nov 22, 2022",$61.30,$62.00,$53.86,$56.32,"$22,473","$121,068,703"
"Nov 21, 2022",$63.99,$64.00,$60.29,$61.29,"$33,991","$131,759,844"
"Nov 20, 2022",$70.51,$71.28,$58.01,$61.71,"$25,223","$132,657,396"
