Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.02544,$0.0263,$0.02523,$0.02568,"$1,423,565","$19,776,585"
"Dec 30, 2022",$0.0262,$0.02648,$0.02512,$0.02544,"$1,467,409","$19,589,545"
"Dec 29, 2022",$0.0264,$0.02654,$0.0259,$0.0262,"$1,429,642","$20,171,726"
"Dec 28, 2022",$0.02715,$0.02723,$0.02612,$0.0264,"$1,807,816","$20,329,573"
"Dec 27, 2022",$0.02751,$0.02835,$0.0268,$0.02715,"$2,538,306","$20,907,494"
"Dec 26, 2022",$0.02662,$0.02855,$0.02639,$0.02751,"$3,411,717","$21,186,083"
"Dec 25, 2022",$0.02725,$0.02753,$0.02633,$0.02662,"$1,349,200","$20,499,441"
"Dec 24, 2022",$0.02743,$0.02776,$0.027,$0.02725,"$1,563,400","$20,984,789"
"Dec 23, 2022",$0.02849,$0.02885,$0.02708,$0.02742,"$2,222,424","$21,115,193"
"Dec 22, 2022",$0.02732,$0.02928,$0.02698,$0.0285,"$5,496,025","$21,942,526"
"Dec 21, 2022",$0.02793,$0.02793,$0.02662,$0.02732,"$1,840,339","$21,036,192"
"Dec 20, 2022",$0.02751,$0.02886,$0.02704,$0.02793,"$2,277,252","$21,507,096"
"Dec 19, 2022",$0.02965,$0.03106,$0.02706,$0.0275,"$4,551,233","$21,177,659"
"Dec 18, 2022",$0.02932,$0.03353,$0.02789,$0.02966,"$19,177,797","$22,836,264"
"Dec 17, 2022",$0.02594,$0.03,$0.02565,$0.02939,"$8,677,767","$22,629,215"
"Dec 16, 2022",$0.03139,$0.03157,$0.02592,$0.02592,"$4,306,722","$19,959,890"
"Dec 15, 2022",$0.03302,$0.03306,$0.0309,$0.03139,"$3,066,438","$24,169,460"
"Dec 14, 2022",$0.03281,$0.03432,$0.03228,$0.03301,"$4,002,824","$25,419,164"
"Dec 13, 2022",$0.03519,$0.0359,$0.03173,$0.03281,"$6,203,050","$25,267,865"
"Dec 12, 2022",$0.03708,$0.03801,$0.0347,$0.03524,"$5,869,142","$27,138,400"
"Dec 11, 2022",$0.03664,$0.03742,$0.03626,$0.03706,"$4,766,797","$28,537,507"
"Dec 10, 2022",$0.03804,$0.0405,$0.03651,$0.03663,"$10,428,505","$28,202,149"
"Dec 09, 2022",$0.03766,$0.03884,$0.03672,$0.03805,"$7,194,000","$29,295,716"
"Dec 08, 2022",$0.0362,$0.03919,$0.03613,$0.03767,"$11,054,712","$29,002,961"
"Dec 07, 2022",$0.03714,$0.0375,$0.03537,$0.0362,"$4,463,457","$27,877,285"
"Dec 06, 2022",$0.03807,$0.0384,$0.0369,$0.03714,"$3,813,205","$28,596,840"
"Dec 05, 2022",$0.0385,$0.04029,$0.03789,$0.03807,"$6,420,175","$29,315,039"
"Dec 04, 2022",$0.03793,$0.0392,$0.0378,$0.03846,"$5,177,851",$0
"Dec 03, 2022",$0.04034,$0.04244,$0.03788,$0.03795,"$13,551,153",$0
"Dec 02, 2022",$0.03836,$0.04286,$0.03676,$0.04036,"$14,910,830",$0
"Dec 01, 2022",$0.04045,$0.04055,$0.03781,$0.03834,"$10,216,742",$0
"Nov 30, 2022",$0.04222,$0.04376,$0.04022,$0.04055,"$12,482,080",$0
"Nov 29, 2022",$0.04654,$0.0486,$0.04195,$0.04223,"$16,112,819",$0
"Nov 28, 2022",$0.04757,$0.05177,$0.04602,$0.04656,"$142,628",$0
"Nov 27, 2022",$0.04804,$0.05069,$0.04752,$0.04757,"$107,797",$0
"Nov 26, 2022",$0.0478,$0.04901,$0.04774,$0.04807,"$58,927",$0
"Nov 25, 2022",$0.04831,$0.04834,$0.04661,$0.0478,"$44,728",$0
"Nov 24, 2022",$0.05403,$0.05588,$0.04773,$0.04831,"$132,536",$0
"Nov 23, 2022",$0.04755,$0.07411,$0.04606,$0.05402,"$752,837",$0
"Nov 22, 2022",$0.02769,$0.06817,$0.02757,$0.04755,"$1,272,053",$0
"Nov 21, 2022",$0.0258,$0.03528,$0.02226,$0.02769,"$159,547",$0
"Nov 20, 2022",$0.01912,$0.03239,$0.01894,$0.02581,"$503,440",$0
"Nov 19, 2022",$0.01891,$0.01912,$0.0183,$0.01912,"$6,146",$0
"Nov 18, 2022",$0.01922,$0.01929,$0.01874,$0.01892,"$12,294",$0
