Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.01882,$0.01904,$0.01862,$0.01868,"$433,838","$17,562,322"
"Dec 30, 2022",$0.01957,$0.01964,$0.0185,$0.01883,"$701,346","$17,703,252"
"Dec 29, 2022",$0.01964,$0.01989,$0.01936,$0.01957,"$663,768","$18,395,564"
"Dec 28, 2022",$0.01979,$0.02012,$0.01958,$0.01964,"$778,214","$18,456,616"
"Dec 27, 2022",$0.02016,$0.02016,$0.01963,$0.0198,"$449,130","$18,605,617"
"Dec 26, 2022",$0.01979,$0.0202,$0.01975,$0.02016,"$649,964","$18,947,051"
"Dec 25, 2022",$0.02051,$0.02056,$0.0198,$0.0198,"$640,140","$18,609,211"
"Dec 24, 2022",$0.02052,$0.02071,$0.02005,$0.02051,"$1,282,387","$19,270,145"
"Dec 23, 2022",$0.01957,$0.02111,$0.0195,$0.02053,"$2,704,041","$19,292,728"
"Dec 22, 2022",$0.01929,$0.01971,$0.01911,$0.01957,"$700,159","$18,391,173"
"Dec 21, 2022",$0.02005,$0.02013,$0.01927,$0.01929,"$599,781","$18,071,192"
"Dec 20, 2022",$0.01926,$0.02019,$0.01922,$0.02006,"$545,684","$18,785,169"
"Dec 19, 2022",$0.02088,$0.021,$0.01925,$0.01925,"$739,632","$18,031,687"
"Dec 18, 2022",$0.02089,$0.02125,$0.0207,$0.02088,"$1,488,335","$19,554,644"
"Dec 17, 2022",$0.02115,$0.02122,$0.01989,$0.02089,"$1,091,944","$19,558,320"
"Dec 16, 2022",$0.02372,$0.02403,$0.02095,$0.02116,"$1,171,531","$19,811,464"
"Dec 15, 2022",$0.02419,$0.02442,$0.0233,$0.02372,"$675,439","$22,205,453"
"Dec 14, 2022",$0.02448,$0.0247,$0.02386,$0.02419,"$958,231","$22,652,743"
"Dec 13, 2022",$0.02518,$0.02519,$0.02379,$0.02447,"$1,720,644","$22,913,230"
"Dec 12, 2022",$0.02466,$0.02537,$0.02433,$0.02519,"$2,096,461","$23,583,840"
"Dec 11, 2022",$0.02518,$0.0254,$0.02462,$0.02466,"$1,214,748","$23,084,571"
"Dec 10, 2022",$0.02565,$0.02585,$0.02487,$0.02519,"$2,138,776","$23,578,009"
"Dec 09, 2022",$0.02502,$0.02604,$0.02498,$0.02565,"$3,692,639","$24,009,435"
"Dec 08, 2022",$0.02459,$0.02514,$0.02433,$0.02503,"$1,632,158","$23,425,366"
"Dec 07, 2022",$0.02502,$0.02535,$0.02444,$0.02461,"$2,548,122","$23,034,953"
"Dec 06, 2022",$0.0245,$0.02531,$0.02416,$0.02502,"$2,460,780","$23,417,015"
"Dec 05, 2022",$0.02467,$0.02549,$0.02441,$0.0245,"$1,761,296","$22,924,883"
"Dec 04, 2022",$0.02492,$0.02511,$0.02439,$0.02468,"$1,468,159","$23,096,449"
"Dec 03, 2022",$0.02538,$0.02643,$0.02486,$0.02492,"$2,931,933","$23,320,115"
"Dec 02, 2022",$0.02435,$0.02563,$0.02419,$0.02538,"$2,545,371","$23,748,340"
"Dec 01, 2022",$0.02604,$0.02618,$0.02427,$0.02445,"$2,474,457","$22,873,462"
"Nov 30, 2022",$0.02598,$0.02649,$0.02539,$0.02605,"$2,638,623","$24,346,391"
"Nov 29, 2022",$0.02512,$0.02715,$0.02492,$0.02599,"$3,399,784","$24,280,859"
"Nov 28, 2022",$0.02583,$0.02657,$0.02484,$0.02512,"$7,321,524","$23,469,704"
"Nov 27, 2022",$0.02569,$0.02756,$0.02514,$0.02584,"$4,874,816","$24,138,434"
"Nov 26, 2022",$0.02832,$0.0288,$0.02536,$0.02568,"$3,693,663","$23,989,886"
"Nov 25, 2022",$0.02847,$0.02879,$0.02671,$0.02831,"$4,639,070","$14,763,011"
"Nov 24, 2022",$0.03159,$0.03166,$0.02707,$0.02848,"$6,949,466","$14,850,515"
"Nov 23, 2022",$0.02919,$0.03471,$0.02879,$0.03161,"$14,164,658","$16,481,304"
"Nov 22, 2022",$0.02643,$0.03754,$0.02627,$0.02919,"$31,756,863","$15,218,061"
"Nov 21, 2022",$0.02592,$0.02723,$0.02429,$0.02644,"$6,602,661","$13,783,463"
"Nov 20, 2022",$0.02349,$0.03997,$0.02348,$0.02592,"$67,234,003","$13,513,881"
"Nov 19, 2022",$0.02384,$0.02493,$0.02341,$0.02348,"$2,747,848","$12,237,069"
"Nov 18, 2022",$0.02712,$0.02832,$0.02382,$0.02385,"$10,025,075","$12,431,202"
"Nov 17, 2022",$0.02661,$0.03002,$0.02499,$0.02712,"$11,700,084","$14,125,571"
"Nov 16, 2022",$0.02279,$0.02721,$0.0225,$0.0266,"$8,814,925","$13,851,061"
"Nov 15, 2022",$0.02204,$0.02374,$0.02166,$0.02279,"$634,848","$11,867,602"
"Nov 14, 2022",$0.0225,$0.02253,$0.02106,$0.02204,"$506,625","$11,475,284"
"Nov 13, 2022",$0.02207,$0.02313,$0.02168,$0.0225,"$3,005,694","$11,715,803"
"Nov 12, 2022",$0.02265,$0.02315,$0.02193,$0.02208,"$468,848","$11,495,241"
"Nov 11, 2022",$0.02329,$0.02405,$0.02154,$0.02265,"$1,377,496","$11,790,165"
"Nov 10, 2022",$0.02024,$0.024,$0.01966,$0.0233,"$2,550,818","$12,126,306"
"Nov 09, 2022",$0.02602,$0.02623,$0.01989,$0.02022,"$1,554,541","$10,521,733"
"Nov 08, 2022",$0.0312,$0.03124,$0.0242,$0.02607,"$2,424,528","$13,560,624"
"Nov 07, 2022",$0.0327,$0.0327,$0.03069,$0.03122,"$2,105,266","$16,238,668"
"Nov 06, 2022",$0.03443,$0.03443,$0.03266,$0.03269,"$1,351,306","$17,001,365"
"Nov 05, 2022",$0.03488,$0.03608,$0.03437,$0.03441,"$3,401,284","$17,892,841"
"Nov 04, 2022",$0.03411,$0.06234,$0.03319,$0.03487,"$32,888,139","$18,129,978"
"Nov 03, 2022",$0.03335,$0.03466,$0.03326,$0.03412,"$589,404","$17,730,363"
"Nov 02, 2022",$0.03281,$0.03389,$0.03279,$0.03337,"$517,788","$17,338,230"
