Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.1625,$0.1664,$0.1605,$0.1644,"$2,112,703","$14,987,931"
"Dec 30, 2022",$0.165,$0.1665,$0.1594,$0.1625,"$1,937,793","$14,820,597"
"Dec 29, 2022",$0.1697,$0.1699,$0.1634,$0.165,"$2,553,412","$15,042,245"
"Dec 28, 2022",$0.1714,$0.1777,$0.1659,$0.1697,"$7,159,502","$15,471,204"
"Dec 27, 2022",$0.166,$0.1788,$0.164,$0.1714,"$7,011,714","$15,625,334"
"Dec 26, 2022",$0.1632,$0.1702,$0.162,$0.166,"$2,987,574","$15,140,983"
"Dec 25, 2022",$0.1748,$0.175,$0.162,$0.1632,"$4,105,548","$14,878,382"
"Dec 24, 2022",$0.1529,$0.2218,$0.1529,$0.1751,"$37,298,111","$15,968,120"
"Dec 23, 2022",$0.1573,$0.1578,$0.1522,$0.1529,"$1,913,295","$13,939,639"
"Dec 22, 2022",$0.1633,$0.1644,$0.1521,$0.1573,"$3,236,876","$14,341,288"
"Dec 21, 2022",$0.1708,$0.1709,$0.1626,$0.1633,"$2,953,788","$14,890,125"
"Dec 20, 2022",$0.1645,$0.1713,$0.1644,$0.1709,"$1,969,927","$15,580,523"
"Dec 19, 2022",$0.1736,$0.1773,$0.1629,$0.1645,"$2,951,810","$15,002,348"
"Dec 18, 2022",$0.1749,$0.1764,$0.1723,$0.1736,"$2,124,559","$15,827,625"
"Dec 17, 2022",$0.1712,$0.1774,$0.1657,$0.1748,"$4,739,501","$15,943,616"
"Dec 16, 2022",$0.1893,$0.192,$0.1688,$0.1709,"$3,015,280","$15,581,794"
"Dec 15, 2022",$0.203,$0.2041,$0.1878,$0.1893,"$3,615,155","$17,261,618"
"Dec 14, 2022",$0.2022,$0.208,$0.2018,$0.203,"$4,354,347","$18,514,811"
"Dec 13, 2022",$0.2084,$0.2091,$0.192,$0.2021,"$5,935,226","$18,431,897"
"Dec 12, 2022",$0.2109,$0.2123,$0.2059,$0.2084,"$3,441,782","$19,000,754"
"Dec 11, 2022",$0.2165,$0.2188,$0.2109,$0.211,"$2,776,888","$19,236,594"
"Dec 10, 2022",$0.2135,$0.22,$0.2116,$0.2164,"$4,067,079","$19,735,796"
"Dec 09, 2022",$0.218,$0.2234,$0.2127,$0.2135,"$7,111,529","$19,470,198"
"Dec 08, 2022",$0.2134,$0.2194,$0.2096,$0.218,"$5,085,864","$19,875,027"
"Dec 07, 2022",$0.221,$0.2336,$0.2105,$0.2134,"$15,001,885","$19,461,957"
"Dec 06, 2022",$0.2098,$0.2214,$0.2049,$0.221,"$10,472,947","$20,152,605"
"Dec 05, 2022",$0.2103,$0.2196,$0.2047,$0.2098,"$6,739,881","$19,126,606"
"Dec 04, 2022",$0.2002,$0.2194,$0.2001,$0.2103,"$14,538,796","$19,175,356"
"Dec 03, 2022",$0.2042,$0.2099,$0.1986,$0.2001,"$5,413,501","$18,250,806"
"Dec 02, 2022",$0.2011,$0.2048,$0.198,$0.2037,"$3,969,944","$18,578,289"
"Dec 01, 2022",$0.2092,$0.2295,$0.2002,$0.2011,"$12,356,037","$18,338,662"
"Nov 30, 2022",$0.1893,$0.2331,$0.1892,$0.2092,"$19,393,030","$19,073,766"
"Nov 29, 2022",$0.1901,$0.1947,$0.1886,$0.1894,"$4,764,862","$17,266,641"
