Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$2.69,$2.73,$2.68,$2.69,"$5,497,679","$73,220,992"
"Dec 30, 2022",$2.71,$2.71,$2.65,$2.69,"$5,704,053","$73,159,200"
"Dec 29, 2022",$2.70,$2.77,$2.67,$2.71,"$6,167,078","$73,594,701"
"Dec 28, 2022",$2.82,$2.82,$2.70,$2.70,"$8,024,005","$73,490,295"
"Dec 27, 2022",$2.83,$2.84,$2.78,$2.82,"$7,169,161","$76,580,213"
"Dec 26, 2022",$2.89,$2.91,$2.79,$2.83,"$8,631,571","$76,863,884"
"Dec 25, 2022",$2.92,$2.93,$2.86,$2.89,"$6,324,956","$78,626,047"
"Dec 24, 2022",$3.01,$3.01,$2.91,$2.92,"$6,794,425","$79,395,701"
"Dec 23, 2022",$2.91,$3.03,$2.90,$3.01,"$9,977,353","$81,697,990"
"Dec 22, 2022",$2.84,$2.94,$2.81,$2.91,"$9,323,002","$78,995,120"
"Dec 21, 2022",$2.85,$2.89,$2.81,$2.84,"$7,798,443","$77,150,432"
"Dec 20, 2022",$2.79,$2.96,$2.78,$2.85,"$16,670,075","$77,426,526"
"Dec 19, 2022",$2.94,$2.94,$2.74,$2.79,"$5,948,644","$75,938,019"
"Dec 18, 2022",$2.93,$2.97,$2.91,$2.94,"$4,080,568","$79,929,570"
"Dec 17, 2022",$2.89,$2.93,$2.82,$2.93,"$5,377,217","$79,587,815"
"Dec 16, 2022",$3.16,$3.19,$2.86,$2.89,"$7,220,565","$78,471,160"
"Dec 15, 2022",$3.23,$3.24,$3.15,$3.16,"$5,104,801","$85,906,045"
"Dec 14, 2022",$3.22,$3.38,$3.22,$3.23,"$9,264,137","$87,842,805"
"Dec 13, 2022",$3.20,$3.27,$3.12,$3.22,"$8,350,680","$87,480,089"
"Dec 12, 2022",$3.18,$3.21,$3.12,$3.20,"$6,353,442","$86,954,540"
"Dec 11, 2022",$3.18,$3.27,$3.14,$3.18,"$5,175,021","$86,416,551"
"Dec 10, 2022",$3.20,$3.22,$3.17,$3.18,"$3,974,027","$86,353,690"
"Dec 09, 2022",$3.21,$3.23,$3.18,$3.20,"$5,530,018","$86,852,454"
"Dec 08, 2022",$3.10,$3.24,$3.09,$3.21,"$8,750,325","$87,372,881"
"Dec 07, 2022",$3.19,$3.20,$3.07,$3.10,"$7,626,780","$84,395,150"
"Dec 06, 2022",$3.14,$3.20,$3.11,$3.19,"$6,645,859","$86,829,530"
"Dec 05, 2022",$3.18,$3.28,$3.13,$3.14,"$9,799,507","$85,473,064"
"Dec 04, 2022",$3.16,$3.21,$3.16,$3.18,"$5,136,238","$86,480,921"
