Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.00000299,$0.000002996,$0.000002949,$0.000002959,"$435,596","$91,433,855"
"Dec 30, 2022",$0.000003042,$0.000003057,$0.000002987,$0.000002991,"$376,656","$92,383,136"
"Dec 29, 2022",$0.000003058,$0.000003067,$0.000003025,$0.000003042,"$321,701","$93,877,348"
"Dec 28, 2022",$0.000003099,$0.000003105,$0.000003055,$0.000003058,"$331,345","$94,303,149"
"Dec 27, 2022",$0.000003133,$0.000003166,$0.000003091,$0.000003107,"$294,708","$95,754,935"
"Dec 26, 2022",$0.000003144,$0.000003168,$0.000003105,$0.000003132,"$330,895","$96,459,748"
"Dec 25, 2022",$0.000003186,$0.000003193,$0.000003127,$0.000003143,"$348,000","$96,721,036"
"Dec 24, 2022",$0.000003121,$0.000003192,$0.000003121,$0.000003185,"$643,722","$97,931,614"
"Dec 23, 2022",$0.000003071,$0.000003136,$0.000003058,$0.000003127,"$593,968","$96,102,851"
"Dec 22, 2022",$0.000003051,$0.000003084,$0.000003034,$0.000003071,"$427,850","$94,310,516"
"Dec 21, 2022",$0.000003058,$0.000003083,$0.000003036,$0.00000305,"$355,631","$93,582,697"
"Dec 20, 2022",$0.000003007,$0.00000306,$0.000002998,$0.000003058,"$418,119","$93,771,850"
"Dec 19, 2022",$0.000003064,$0.000003076,$0.000002999,$0.000003007,"$433,836","$92,131,374"
"Dec 18, 2022",$0.000003029,$0.000003072,$0.000003024,$0.000003064,"$281,295","$93,823,431"
"Dec 17, 2022",$0.000003055,$0.000003074,$0.000003011,$0.000003032,"$463,250","$92,792,144"
"Dec 16, 2022",$0.000003303,$0.000003342,$0.000003043,$0.000003055,"$868,768","$93,427,045"
"Dec 15, 2022",$0.000003368,$0.000003383,$0.000003283,$0.000003306,"$457,537","$101,010,874"
"Dec 14, 2022",$0.000003377,$0.00000343,$0.000003361,$0.00000337,"$449,213","$102,905,472"
"Dec 13, 2022",$0.000003375,$0.000003427,$0.000003325,$0.000003384,"$487,914","$103,248,228"
