Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.1024,$0.1077,$0.0997,$0.1004,"$1,806,019","$10,038,013"
"Dec 30, 2022",$0.1019,$0.1031,$0.1007,$0.1024,"$2,162,854","$10,236,185"
"Dec 29, 2022",$0.1068,$0.1129,$0.1013,$0.1019,"$475,150","$10,192,128"
"Dec 28, 2022",$0.1091,$0.11,$0.1065,$0.1067,"$458,984","$10,674,712"
"Dec 27, 2022",$0.106,$0.1099,$0.1059,$0.1091,"$739,036","$10,905,587"
"Dec 26, 2022",$0.1084,$0.1086,$0.1058,$0.106,"$953,187","$10,597,197"
"Dec 25, 2022",$0.1052,$0.1125,$0.1049,$0.1083,"$1,044,829","$10,832,580"
"Dec 24, 2022",$0.102,$0.1109,$0.1019,$0.1052,"$890,338","$10,522,644"
"Dec 23, 2022",$0.1091,$0.1095,$0.1019,$0.102,"$500,646","$10,196,083"
"Dec 22, 2022",$0.1123,$0.1127,$0.1071,$0.109,"$793,029","$10,900,001"
"Dec 21, 2022",$0.1099,$0.1132,$0.1092,$0.1124,"$921,172","$11,236,254"
"Dec 20, 2022",$0.119,$0.1191,$0.1081,$0.1099,"$405,427","$10,986,160"
"Dec 19, 2022",$0.1184,$0.1203,$0.1125,$0.119,"$580,468","$11,895,950"
"Dec 18, 2022",$0.1235,$0.1243,$0.1125,$0.1184,"$416,347","$11,839,257"
"Dec 17, 2022",$0.1152,$0.128,$0.1124,$0.1235,"$750,381","$12,351,110"
"Dec 16, 2022",$0.1176,$0.1445,$0.1152,$0.1152,"$1,974,642","$11,522,012"
"Dec 15, 2022",$0.1289,$0.1453,$0.1089,$0.1176,"$2,187,647","$11,759,059"
"Dec 14, 2022",$0.1251,$0.1296,$0.1248,$0.1289,"$520,808","$12,887,861"
"Dec 13, 2022",$0.13,$0.1309,$0.1118,$0.1251,"$1,116,738","$12,506,521"
"Dec 12, 2022",$0.1409,$0.141,$0.1182,$0.1299,"$2,287,109","$12,993,276"
"Dec 11, 2022",$0.1299,$0.1485,$0.1298,$0.141,"$843,810","$14,095,813"
"Dec 10, 2022",$0.1326,$0.1342,$0.1297,$0.1299,"$1,913,152","$12,987,348"
"Dec 09, 2022",$0.1513,$0.152,$0.1317,$0.1326,"$1,978,270","$13,257,095"
"Dec 08, 2022",$0.1518,$0.1543,$0.1485,$0.1512,"$1,225,260","$15,124,075"
"Dec 07, 2022",$0.1571,$0.1576,$0.1481,$0.1518,"$4,992,286","$15,177,658"
"Dec 06, 2022",$0.1204,$0.1571,$0.1204,$0.1571,"$3,246,871","$15,707,759"
"Dec 05, 2022",$0.1289,$0.1345,$0.1203,$0.1204,"$1,443,345","$12,042,139"
"Dec 04, 2022",$0.136,$0.1395,$0.1278,$0.1289,"$1,975,590","$12,892,819"
"Dec 03, 2022",$0.1357,$0.1385,$0.1338,$0.136,"$1,732,625","$13,598,364"
"Dec 02, 2022",$0.1314,$0.1358,$0.1208,$0.1357,"$2,774,103","$13,571,135"
"Dec 01, 2022",$0.1281,$0.1332,$0.1102,$0.1314,"$4,323,056","$13,139,669"
"Nov 30, 2022",$0.09605,$0.1328,$0.0956,$0.1282,"$5,259,229","$12,816,917"
"Nov 29, 2022",$0.09928,$0.09928,$0.09523,$0.09604,"$1,181,212","$9,604,058"
"Nov 28, 2022",$0.09973,$0.1011,$0.09761,$0.09928,"$1,363,548","$9,927,731"
"Nov 27, 2022",$0.09856,$0.102,$0.09813,$0.09971,"$912,700","$9,970,815"
"Nov 26, 2022",$0.09719,$0.1023,$0.09603,$0.09856,"$1,653,335","$9,855,695"
"Nov 25, 2022",$0.09406,$0.09933,$0.09378,$0.09713,"$2,353,348","$9,713,059"
"Nov 24, 2022",$0.09878,$0.099,$0.08738,$0.09404,"$1,295,659","$9,404,440"
"Nov 23, 2022",$0.09873,$0.1031,$0.09388,$0.09877,"$1,522,261","$9,877,454"
"Nov 22, 2022",$0.1058,$0.1114,$0.09517,$0.09866,"$4,504,977","$9,865,993"
"Nov 21, 2022",$0.07688,$0.1265,$0.07635,$0.1059,"$4,519,819","$10,593,375"
"Nov 20, 2022",$0.06997,$0.08989,$0.06997,$0.07688,"$4,779,821","$7,687,831"
"Nov 19, 2022",$0.06599,$0.07113,$0.06434,$0.06993,"$1,303,955","$6,992,684"
"Nov 18, 2022",$0.06713,$0.06812,$0.0648,$0.06599,"$310,894","$6,599,397"
"Nov 17, 2022",$0.07481,$0.07589,$0.06451,$0.06713,"$2,106,606","$6,712,603"
"Nov 16, 2022",$0.06113,$0.07953,$0.06078,$0.07473,"$3,919,955","$7,473,090"
"Nov 15, 2022",$0.05854,$0.06135,$0.05853,$0.06118,"$284,984","$6,118,259"
"Nov 14, 2022",$0.05866,$0.06009,$0.05648,$0.05854,"$308,529","$5,853,656"
"Nov 13, 2022",$0.06328,$0.06333,$0.05812,$0.05867,"$285,573","$5,866,671"
"Nov 12, 2022",$0.06321,$0.06571,$0.06277,$0.06328,"$527,875","$6,328,173"
"Nov 11, 2022",$0.06435,$0.06693,$0.05957,$0.0632,"$1,482,208","$6,320,426"
"Nov 10, 2022",$0.05311,$0.06475,$0.05292,$0.06435,"$977,225","$6,435,482"
"Nov 09, 2022",$0.08163,$0.08194,$0.05281,$0.0531,"$716,513","$5,310,490"
"Nov 08, 2022",$0.1036,$0.1038,$0.07959,$0.08162,"$833,681","$8,161,502"
"Nov 07, 2022",$0.1033,$0.1058,$0.1027,$0.1036,"$647,101","$10,363,761"
"Nov 06, 2022",$0.1023,$0.1073,$0.1022,$0.1034,"$1,313,275","$10,335,207"
"Nov 05, 2022",$0.1015,$0.1044,$0.1012,$0.1023,"$399,159","$10,231,615"
"Nov 04, 2022",$0.1009,$0.1024,$0.09858,$0.1015,"$579,939","$10,153,596"
"Nov 03, 2022",$0.1073,$0.1082,$0.0975,$0.1009,"$1,500,760","$10,088,789"
"Nov 02, 2022",$0.1102,$0.1113,$0.1054,$0.1073,"$886,952","$10,732,162"
"Nov 01, 2022",$0.1081,$0.1111,$0.1054,$0.1102,"$774,600","$11,022,056"
"Oct 31, 2022",$0.1097,$0.111,$0.1072,$0.1081,"$1,022,467","$10,812,654"
"Oct 30, 2022",$0.1136,$0.1136,$0.1051,$0.1096,"$1,142,618","$10,961,477"
"Oct 29, 2022",$0.1103,$0.1154,$0.1091,$0.1136,"$703,876","$11,362,463"
"Oct 28, 2022",$0.1102,$0.1144,$0.1094,$0.1103,"$893,593","$11,030,750"
"Oct 27, 2022",$0.123,$0.1237,$0.1093,$0.1102,"$1,993,360","$11,024,393"
"Oct 26, 2022",$0.1242,$0.1243,$0.1186,$0.123,"$1,701,987","$12,296,131"
"Oct 25, 2022",$0.1105,$0.1248,$0.1092,$0.1242,"$3,568,203","$12,422,535"
"Oct 24, 2022",$0.1097,$0.1111,$0.1065,$0.1105,"$723,130","$11,050,542"
"Oct 23, 2022",$0.107,$0.1146,$0.1062,$0.1097,"$1,138,205","$10,967,693"
"Oct 22, 2022",$0.1058,$0.1106,$0.1019,$0.1063,"$989,602","$10,629,241"
"Oct 21, 2022",$0.1046,$0.1104,$0.1002,$0.1059,"$942,276","$10,585,277"
"Oct 20, 2022",$0.1233,$0.1313,$0.103,$0.1046,"$2,050,856","$10,456,551"
"Oct 19, 2022",$0.1414,$0.1441,$0.1224,$0.1224,"$2,071,875","$12,238,898"
"Oct 18, 2022",$0.1437,$0.148,$0.1344,$0.1414,"$1,880,784","$14,141,445"
"Oct 17, 2022",$0.1438,$0.158,$0.136,$0.1437,"$3,320,651","$14,367,671"
"Oct 16, 2022",$0.1235,$0.1535,$0.1214,$0.1436,"$2,636,379","$14,360,100"
"Oct 15, 2022",$0.1263,$0.1507,$0.1224,$0.1234,"$4,221,395","$12,343,902"
"Oct 14, 2022",$0.1125,$0.1283,$0.1067,$0.1265,"$2,496,092","$12,647,201"
"Oct 13, 2022",$0.09853,$0.1221,$0.09723,$0.1127,"$4,090,794","$11,269,523"
"Oct 12, 2022",$0.09344,$0.1064,$0.08817,$0.09853,"$2,336,014","$9,852,852"
"Oct 11, 2022",$0.1011,$0.1012,$0.0928,$0.09344,"$882,132","$9,343,607"
"Oct 10, 2022",$0.1109,$0.117,$0.1009,$0.1011,"$1,093,176","$10,107,658"
"Oct 09, 2022",$0.1099,$0.1129,$0.1067,$0.1117,"$538,392","$11,171,838"
"Oct 08, 2022",$0.1167,$0.1171,$0.1073,$0.1099,"$594,239","$10,993,029"
"Oct 07, 2022",$0.1166,$0.1247,$0.1139,$0.1167,"$1,377,230","$11,672,338"
"Oct 06, 2022",$0.1272,$0.1313,$0.1156,$0.1169,"$2,320,224","$11,694,063"
"Oct 05, 2022",$0.1269,$0.1316,$0.1192,$0.1272,"$1,424,110","$12,721,439"
"Oct 04, 2022",$0.1315,$0.1375,$0.1237,$0.127,"$1,445,036","$12,695,820"
"Oct 03, 2022",$0.1179,$0.142,$0.117,$0.1316,"$2,776,935","$13,156,024"
"Oct 02, 2022",$0.1265,$0.1285,$0.1164,$0.1173,"$1,041,518","$11,731,755"
"Oct 01, 2022",$0.131,$0.1411,$0.124,$0.1265,"$1,778,609","$12,649,258"
"Sep 30, 2022",$0.1405,$0.1434,$0.1215,$0.131,"$3,691,640","$13,098,021"
"Sep 29, 2022",$0.1739,$0.1814,$0.137,$0.1401,"$4,320,587","$14,010,840"
"Sep 28, 2022",$0.1738,$0.1784,$0.157,$0.1736,"$3,451,503","$17,358,330"
"Sep 27, 2022",$0.1636,$0.1955,$0.1597,$0.1743,"$5,273,010","$17,426,679"
"Sep 26, 2022",$0.1625,$0.1706,$0.1449,$0.1634,"$2,429,131","$16,336,905"
"Sep 25, 2022",$0.1727,$0.1846,$0.1592,$0.1636,"$2,097,902","$16,355,360"
"Sep 24, 2022",$0.1646,$0.1896,$0.1537,$0.1727,"$4,622,562","$17,269,738"
"Sep 23, 2022",$0.2011,$0.2011,$0.14,$0.1646,"$5,079,153","$16,462,266"
