Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.1843,$0.1845,$0.1774,$0.1799,"$1,470,728","$35,173,489"
"Dec 30, 2022",$0.1801,$0.1893,$0.1747,$0.1843,"$3,054,814","$36,023,586"
"Dec 29, 2022",$0.1753,$0.1924,$0.1713,$0.1801,"$5,860,048","$35,214,180"
"Dec 28, 2022",$0.1695,$0.1875,$0.1644,$0.1752,"$3,831,009","$34,256,622"
"Dec 27, 2022",$0.176,$0.1767,$0.1636,$0.1695,"$1,683,556","$33,139,539"
"Dec 26, 2022",$0.1749,$0.1837,$0.1741,$0.1761,"$3,452,811","$34,418,015"
"Dec 25, 2022",$0.1589,$0.2013,$0.1586,$0.1749,"$10,861,238","$34,181,757"
"Dec 24, 2022",$0.152,$0.1636,$0.1519,$0.159,"$1,920,441","$31,074,692"
"Dec 23, 2022",$0.1523,$0.1536,$0.1518,$0.1521,"$324,698","$29,736,025"
"Dec 22, 2022",$0.1525,$0.1533,$0.1491,$0.1523,"$512,537","$29,780,894"
"Dec 21, 2022",$0.1523,$0.1659,$0.1496,$0.1524,"$2,102,320","$29,800,059"
"Dec 20, 2022",$0.146,$0.1524,$0.1457,$0.1524,"$509,279","$29,790,699"
"Dec 19, 2022",$0.151,$0.1527,$0.1452,$0.146,"$558,580","$28,546,778"
"Dec 18, 2022",$0.1504,$0.1528,$0.1494,$0.1511,"$480,062","$29,528,227"
"Dec 17, 2022",$0.15,$0.1513,$0.1484,$0.1504,"$530,264","$29,395,127"
"Dec 16, 2022",$0.1661,$0.1668,$0.1497,$0.15,"$1,072,454","$29,314,281"
"Dec 15, 2022",$0.1679,$0.1726,$0.1643,$0.1662,"$1,105,617","$32,479,963"
"Dec 14, 2022",$0.1651,$0.175,$0.165,$0.1679,"$1,438,617","$32,345,444"
"Dec 13, 2022",$0.1661,$0.168,$0.1626,$0.1651,"$827,344","$31,815,682"
"Dec 12, 2022",$0.1667,$0.167,$0.1626,$0.1661,"$939,613","$32,004,140"
"Dec 11, 2022",$0.1691,$0.1743,$0.1668,$0.1668,"$1,449,759","$32,133,964"
"Dec 10, 2022",$0.1706,$0.1709,$0.1687,$0.1691,"$1,396,628","$32,583,456"
"Dec 09, 2022",$0.1793,$0.1793,$0.1704,$0.1706,"$2,177,712","$32,868,033"
"Dec 08, 2022",$0.1766,$0.1809,$0.1758,$0.1793,"$1,215,047","$34,548,444"
"Dec 07, 2022",$0.1903,$0.1907,$0.1756,$0.1766,"$1,679,574","$34,037,228"
"Dec 06, 2022",$0.1942,$0.1944,$0.1891,$0.1903,"$1,390,754","$36,669,949"
"Dec 05, 2022",$0.1939,$0.2013,$0.1928,$0.1941,"$1,700,122","$37,403,362"
"Dec 04, 2022",$0.1998,$0.2033,$0.1938,$0.194,"$1,635,228","$37,380,187"
"Dec 03, 2022",$0.1959,$0.2151,$0.1944,$0.1998,"$4,867,153","$38,501,864"
"Dec 02, 2022",$0.1889,$0.1994,$0.1838,$0.1959,"$2,907,310","$37,745,636"
"Dec 01, 2022",$0.206,$0.2123,$0.1876,$0.1889,"$3,926,991","$36,405,299"
"Nov 30, 2022",$0.2163,$0.258,$0.1989,$0.2059,"$18,739,074","$39,676,138"
"Nov 29, 2022",$0.1998,$0.2647,$0.1801,$0.2164,"$44,783,342","$41,705,703"
"Nov 28, 2022",$0.1483,$0.2498,$0.142,$0.1985,"$26,236,166","$38,259,467"
"Nov 27, 2022",$0.1442,$0.1515,$0.1439,$0.1483,"$1,005,717","$28,578,555"
"Nov 26, 2022",$0.1438,$0.1535,$0.1425,$0.1442,"$2,429,101","$27,788,899"
"Nov 25, 2022",$0.1463,$0.1463,$0.1422,$0.1438,"$459,503","$27,710,865"
"Nov 24, 2022",$0.1466,$0.1524,$0.1453,$0.1463,"$846,744","$28,199,699"
"Nov 23, 2022",$0.1367,$0.1474,$0.1363,$0.1466,"$1,023,954","$28,246,411"
"Nov 22, 2022",$0.1334,$0.1369,$0.1305,$0.1367,"$400,991","$26,338,849"
"Nov 21, 2022",$0.1372,$0.1377,$0.1319,$0.1334,"$481,771","$25,711,324"
"Nov 20, 2022",$0.1391,$0.1454,$0.1368,$0.1372,"$919,564","$26,441,679"
"Nov 19, 2022",$0.1386,$0.1397,$0.1372,$0.1391,"$300,476","$26,803,499"
"Nov 18, 2022",$0.1376,$0.1413,$0.1376,$0.1385,"$423,991","$26,694,654"
"Nov 17, 2022",$0.1393,$0.1398,$0.1363,$0.1377,"$381,763","$26,525,531"
"Nov 16, 2022",$0.1398,$0.1426,$0.1372,$0.1392,"$517,870","$26,828,972"
"Nov 15, 2022",$0.1417,$0.1436,$0.1394,$0.1398,"$562,640","$26,940,810"
"Nov 14, 2022",$0.1399,$0.1424,$0.1334,$0.1417,"$626,807","$27,301,002"
"Nov 13, 2022",$0.1412,$0.1429,$0.1379,$0.1399,"$421,608","$26,963,865"
"Nov 12, 2022",$0.1467,$0.147,$0.141,$0.1412,"$425,422","$27,202,230"
"Nov 11, 2022",$0.1535,$0.1545,$0.142,$0.1466,"$939,635","$28,250,539"
"Nov 10, 2022",$0.1397,$0.1566,$0.1389,$0.1536,"$1,034,613","$29,599,236"
"Nov 09, 2022",$0.1678,$0.1678,$0.1384,$0.1397,"$1,091,783","$26,914,597"
"Nov 08, 2022",$0.1946,$0.1949,$0.1594,$0.1677,"$1,584,904","$32,322,063"
"Nov 07, 2022",$0.188,$0.2105,$0.1876,$0.1947,"$4,461,361","$37,509,583"
"Nov 06, 2022",$0.1893,$0.1938,$0.1878,$0.188,"$1,395,944","$36,235,755"
"Nov 05, 2022",$0.1891,$0.1909,$0.1888,$0.1892,"$614,082","$36,452,645"
"Nov 04, 2022",$0.1816,$0.1893,$0.1815,$0.1891,"$909,021","$36,444,211"
"Nov 03, 2022",$0.1747,$0.1834,$0.1745,$0.1816,"$766,203","$35,003,419"
"Nov 02, 2022",$0.1799,$0.1805,$0.1738,$0.1747,"$514,889","$33,663,953"
"Nov 01, 2022",$0.18,$0.1825,$0.1794,$0.1799,"$464,463","$34,661,926"
"Oct 31, 2022",$0.1821,$0.1827,$0.1791,$0.1799,"$547,357","$34,673,930"
"Oct 30, 2022",$0.1864,$0.1871,$0.181,$0.182,"$851,341","$35,072,629"
"Oct 29, 2022",$0.185,$0.1889,$0.1849,$0.1864,"$742,450","$35,921,623"
"Oct 28, 2022",$0.181,$0.1859,$0.1798,$0.1851,"$398,494","$35,674,296"
"Oct 27, 2022",$0.1874,$0.1893,$0.1806,$0.181,"$637,066","$34,878,509"
"Oct 26, 2022",$0.1825,$0.1882,$0.1824,$0.1872,"$698,786","$36,076,009"
"Oct 25, 2022",$0.178,$0.1863,$0.177,$0.1826,"$702,241","$35,181,684"
"Oct 24, 2022",$0.1803,$0.1806,$0.176,$0.1781,"$736,022","$34,313,512"
"Oct 23, 2022",$0.18,$0.1834,$0.1776,$0.1803,"$1,020,663","$34,743,977"
"Oct 22, 2022",$0.1739,$0.1834,$0.1736,$0.18,"$1,151,557","$34,677,616"
"Oct 21, 2022",$0.1743,$0.1746,$0.1679,$0.1739,"$478,510","$33,518,653"
"Oct 20, 2022",$0.1765,$0.18,$0.1738,$0.1743,"$666,583","$33,580,305"
"Oct 19, 2022",$0.1774,$0.1779,$0.1756,$0.1765,"$561,834","$34,014,732"
"Oct 18, 2022",$0.1832,$0.1835,$0.1764,$0.1774,"$531,618","$34,184,754"
"Oct 17, 2022",$0.1807,$0.1859,$0.1795,$0.1832,"$744,353","$35,302,020"
"Oct 16, 2022",$0.177,$0.1995,$0.1769,$0.1806,"$3,838,061","$34,810,451"
"Oct 15, 2022",$0.1716,$0.1788,$0.171,$0.1769,"$1,069,384","$34,082,568"
"Oct 14, 2022",$0.1719,$0.1767,$0.1709,$0.1716,"$465,995","$33,071,797"
"Oct 13, 2022",$0.1759,$0.1761,$0.1599,$0.1719,"$1,115,574","$33,130,679"
"Oct 12, 2022",$0.1769,$0.1782,$0.1749,$0.1759,"$364,047","$33,904,859"
