Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.1363,$0.137,$0.1348,$0.135,"$200,152","$51,555,620"
"Dec 30, 2022",$0.1383,$0.1387,$0.135,$0.1363,"$471,036","$52,044,755"
"Dec 29, 2022",$0.1391,$0.1404,$0.1373,$0.1383,"$390,600","$52,823,510"
"Dec 28, 2022",$0.1424,$0.1426,$0.139,$0.1391,"$554,932","$53,104,442"
"Dec 27, 2022",$0.1443,$0.145,$0.142,$0.1424,"$535,853","$54,380,232"
"Dec 26, 2022",$0.1443,$0.145,$0.1423,$0.1443,"$490,795","$55,111,470"
"Dec 25, 2022",$0.1452,$0.1455,$0.1434,$0.1443,"$327,619","$55,115,054"
"Dec 24, 2022",$0.1433,$0.1454,$0.143,$0.1452,"$374,257","$55,435,978"
"Dec 23, 2022",$0.1446,$0.1455,$0.1431,$0.1433,"$317,421","$54,731,170"
"Dec 22, 2022",$0.144,$0.1468,$0.1436,$0.1446,"$674,914","$55,212,011"
"Dec 21, 2022",$0.1465,$0.1465,$0.1423,$0.144,"$912,742","$54,988,623"
"Dec 20, 2022",$0.1424,$0.1476,$0.1422,$0.1465,"$937,334","$55,933,728"
"Dec 19, 2022",$0.1462,$0.1557,$0.1418,$0.1424,"$4,535,630","$54,380,827"
"Dec 18, 2022",$0.1435,$0.1506,$0.1435,$0.1462,"$1,371,015","$55,821,758"
"Dec 17, 2022",$0.1415,$0.1439,$0.1397,$0.1435,"$1,056,014","$54,798,049"
"Dec 16, 2022",$0.1594,$0.1599,$0.1413,$0.1416,"$1,764,962","$54,056,306"
"Dec 15, 2022",$0.1629,$0.1631,$0.1589,$0.1594,"$1,045,424","$60,855,830"
"Dec 14, 2022",$0.1632,$0.1668,$0.1615,$0.1629,"$1,255,084","$62,222,291"
"Dec 13, 2022",$0.1676,$0.1682,$0.1575,$0.1632,"$2,564,644","$62,307,639"
"Dec 12, 2022",$0.1706,$0.1708,$0.1642,$0.1676,"$1,234,295","$63,985,667"
"Dec 11, 2022",$0.1725,$0.1745,$0.1706,$0.1706,"$3,802,400","$65,159,796"
"Dec 10, 2022",$0.1745,$0.1754,$0.1719,$0.1725,"$4,141,404","$65,883,857"
"Dec 09, 2022",$0.1773,$0.1783,$0.174,$0.1745,"$4,700,619","$66,647,636"
"Dec 08, 2022",$0.1725,$0.1774,$0.1722,$0.1773,"$4,864,968","$67,714,719"
"Dec 07, 2022",$0.1753,$0.1813,$0.1712,$0.1725,"$7,117,455","$65,882,252"
"Dec 06, 2022",$0.1697,$0.1932,$0.1656,$0.1753,"$14,926,864","$66,932,845"
"Dec 05, 2022",$0.1717,$0.1744,$0.1694,$0.1697,"$2,367,280","$64,818,653"
"Dec 04, 2022",$0.1716,$0.1746,$0.1711,$0.1717,"$2,078,352","$65,562,698"
